event_id,family_id,lane_id,control_trade_id,universe_id,period_id,pair,decision_time,governor_state,horizon_hours,exit_time,entry_open,exit_open,forward_return
10573,PERSISTENT_LOWER_HIGH_GIVEBACK,GLOBAL,489,E2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,6,2023-11-23 19:00:00+00:00,37367.3,37167.2,-0.005354949380875995
10573,PERSISTENT_LOWER_HIGH_GIVEBACK,GLOBAL,489,E2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,24,2023-11-24 13:00:00+00:00,37367.3,37739.3,0.00995522823431183
10573,PERSISTENT_LOWER_HIGH_GIVEBACK,GLOBAL,489,E2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,48,2023-11-25 13:00:00+00:00,37367.3,37650.0,0.007565438230752397
10568,PERSISTENT_LOWER_HIGH_GIVEBACK,LOCKED,146,C2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,6,2023-11-23 19:00:00+00:00,37367.3,37167.2,-0.005354949380875995
10568,PERSISTENT_LOWER_HIGH_GIVEBACK,LOCKED,146,C2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,24,2023-11-24 13:00:00+00:00,37367.3,37739.3,0.00995522823431183
10568,PERSISTENT_LOWER_HIGH_GIVEBACK,LOCKED,146,C2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,48,2023-11-25 13:00:00+00:00,37367.3,37650.0,0.007565438230752397
10571,PERSISTENT_LOWER_HIGH_GIVEBACK,LOCKED,316,D2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,6,2023-11-23 19:00:00+00:00,37367.3,37167.2,-0.005354949380875995
10571,PERSISTENT_LOWER_HIGH_GIVEBACK,LOCKED,316,D2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,24,2023-11-24 13:00:00+00:00,37367.3,37739.3,0.00995522823431183
10571,PERSISTENT_LOWER_HIGH_GIVEBACK,LOCKED,316,D2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,48,2023-11-25 13:00:00+00:00,37367.3,37650.0,0.007565438230752397
10574,PERSISTENT_LOWER_HIGH_GIVEBACK,LOCKED,489,E2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,6,2023-11-23 19:00:00+00:00,37367.3,37167.2,-0.005354949380875995
10574,PERSISTENT_LOWER_HIGH_GIVEBACK,LOCKED,489,E2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,24,2023-11-24 13:00:00+00:00,37367.3,37739.3,0.00995522823431183
10574,PERSISTENT_LOWER_HIGH_GIVEBACK,LOCKED,489,E2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 13:00:00+00:00,LOCKED,48,2023-11-25 13:00:00+00:00,37367.3,37650.0,0.007565438230752397
10578,TROUGH_RECOVERY_FAILURE,CAUTION_OR_LOCKED,146,C2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,6,2023-11-23 20:00:00+00:00,37302.8,37255.0,-0.0012814051492113787
10578,TROUGH_RECOVERY_FAILURE,CAUTION_OR_LOCKED,146,C2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,24,2023-11-24 14:00:00+00:00,37302.8,37712.4,0.010980408977342204
10578,TROUGH_RECOVERY_FAILURE,CAUTION_OR_LOCKED,146,C2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,48,2023-11-25 14:00:00+00:00,37302.8,37719.9,0.011181466270628437
