changed_members,comparison,decision_time,exact_match,jaccard,left_eligible_count,mean_common_rank_displacement,right_eligible_count,symmetric_difference_size,top_n
,C_P0B_vs_C2,2019-09-09T00:00:00+00:00,True,1.0,19,0.0,19,0,4
,C_P0B_vs_C2,2019-09-09T00:00:00+00:00,True,1.0,19,0.0,19,0,6
,C_P0B_vs_C2,2019-09-09T00:00:00+00:00,True,1.0,19,0.0,19,0,8
,C_P0B_vs_C2,2019-09-09T00:00:00+00:00,True,1.0,19,0.0,19,0,10
,C_P0B_vs_C2,2019-09-09T00:00:00+00:00,True,1.0,19,0.0,19,0,30
,C_P0B_vs_C2,2019-09-09T00:00:00+00:00,True,1.0,19,6.0,19,0,HYSTERESIS
,C_P0B_vs_C2,2019-09-16T00:00:00+00:00,True,1.0,19,0.0,19,0,4
,C_P0B_vs_C2,2019-09-16T00:00:00+00:00,True,1.0,19,0.0,19,0,6
,C_P0B_vs_C2,2019-09-16T00:00:00+00:00,True,1.0,19,0.0,19,0,8
,C_P0B_vs_C2,2019-09-16T00:00:00+00:00,True,1.0,19,0.0,19,0,10
,C_P0B_vs_C2,2019-09-16T00:00:00+00:00,True,1.0,19,0.0,19,0,30
,C_P0B_vs_C2,2019-09-16T00:00:00+00:00,True,1.0,19,6.0,19,0,HYSTERESIS
,C_P0B_vs_C2,2019-09-23T00:00:00+00:00,True,1.0,21,0.0,21,0,4
,C_P0B_vs_C2,2019-09-23T00:00:00+00:00,True,1.0,21,0.0,21,0,6
,C_P0B_vs_C2,2019-09-23T00:00:00+00:00,True,1.0,21,0.0,21,0,8
,C_P0B_vs_C2,2019-09-23T00:00:00+00:00,True,1.0,21,0.0,21,0,10
,C_P0B_vs_C2,2019-09-23T00:00:00+00:00,True,1.0,21,0.0,21,0,30
,C_P0B_vs_C2,2019-09-23T00:00:00+00:00,True,1.0,21,6.0,21,0,HYSTERESIS
,C_P0B_vs_C2,2019-09-30T00:00:00+00:00,True,1.0,23,0.0,23,0,4
,C_P0B_vs_C2,2019-09-30T00:00:00+00:00,True,1.0,23,0.0,23,0,6
,C_P0B_vs_C2,2019-09-30T00:00:00+00:00,True,1.0,23,0.0,23,0,8
,C_P0B_vs_C2,2019-09-30T00:00:00+00:00,True,1.0,23,0.0,23,0,10
,C_P0B_vs_C2,2019-09-30T00:00:00+00:00,True,1.0,23,0.0,23,0,30
,C_P0B_vs_C2,2019-09-30T00:00:00+00:00,True,1.0,23,6.0,23,0,HYSTERESIS
,C_P0B_vs_C2,2019-10-07T00:00:00+00:00,True,1.0,25,0.0,25,0,4
,C_P0B_vs_C2,2019-10-07T00:00:00+00:00,True,1.0,25,0.0,25,0,6
,C_P0B_vs_C2,2019-10-07T00:00:00+00:00,True,1.0,25,0.0,25,0,8
,C_P0B_vs_C2,2019-10-07T00:00:00+00:00,True,1.0,25,0.0,25,0,10
,C_P0B_vs_C2,2019-10-07T00:00:00+00:00,True,1.0,25,0.0,25,0,30
,C_P0B_vs_C2,2019-10-07T00:00:00+00:00,True,1.0,25,6.0,25,0,HYSTERESIS
,C_P0B_vs_C2,2019-10-14T00:00:00+00:00,True,1.0,27,0.0,27,0,4
,C_P0B_vs_C2,2019-10-14T00:00:00+00:00,True,1.0,27,0.0,27,0,6
,C_P0B_vs_C2,2019-10-14T00:00:00+00:00,True,1.0,27,0.0,27,0,8
,C_P0B_vs_C2,2019-10-14T00:00:00+00:00,True,1.0,27,0.0,27,0,10
,C_P0B_vs_C2,2019-10-14T00:00:00+00:00,True,1.0,27,0.0,27,0,30
,C_P0B_vs_C2,2019-10-14T00:00:00+00:00,True,1.0,27,6.0,27,0,HYSTERESIS
,C_P0B_vs_C2,2019-10-21T00:00:00+00:00,True,1.0,27,0.0,27,0,4
,C_P0B_vs_C2,2019-10-21T00:00:00+00:00,True,1.0,27,0.0,27,0,6
,C_P0B_vs_C2,2019-10-21T00:00:00+00:00,True,1.0,27,0.0,27,0,8
,C_P0B_vs_C2,2019-10-21T00:00:00+00:00,True,1.0,27,0.0,27,0,10
,C_P0B_vs_C2,2019-10-21T00:00:00+00:00,True,1.0,27,0.0,27,0,30
,C_P0B_vs_C2,2019-10-21T00:00:00+00:00,True,1.0,27,6.0,27,0,HYSTERESIS
,C_P0B_vs_C2,2019-10-28T00:00:00+00:00,True,1.0,27,0.0,27,0,4
,C_P0B_vs_C2,2019-10-28T00:00:00+00:00,True,1.0,27,0.0,27,0,6
,C_P0B_vs_C2,2019-10-28T00:00:00+00:00,True,1.0,27,0.0,27,0,8
,C_P0B_vs_C2,2019-10-28T00:00:00+00:00,True,1.0,27,0.0,27,0,10
,C_P0B_vs_C2,2019-10-28T00:00:00+00:00,True,1.0,27,0.0,27,0,30
,C_P0B_vs_C2,2019-10-28T00:00:00+00:00,True,1.0,27,6.0,27,0,HYSTERESIS
,C_P0B_vs_C2,2019-11-04T00:00:00+00:00,True,1.0,28,0.0,28,0,4
,C_P0B_vs_C2,2019-11-04T00:00:00+00:00,True,1.0,28,0.0,28,0,6
,C_P0B_vs_C2,2019-11-04T00:00:00+00:00,True,1.0,28,0.0,28,0,8
,C_P0B_vs_C2,2019-11-04T00:00:00+00:00,True,1.0,28,0.0,28,0,10
,C_P0B_vs_C2,2019-11-04T00:00:00+00:00,True,1.0,28,0.0,28,0,30
,C_P0B_vs_C2,2019-11-04T00:00:00+00:00,True,1.0,28,6.0,28,0,HYSTERESIS
,C_P0B_vs_C2,2019-11-11T00:00:00+00:00,True,1.0,29,0.0,29,0,4
,C_P0B_vs_C2,2019-11-11T00:00:00+00:00,True,1.0,29,0.0,29,0,6
,C_P0B_vs_C2,2019-11-11T00:00:00+00:00,True,1.0,29,0.0,29,0,8
,C_P0B_vs_C2,2019-11-11T00:00:00+00:00,True,1.0,29,0.0,29,0,10
,C_P0B_vs_C2,2019-11-11T00:00:00+00:00,True,1.0,29,0.0,29,0,30
,C_P0B_vs_C2,2019-11-11T00:00:00+00:00,True,1.0,29,6.0,29,0,HYSTERESIS
,C_P0B_vs_C2,2019-11-18T00:00:00+00:00,True,1.0,29,0.0,29,0,4
