applicable_end,applicable_start,boundary_status,coverage_ratio,covered_pair_days,documented_inactivity_boundary,expected_applicable_pair_days,first_valid_open,last_valid_open,missing_pair_days,pair,product_eligible
2024-12-31T00:00:00+00:00,2022-05-06T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,971,True,971,2022-05-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,FITFI-USDT,True
2024-12-31T00:00:00+00:00,2023-11-23T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,405,True,405,2023-11-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,FLIP-USDT,True
2024-12-31T00:00:00+00:00,2023-02-17T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,684,True,684,2023-02-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,FLOKI-USDT,True
2024-12-31T00:00:00+00:00,2021-09-14T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1205,True,1205,2021-09-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,FLOW-USDT,True
2024-12-31T00:00:00+00:00,2023-01-10T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,722,True,722,2023-01-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,FLR-USDT,True
2024-12-31T00:00:00+00:00,2021-04-02T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1370,True,1370,2021-04-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,FLUX-USDT,True
2024-12-31T00:00:00+00:00,2022-06-24T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,922,True,922,2022-06-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,FORT-USDT,True
2024-12-31T00:00:00+00:00,2021-04-22T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1350,True,1350,2021-04-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,FORTH-USDT,True
2024-12-31T00:00:00+00:00,2021-09-24T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1195,True,1195,2021-09-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,FTT-USDT,True
2024-12-31T00:00:00+00:00,2021-12-15T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1113,True,1113,2021-12-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,GAFI-USDT,True
2024-12-31T00:00:00+00:00,2021-08-13T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1237,True,1237,2021-08-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,GALAX-USDT,True
2024-12-31T00:00:00+00:00,2021-03-05T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1398,True,1398,2021-03-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,GAS-USDT,True
2024-12-31T00:00:00+00:00,2021-04-29T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1343,True,1343,2021-04-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,GHX-USDT,True
2024-12-31T00:00:00+00:00,2021-11-18T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1140,True,1140,2021-11-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,GLM-USDT,True
2024-12-31T00:00:00+00:00,2022-01-11T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1086,True,1086,2022-01-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,GLMR-USDT,True
2024-12-31T00:00:00+00:00,2021-05-18T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1324,True,1324,2021-05-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,GLQ-USDT,True
2024-12-31T00:00:00+00:00,2021-06-09T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1302,True,1302,2021-06-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,GMEE-USDT,True
2024-12-31T00:00:00+00:00,2022-03-18T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1020,True,1020,2022-03-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,GMT-USDT,True
2024-12-31T00:00:00+00:00,2022-10-14T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,810,True,810,2022-10-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,GMX-USDT,True
2024-12-31T00:00:00+00:00,2021-11-29T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1129,True,1129,2021-11-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,GODS-USDT,True
