base_token,canonical_product_id,classification,classification_evidence,exclusion_reason,historical_row_count,is_product,leverage_direction,leverage_multiplier,pair,product_eligible,registered,variant_c2_presence,variant_d2_presence
MTV,MTV,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2094,False,,,MTV-USDT,True,False,True,False
MYRIA,MYRIA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,636,False,,,MYRIA-USDT,True,False,True,True
MYRO,MYRO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,371,False,,,MYRO-USDT,True,False,True,True
NAKA,NAKA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1174,False,,,NAKA-USDT,True,False,True,True
NAVI,NAVI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,764,False,,,NAVI-USDT,True,False,True,False
NEAR,NEAR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1272,False,,,NEAR-USDT,True,False,True,True
NEO,NEO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2172,False,,,NEO-USDT,True,False,True,False
NEON,NEON,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,352,False,,,NEON-USDT,True,False,True,True
NFP,NFP,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,356,False,,,NFP-USDT,True,False,True,False
NFT,NFT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1300,False,,,NFT-USDT,True,False,True,True
NIM,NIM,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1559,False,,,NIM-USDT,True,False,True,True
NKN,NKN,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1204,False,,,NKN-USDT,True,False,True,True
NMR,NMR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1212,False,,,NMR-USDT,True,False,True,True
NUM,NUM,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1140,False,,,NUM-USDT,True,False,True,True
NXRA,NXRA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,666,False,,,NXRA-USDT,True,False,True,False
NYM,NYM,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,992,False,,,NYM-USDT,True,False,True,True
OBI,OBI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,583,False,,,OBI-USDT,True,False,True,True
OGN,OGN,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1328,False,,,OGN-USDT,True,False,True,True
ONDO,ONDO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,349,False,,,ONDO-USDT,True,False,True,True
ONE,ONE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1959,False,,,ONE-USDT,True,False,True,True
ONT,ONT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2145,False,,,ONT-USDT,True,False,True,False
OORT,OORT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,197,False,,,OORT-USDT,True,False,True,False
OP,OP,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,946,False,,,OP-USDT,True,False,True,True
OP2L,OP2L,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,LEVERAGED_OR_SYNTHETIC_PRODUCT,275,True,L,2,OP2L-USDT,False,True,False,False
OP2S,OP2S,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,LEVERAGED_OR_SYNTHETIC_PRODUCT,274,True,S,2,OP2S-USDT,False,True,False,False
ORAI,ORAI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1408,False,,,ORAI-USDT,True,False,True,True
ORBS,ORBS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1377,False,,,ORBS-USDT,True,False,True,True
ORCA,ORCA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,355,False,,,ORCA-USDT,True,False,True,True
ORDI,ORDI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,580,False,,,ORDI-USDT,True,False,True,False
OSMO,OSMO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,719,False,,,OSMO-USDT,True,False,True,True
OTK,OTK,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,630,False,,,OTK-USDT,True,False,True,True
OVR,OVR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,979,False,,,OVR-USDT,True,False,True,True
OXT,OXT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1206,False,,,OXT-USDT,True,False,True,True
P2P,P2P,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1192,False,,,P2P-USDT,True,False,True,False
PAXG,PAXG,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1148,False,,,PAXG-USDT,True,False,True,True
PENDLE,PENDLE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,548,False,,,PENDLE-USDT,True,False,True,True
PEOPLE,PEOPLE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1106,False,,,PEOPLE-USDT,True,False,True,True
PEPE,PEPE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,607,False,,,PEPE-USDT,True,False,True,False
PHA,PHA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1405,False,,,PHA-USDT,True,False,True,True
PIX,PIX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,834,False,,,PIX-USDT,True,False,True,True
POKT,POKT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,805,False,,,POKT-USDT,True,False,True,True
POL,POL,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,419,False,,,POL-USDT,True,False,True,True
POLS,POLS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1307,False,,,POLS-USDT,True,False,True,True
POLYX,POLYX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,379,False,,,POLYX-USDT,True,False,True,True
POND,POND,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1126,False,,,POND-USDT,True,False,True,True
PROM,PROM,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1315,False,,,PROM-USDT,True,False,True,True
PUNDIX,PUNDIX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1363,False,,,PUNDIX-USDT,True,False,True,False
PUSH,PUSH,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1177,False,,,PUSH-USDT,True,False,True,True
PYR,PYR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1316,False,,,PYR-USDT,True,False,True,True
PYTH,PYTH,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,408,False,,,PYTH-USDT,True,False,True,True
PZP,PZP,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,623,False,,,PZP-USDT,True,False,True,False
QI,QI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1231,False,,,QI-USDT,True,False,True,True
QKC,QKC,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,404,False,,,QKC-USDT,True,False,True,False
QNT,QNT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1424,False,,,QNT-USDT,True,False,True,True
RATS,RATS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,408,False,,,RATS-USDT,True,False,True,True
RAY,RAY,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,363,False,,,RAY-USDT,True,False,True,True
REEF,REEF,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1170,False,,,REEF-USDT,True,False,True,True
REQ,REQ,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1237,False,,,REQ-USDT,True,False,True,False
REVU,REVU,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1090,False,,,REVU-USDT,True,False,True,True
RLC,RLC,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1209,False,,,RLC-USDT,True,False,True,True
ROSE,ROSE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1504,False,,,ROSE-USDT,True,False,True,True
ROUTE,ROUTE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1261,False,,,ROUTE-USDT,True,False,True,True
RPL,RPL,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,712,False,,,RPL-USDT,True,False,True,True
RSR,RSR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1133,False,,,RSR-USDT,True,False,True,True
RUNE,RUNE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1191,False,,,RUNE-USDT,True,False,True,True
RVN,RVN,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,854,False,,,RVN-USDT,True,False,True,True
SAND,SAND,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1371,False,,,SAND-USDT,True,False,True,True
SAROS,SAROS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,348,False,,,SAROS-USDT,True,False,True,True
SATS,SATS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,419,False,,,SATS-USDT,True,False,True,True
SCRT,SCRT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,952,False,,,SCRT-USDT,True,False,True,True
SD,SD,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,635,False,,,SD-USDT,True,False,True,True
SEI,SEI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,505,False,,,SEI-USDT,True,False,True,True
SENSO,SENSO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1748,False,,,SENSO-USDT,True,False,True,True
SFP,SFP,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1134,False,,,SFP-USDT,True,False,True,True
SFUND,SFUND,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1301,False,,,SFUND-USDT,True,False,True,True
SHIB,SHIB,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1332,False,,,SHIB-USDT,True,False,True,True
SHR,SHR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1510,False,,,SHR-USDT,True,False,True,True
SIN,SIN,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,968,False,,,SIN-USDT,True,False,True,True
SKEY,SKEY,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1384,False,,,SKEY-USDT,True,False,True,True
SKL,SKL,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1212,False,,,SKL-USDT,True,False,True,True
SLP,SLP,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1246,False,,,SLP-USDT,True,False,True,True
SNX,SNX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2173,False,,,SNX-USDT,True,False,True,False
SOL,SOL,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1246,False,,,SOL-USDT,True,False,True,True
SOUL,SOUL,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1274,False,,,SOUL-USDT,True,False,True,False
SPA,SPA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,988,False,,,SPA-USDT,True,False,True,True
SSV,SSV,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,685,False,,,SSV-USDT,True,False,True,True
STG,STG,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1013,False,,,STG-USDT,True,False,True,True
STORJ,STORJ,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1216,False,,,STORJ-USDT,True,False,True,True
STRAX,STRAX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,632,False,,,STRAX-USDT,True,False,True,False
STX,STX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1679,False,,,STX-USDT,True,False,True,True
SUI,SUI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,609,False,,,SUI-USDT,True,False,True,False
SUKU,SUKU,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1602,False,,,SUKU-USDT,True,False,True,True
SUN,SUN,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1275,False,,,SUN-USDT,True,False,True,True
SUPER,SUPER,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1161,False,,,SUPER-USDT,True,False,True,True
SUSHI,SUSHI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1440,False,,,SUSHI-USDT,True,False,True,True
SWEAT,SWEAT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,841,False,,,SWEAT-USDT,True,False,True,True
SWFTC,SWFTC,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,985,False,,,SWFTC-USDT,True,False,True,True
SYN,SYN,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,673,False,,,SYN-USDT,True,False,True,True
SYS,SYS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,979,False,,,SYS-USDT,True,False,True,True
TAO,TAO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,378,False,,,TAO-USDT,True,False,True,True
TEL,TEL,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2066,False,,,TEL-USDT,True,False,True,False
TFUEL,TFUEL,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1036,False,,,TFUEL-USDT,True,False,True,True
THETA,THETA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1426,False,,,THETA-USDT,True,False,True,True
TIA,TIA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,428,False,,,TIA-USDT,True,False,True,True
TIME,TIME,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1100,False,,,TIME-USDT,True,False,True,False
TLM,TLM,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1192,False,,,TLM-USDT,True,False,True,True
TLOS,TLOS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1325,False,,,TLOS-USDT,True,False,True,True
TOKEN,TOKEN,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,425,False,,,TOKEN-USDT,True,False,True,True
TOWER,TOWER,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1342,False,,,TOWER-USDT,True,False,True,True
TRAC,TRAC,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,691,False,,,TRAC-USDT,True,False,True,False
TRADE,TRADE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1139,False,,,TRADE-USDT,True,False,True,True
TRB,TRB,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1211,False,,,TRB-USDT,True,False,True,True
TRVL,TRVL,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1119,False,,,TRVL-USDT,True,False,True,True
TRX,TRX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2160,False,,,TRX-USDT,True,False,True,True
TT,TT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,853,False,,,TT-USDT,True,False,True,True
TURBOS,TURBOS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,597,False,,,TURBOS-USDT,True,False,True,True
TWT,TWT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1141,False,,,TWT-USDT,True,False,True,True
UMA,UMA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1577,False,,,UMA-USDT,True,False,True,True
UNI,UNI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1567,False,,,UNI-USDT,True,False,True,True
UOS,UOS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1561,False,,,UOS-USDT,True,False,True,True
UQC,UQC,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,404,False,,,UQC-USDT,True,False,True,True
UTK,UTK,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,390,False,,,UTK-USDT,True,False,True,False
VAI,VAI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1370,False,,,VAI-USDT,True,False,True,True
VANRY,VANRY,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,384,False,,,VANRY-USDT,True,False,True,False
VELO,VELO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1567,False,,,VELO-USDT,True,False,True,True
VERSE,VERSE,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,586,False,,,VERSE-USDT,True,False,True,True
VET,VET,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2161,False,,,VET-USDT,True,False,True,False
VOLT,VOLT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,579,False,,,VOLT-USDT,True,False,True,False
VR,VR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1126,False,,,VR-USDT,True,False,True,True
VSYS,VSYS,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1945,False,,,VSYS-USDT,True,False,True,True
WAVES,WAVES,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1623,False,,,WAVES-USDT,True,False,True,True
WAX,WAX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1359,False,,,WAX-USDT,True,False,True,False
WAXL,WAXL,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,686,False,,,WAXL-USDT,True,False,True,True
WELL,WELL,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,923,False,,,WELL-USDT,True,False,True,True
WEMIX,WEMIX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,916,False,,,WEMIX-USDT,True,False,True,True
WIF,WIF,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,349,False,,,WIF-USDT,True,False,True,True
WILD,WILD,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1219,False,,,WILD-USDT,True,False,True,True
WIN,WIN,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1980,False,,,WIN-USDT,True,False,True,True
WLD,WLD,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,527,False,,,WLD-USDT,True,False,True,True
WOO,WOO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1220,False,,,WOO-USDT,True,False,True,True
XAI,XAI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,358,False,,,XAI-USDT,True,False,True,True
XAVA,XAVA,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1301,False,,,XAVA-USDT,True,False,True,True
XCH,XCH,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1244,False,,,XCH-USDT,True,False,True,True
XCN,XCN,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1005,False,,,XCN-USDT,True,False,True,True
XDB,XDB,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1730,False,,,XDB-USDT,True,False,True,False
XDC,XDC,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1335,False,,,XDC-USDT,True,False,True,True
XEC,XEC,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1115,False,,,XEC-USDT,True,False,True,False
XEM,XEM,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2015,False,,,XEM-USDT,True,False,True,True
XEN,XEN,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,553,False,,,XEN-USDT,True,False,True,True
XLM,XLM,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2155,False,,,XLM-USDT,True,False,True,False
XMR,XMR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1379,False,,,XMR-USDT,True,False,True,True
XPR,XPR,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1226,False,,,XPR-USDT,True,False,True,True
XPRT,XPRT,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1205,False,,,XPRT-USDT,True,False,True,True
XRD,XRD,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,665,False,,,XRD-USDT,True,False,True,False
XRP,XRP,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2161,False,,,XRP-USDT,True,False,True,True
XTZ,XTZ,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2014,False,,,XTZ-USDT,True,False,True,True
XYO,XYO,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1210,False,,,XYO-USDT,True,False,True,False
YFI,YFI,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1570,False,,,YFI-USDT,True,False,True,True
YGG,YGG,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1213,False,,,YGG-USDT,True,False,True,True
ZBCN,ZBCN,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,244,False,,,ZBCN-USDT,True,False,True,False
ZEC,ZEC,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,2009,False,,,ZEC-USDT,True,False,True,True
ZEN,ZEN,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1430,False,,,ZEN-USDT,True,False,True,True
ZIL,ZIL,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,1365,False,,,ZIL-USDT,True,False,True,False
ZKJ,ZKJ,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,288,False,,,ZKJ-USDT,True,False,True,False
ZPAY,ZPAY,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,618,False,,,ZPAY-USDT,True,False,True,True
ZRX,ZRX,ORDINARY_SPOT,frozen_identity_and_product_policy_no_match,,406,False,,,ZRX-USDT,True,False,True,False
