decision_time,period,variant,top_n,rank,pair,canonical_asset_id,confidence_class
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,10,5,NEO-USDT,NEO,CURRENT_SEED_KLINE_CONFIRMED
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,10,6,XRP-USDT,XRP,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,10,7,TRX-USDT,TRX,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,10,8,ETC-USDT,ETC,CURRENT_SEED_KLINE_CONFIRMED
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,10,9,XLM-USDT,XLM,CURRENT_SEED_KLINE_CONFIRMED
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,10,10,BCHSV-USDT,BCHSV,CURRENT_SEED_KLINE_CONFIRMED
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,30,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,30,2,KCS-USDT,KCS,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,30,3,ETH-USDT,ETH,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,30,4,LTC-USDT,LTC,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,30,5,NEO-USDT,NEO,CURRENT_SEED_KLINE_CONFIRMED
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,30,6,XRP-USDT,XRP,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,30,7,TRX-USDT,TRX,EVIDENCE_STRONG
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,30,8,ETC-USDT,ETC,CURRENT_SEED_KLINE_CONFIRMED
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,30,9,XLM-USDT,XLM,CURRENT_SEED_KLINE_CONFIRMED
2019-04-01T00:00:00+00:00,POST_WARMUP,E05,30,10,BCHSV-USDT,BCHSV,CURRENT_SEED_KLINE_CONFIRMED
