pair,canonical_asset_id,confidence_class,variant_d_presence,p2t_identity_classification,eligible_in_c,historical_membership_retained,notes
NIM-USDT,NIM,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
NKN-USDT,NKN,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
NMR-USDT,NMR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
NUM-USDT,NUM,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
NXRA-USDT,NXRA,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
NYM-USDT,NYM,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
OBI-USDT,OBI,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
OGN-USDT,OGN,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ONDO-USDT,ONDO,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ONE-USDT,ONE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ONT-USDT,ONT,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
OORT-USDT,OORT,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
OP-USDT,OP,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
OP2L-USDT,OP2L,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,True,Excluded product appears in the committed C ranking; P2U stops before Variant-E construction.
OP2S-USDT,OP2S,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,True,Excluded product appears in the committed C ranking; P2U stops before Variant-E construction.
ORAI-USDT,ORAI,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ORBS-USDT,ORBS,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ORCA-USDT,ORCA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ORDI-USDT,ORDI,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
OSMO-USDT,OSMO,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
OTK-USDT,OTK,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
OVR-USDT,OVR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
OXT-USDT,OXT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
P2P-USDT,P2P,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
PAXG-USDT,PAXG,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
PENDLE-USDT,PENDLE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
PEOPLE-USDT,PEOPLE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
PEPE-USDT,PEPE,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
PHA-USDT,PHA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
PIX-USDT,PIX,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
POKT-USDT,POKT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
POL-USDT,POL,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
POLS-USDT,POLS,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
POLYX-USDT,POLYX,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
POND-USDT,POND,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
PROM-USDT,PROM,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
PUNDIX-USDT,PUNDIX,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
PUSH-USDT,PUSH,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
PYR-USDT,PYR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
PYTH-USDT,PYTH,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
PZP-USDT,PZP,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
QI-USDT,QI,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
QKC-USDT,QKC,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
QNT-USDT,QNT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
RATS-USDT,RATS,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
RAY-USDT,RAY,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
REEF-USDT,REEF,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
REQ-USDT,REQ,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
REVU-USDT,REVU,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
RLC-USDT,RLC,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ROSE-USDT,ROSE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ROUTE-USDT,ROUTE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
RPL-USDT,RPL,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
RSR-USDT,RSR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
RUNE-USDT,RUNE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
RVN-USDT,RVN,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SAND-USDT,SAND,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SAROS-USDT,SAROS,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SATS-USDT,SATS,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SCRT-USDT,SCRT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SD-USDT,SD,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SEI-USDT,SEI,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SENSO-USDT,SENSO,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SFP-USDT,SFP,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SFUND-USDT,SFUND,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SHIB-USDT,SHIB,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SHR-USDT,SHR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SIN-USDT,SIN,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SKEY-USDT,SKEY,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SKL-USDT,SKL,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SLP-USDT,SLP,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SNX-USDT,SNX,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
SOL-USDT,SOL,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SOUL-USDT,SOUL,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
SPA-USDT,SPA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SSV-USDT,SSV,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
STG-USDT,STG,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
STORJ-USDT,STORJ,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
STRAX-USDT,STRAX,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
STX-USDT,STX,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SUI-USDT,SUI,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
SUKU-USDT,SUKU,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SUN-USDT,SUN,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SUPER-USDT,SUPER,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SUSHI-USDT,SUSHI,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SWEAT-USDT,SWEAT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SWFTC-USDT,SWFTC,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SYN-USDT,SYN,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
SYS-USDT,SYS,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
TAO-USDT,TAO,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
TEL-USDT,TEL,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
TFUEL-USDT,TFUEL,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
THETA-USDT,THETA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
TIA-USDT,TIA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
TIME-USDT,TIME,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
TLM-USDT,TLM,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
TLOS-USDT,TLOS,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
TOKEN-USDT,TOKEN,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
TOWER-USDT,TOWER,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
TRAC-USDT,TRAC,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
TRADE-USDT,TRADE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
TRB-USDT,TRB,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
TRVL-USDT,TRVL,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
TRX-USDT,TRX,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
TT-USDT,TT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
TURBOS-USDT,TURBOS,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
TWT-USDT,TWT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
UMA-USDT,UMA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
UNI-USDT,UNI,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
UOS-USDT,UOS,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
UQC-USDT,UQC,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
UTK-USDT,UTK,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
VAI-USDT,VAI,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
VANRY-USDT,VANRY,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
VELO-USDT,VELO,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
VERSE-USDT,VERSE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
VET-USDT,VET,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
VOLT-USDT,VOLT,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
VR-USDT,VR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
VSYS-USDT,VSYS,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
WAVES-USDT,WAVES,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
WAX-USDT,WAX,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
WAXL-USDT,WAXL,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
WELL-USDT,WELL,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
WEMIX-USDT,WEMIX,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
WIF-USDT,WIF,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
WILD-USDT,WILD,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
WIN-USDT,WIN,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
WLD-USDT,WLD,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
WOO-USDT,WOO,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
XAI-USDT,XAI,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
XAVA-USDT,XAVA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
XCH-USDT,XCH,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
XCN-USDT,XCN,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
XDB-USDT,XDB,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
XDC-USDT,XDC,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
XEC-USDT,XEC,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
XEM-USDT,XEM,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
XEN-USDT,XEN,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
XLM-USDT,XLM,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
XMR-USDT,XMR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
XPR-USDT,XPR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
XPRT-USDT,XPRT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
XRD-USDT,XRD,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
XRP-USDT,XRP,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
XTZ-USDT,XTZ,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
XYO-USDT,XYO,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
YFI-USDT,YFI,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
YGG-USDT,YGG,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ZBCN-USDT,ZBCN,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
ZEC-USDT,ZEC,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ZEN-USDT,ZEN,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ZIL-USDT,ZIL,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
ZKJ-USDT,ZKJ,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
ZPAY-USDT,ZPAY,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ZRX-USDT,ZRX,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
