pair,canonical_asset_id,discovery_channels,provenance_category,current_seed_only,secondary_channels
SUN-USDT,SUN,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
SUPER-USDT,SUPER,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
SUSHI-USDT,SUSHI,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
SWEAT-USDT,SWEAT,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
SWFTC-USDT,SWFTC,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
SYN-USDT,SYN,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
SYS-USDT,SYS,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
TAO-USDT,TAO,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
TEL-USDT,TEL,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
TFUEL-USDT,TFUEL,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
THETA-USDT,THETA,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
TIA-USDT,TIA,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
TIME-USDT,TIME,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
TLM-USDT,TLM,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
TLOS-USDT,TLOS,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
TOKEN-USDT,TOKEN,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
TOWER-USDT,TOWER,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
TRAC-USDT,TRAC,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
TRADE-USDT,TRADE,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
TRB-USDT,TRB,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
TRVL-USDT,TRVL,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
TRX-USDT,TRX,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
TT-USDT,TT,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
TURBOS-USDT,TURBOS,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
TWT-USDT,TWT,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
UMA-USDT,UMA,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
UNI-USDT,UNI,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
UOS-USDT,UOS,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
UQC-USDT,UQC,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
UTK-USDT,UTK,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
VAI-USDT,VAI,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
VANRY-USDT,VANRY,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
VELO-USDT,VELO,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
VERSE-USDT,VERSE,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
VET-USDT,VET,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
VOLT-USDT,VOLT,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
VR-USDT,VR,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
VSYS-USDT,VSYS,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
WAVES-USDT,WAVES,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
WAX-USDT,WAX,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
WAXL-USDT,WAXL,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
WELL-USDT,WELL,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
WEMIX-USDT,WEMIX,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
WIF-USDT,WIF,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
WILD-USDT,WILD,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
WIN-USDT,WIN,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
WLD-USDT,WLD,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
WOO-USDT,WOO,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
XAI-USDT,XAI,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
XAVA-USDT,XAVA,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
XCH-USDT,XCH,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
XCN-USDT,XCN,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
XDB-USDT,XDB,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
XDC-USDT,XDC,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
XEC-USDT,XEC,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
XEM-USDT,XEM,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
XEN-USDT,XEN,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
XLM-USDT,XLM,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
XMR-USDT,XMR,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
