universe_mode,portfolio_mode,fold_id,trade_id,position_id,candidate_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,net_pnl,return_fraction,exit_reason,alignment_tier,holding_hours,mfe,mae,natural_reselection_sequence,previous_position_id
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-713a9ce8abc010ace1a4,POS-110d72c599d0984a11be,CAND-383e52ca42036a958a7f,SEI,2023-11-28T00:00:00+00:00,2023-12-25T04:00:00+00:00,0.2305,0.3943,152152.35936688032,24922.556464294994,24732.42687603014,0.7038002086932426,REBALANCE_EXIT,FULL,652.0,1.039045553145336,-0.06941431670282006,0,
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-025094843ac4c9668362,POS-70aa69d1abe658220ed0,CAND-3e2efebffe5d566a61b8,AVAX,2023-11-14T04:00:00+00:00,2024-01-01T00:00:00+00:00,16.717,38.55,2072.753922175269,45254.43638285265,45025.326600818924,1.2968300403440292,END_OF_FOLD_EXIT,FULL,1148.0,1.9893521564874082,-0.030687324280672224,1,POS-e4c65a93cd958e5ed26c
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-4c295a7950e041dc629c,POS-23dbc2c9714231a2975c,CAND-f2abcdfc2ee2db91cb56,NEAR,2023-12-25T20:00:00+00:00,2024-01-01T00:00:00+00:00,4.2758,3.648,14264.237270298692,-8955.088158293522,-9181.142084858306,-0.15023220783280253,END_OF_FOLD_EXIT,FULL,148.0,0.0809673043640955,-0.1765751438327331,2,POS-bd666e6222d056aef592
FIXED_SURVIVOR_30,CONTROL,WF02,TRADE-24d156fca0722e16bda5,POS-a92ab3193cddfab835aa,CAND-4d11c68722aad2262eec,SOL,2023-12-27T00:00:00+00:00,2024-01-01T00:00:00+00:00,112.486,101.706,509.9572645862759,-5497.339312240055,-5715.796845072582,-0.09944359276752578,END_OF_FOLD_EXIT,FULL,120.0,0.025105346443112797,-0.1361769464644489,4,POS-11d3a832562bf6ab85c6
FIXED_SURVIVOR_30,CONTROL,WF03,TRADE-77bf388627f07e16c8a1,POS-97249464c916e782d0fd,CAND-d1cb128b4c7ebfbcf05e,AVAX,2024-01-01T20:00:00+00:00,2024-01-08T04:00:00+00:00,41.056,31.906,421.1291179873299,-3853.331429584068,-3914.784274997251,-0.22596865894088672,REBALANCE_EXIT,MEDIUM,152.0,0.057701675759937565,-0.2590607950116912,0,
FIXED_SURVIVOR_30,CONTROL,WF03,TRADE-365ba8520718c810f1d6,POS-b2d0f8ce29a081f3af8d,CAND-f47d6e3403098dc7cc90,BNB,2024-01-11T12:00:00+00:00,2024-01-15T04:00:00+00:00,314.438,309.63,78.2011291490801,-375.99102894877655,-473.5966734803928,-0.019221747702859098,REBALANCE_EXIT,FULL,88.0,0.007324178375387236,-0.08136421170469221,0,
FIXED_SURVIVOR_30,CONTROL,WF03,TRADE-b4e22fff69614ab34f42,POS-507e8fda2c1e4ea9ceb9,CAND-2805e663267b37ecb3a8,NEAR,2024-01-02T04:00:00+00:00,2024-01-15T04:00:00+00:00,3.9154,3.3729,6743.314267686348,-3658.247990219844,-3756.5425849742005,-0.14199434812756873,REBALANCE_EXIT,FULL,312.0,0.10614496603156787,-0.2746590386678245,0,
FIXED_SURVIVOR_30,CONTROL,WF03,TRADE-2ac7c6f832f727fa8a52,POS-8492c862e2b377d2fba7,CAND-702e510a3595db934ad9,SEI,2024-01-01T12:00:00+00:00,2024-02-05T04:00:00+00:00,0.6286,0.5999,39770.91950365892,-1141.4253897550134,-1239.1425389755034,-0.049466768022974186,REBALANCE_EXIT,FULL,832.0,0.40454979319121853,-0.13124403436207444,0,
FIXED_SURVIVOR_30,CONTROL,WF03,TRADE-3e37fcaa4e32b5830cce,POS-744536077e05d6e11842,CAND-06fb18f92d6a04b13610,SYN,2024-01-16T16:00:00+00:00,2024-02-12T04:00:00+00:00,0.645,0.7278,36640.01083358115,3033.792897020519,2933.1940832758382,0.12386761360998928,REBALANCE_EXIT,FULL,636.0,0.5483720930232558,-0.10310077519379846,0,
FIXED_SURVIVOR_30,CONTROL,WF03,TRADE-2f37ebb0996fe92fa495,POS-8ebc8dbdae4e7da8fea6,CAND-3b5101eae6e774af9cb3,BTC,2024-02-14T08:00:00+00:00,2024-02-19T04:00:00+00:00,49832.2,52067.9,0.5211058113780674,1165.0362624979477,1058.8347939179353,0.040693449451889574,REBALANCE_EXIT,FULL,116.0,0.05974851601976239,-0.0019124180750598185,0,
