signal_id,regime_id,state,decision_count,mean_rank_ic
DISTANCE_FROM_EMA20_ATR,AVERAGE_PAIRWISE_CORRELATION_TERCILE,INSUFFICIENT_HISTORY,104,0.03929732669999634
DISTANCE_FROM_EMA20_ATR,MARKET_BREADTH_TERCILE,HIGH,48,0.021128634991260133
DISTANCE_FROM_EMA20_ATR,MARKET_BREADTH_TERCILE,LOW,21,0.15654430849091586
DISTANCE_FROM_EMA20_ATR,MARKET_BREADTH_TERCILE,MID,35,-0.006133799459717148
DISTANCE_FROM_EMA20_ATR,PIT_UNIVERSE_SIZE_TERCILE,LOW,104,0.03929732669999634
RSI14_OVEREXTENSION,BTC_TREND_STATE,INSUFFICIENT_HISTORY,24,0.13333333333333333
RSI14_OVEREXTENSION,BTC_TREND_STATE,UP,80,0.017467821388844746
RSI14_OVEREXTENSION,BTC_REALIZED_VOLATILITY_TERCILE,HIGH,18,0.08273390186627116
RSI14_OVEREXTENSION,BTC_REALIZED_VOLATILITY_TERCILE,LOW,47,0.03622464677064349
RSI14_OVEREXTENSION,BTC_REALIZED_VOLATILITY_TERCILE,MID,39,0.03604248921267831
RSI14_OVEREXTENSION,CROSS_SECTIONAL_DISPERSION_TERCILE,HIGH,39,0.002090234570768503
RSI14_OVEREXTENSION,CROSS_SECTIONAL_DISPERSION_TERCILE,LOW,32,0.08095105672969966
RSI14_OVEREXTENSION,CROSS_SECTIONAL_DISPERSION_TERCILE,MID,33,0.058347659015067235
RSI14_OVEREXTENSION,AVERAGE_PAIRWISE_CORRELATION_TERCILE,INSUFFICIENT_HISTORY,104,0.044206016452957485
RSI14_OVEREXTENSION,MARKET_BREADTH_TERCILE,HIGH,48,0.0302346522591239
RSI14_OVEREXTENSION,MARKET_BREADTH_TERCILE,LOW,21,0.16550664759786007
RSI14_OVEREXTENSION,MARKET_BREADTH_TERCILE,MID,35,-0.00941363419672652
RSI14_OVEREXTENSION,PIT_UNIVERSE_SIZE_TERCILE,LOW,104,0.044206016452957485
DONCHIAN_20_POSITION,BTC_TREND_STATE,INSUFFICIENT_HISTORY,24,-0.06844642195031515
DONCHIAN_20_POSITION,BTC_TREND_STATE,UP,80,0.0007619577308120129
DONCHIAN_20_POSITION,BTC_REALIZED_VOLATILITY_TERCILE,HIGH,18,-0.08866641947843283
DONCHIAN_20_POSITION,BTC_REALIZED_VOLATILITY_TERCILE,LOW,47,0.02626559060895085
DONCHIAN_20_POSITION,BTC_REALIZED_VOLATILITY_TERCILE,MID,39,-0.03128832606029492
DONCHIAN_20_POSITION,CROSS_SECTIONAL_DISPERSION_TERCILE,HIGH,39,0.020256125039217365
DONCHIAN_20_POSITION,CROSS_SECTIONAL_DISPERSION_TERCILE,LOW,32,-0.01982758620689655
DONCHIAN_20_POSITION,CROSS_SECTIONAL_DISPERSION_TERCILE,MID,33,-0.05264435231064819
DONCHIAN_20_POSITION,AVERAGE_PAIRWISE_CORRELATION_TERCILE,INSUFFICIENT_HISTORY,104,-0.015209206810986562
DONCHIAN_20_POSITION,MARKET_BREADTH_TERCILE,HIGH,48,-0.008537263626251386
DONCHIAN_20_POSITION,MARKET_BREADTH_TERCILE,LOW,21,-0.1009693310027014
DONCHIAN_20_POSITION,MARKET_BREADTH_TERCILE,MID,35,0.02709677419354839
DONCHIAN_20_POSITION,PIT_UNIVERSE_SIZE_TERCILE,LOW,104,-0.015209206810986562
DONCHIAN_55_POSITION,BTC_TREND_STATE,INSUFFICIENT_HISTORY,24,-0.11941045606229143
DONCHIAN_55_POSITION,BTC_TREND_STATE,UP,80,0.009193548387096776
DONCHIAN_55_POSITION,BTC_REALIZED_VOLATILITY_TERCILE,HIGH,18,-0.05766901495488815
DONCHIAN_55_POSITION,BTC_REALIZED_VOLATILITY_TERCILE,LOW,47,-0.011554209168579748
DONCHIAN_55_POSITION,BTC_REALIZED_VOLATILITY_TERCILE,MID,39,-0.0140840249850261
DONCHIAN_55_POSITION,CROSS_SECTIONAL_DISPERSION_TERCILE,HIGH,39,-0.022880123213827333
DONCHIAN_55_POSITION,CROSS_SECTIONAL_DISPERSION_TERCILE,LOW,32,-0.010845383759733035
DONCHIAN_55_POSITION,CROSS_SECTIONAL_DISPERSION_TERCILE,MID,33,-0.026999696632622115
DONCHIAN_55_POSITION,AVERAGE_PAIRWISE_CORRELATION_TERCILE,INSUFFICIENT_HISTORY,104,-0.020484298793531273
DONCHIAN_55_POSITION,MARKET_BREADTH_TERCILE,HIGH,48,-0.014432703003337042
DONCHIAN_55_POSITION,MARKET_BREADTH_TERCILE,LOW,21,-0.13997563430266433
DONCHIAN_55_POSITION,MARKET_BREADTH_TERCILE,MID,35,0.04291117114253933
DONCHIAN_55_POSITION,PIT_UNIVERSE_SIZE_TERCILE,LOW,104,-0.020484298793531273
VOLATILITY_CONTRACTION_BREAKOUT,BTC_TREND_STATE,INSUFFICIENT_HISTORY,24,nan
VOLATILITY_CONTRACTION_BREAKOUT,BTC_TREND_STATE,UP,80,nan
VOLATILITY_CONTRACTION_BREAKOUT,BTC_REALIZED_VOLATILITY_TERCILE,HIGH,18,nan
VOLATILITY_CONTRACTION_BREAKOUT,BTC_REALIZED_VOLATILITY_TERCILE,LOW,47,nan
VOLATILITY_CONTRACTION_BREAKOUT,BTC_REALIZED_VOLATILITY_TERCILE,MID,39,nan
VOLATILITY_CONTRACTION_BREAKOUT,CROSS_SECTIONAL_DISPERSION_TERCILE,HIGH,39,nan
VOLATILITY_CONTRACTION_BREAKOUT,CROSS_SECTIONAL_DISPERSION_TERCILE,LOW,32,nan
VOLATILITY_CONTRACTION_BREAKOUT,CROSS_SECTIONAL_DISPERSION_TERCILE,MID,33,nan
VOLATILITY_CONTRACTION_BREAKOUT,AVERAGE_PAIRWISE_CORRELATION_TERCILE,INSUFFICIENT_HISTORY,104,nan
VOLATILITY_CONTRACTION_BREAKOUT,MARKET_BREADTH_TERCILE,HIGH,48,nan
VOLATILITY_CONTRACTION_BREAKOUT,MARKET_BREADTH_TERCILE,LOW,21,nan
VOLATILITY_CONTRACTION_BREAKOUT,MARKET_BREADTH_TERCILE,MID,35,nan
VOLATILITY_CONTRACTION_BREAKOUT,PIT_UNIVERSE_SIZE_TERCILE,LOW,104,nan
ATR_EXPANSION_WITH_POSITIVE_RETURN,BTC_TREND_STATE,INSUFFICIENT_HISTORY,24,nan
ATR_EXPANSION_WITH_POSITIVE_RETURN,BTC_TREND_STATE,UP,80,nan
ATR_EXPANSION_WITH_POSITIVE_RETURN,BTC_REALIZED_VOLATILITY_TERCILE,HIGH,18,nan
ATR_EXPANSION_WITH_POSITIVE_RETURN,BTC_REALIZED_VOLATILITY_TERCILE,LOW,47,nan
ATR_EXPANSION_WITH_POSITIVE_RETURN,BTC_REALIZED_VOLATILITY_TERCILE,MID,39,nan
ATR_EXPANSION_WITH_POSITIVE_RETURN,CROSS_SECTIONAL_DISPERSION_TERCILE,HIGH,39,nan
ATR_EXPANSION_WITH_POSITIVE_RETURN,CROSS_SECTIONAL_DISPERSION_TERCILE,LOW,32,nan
ATR_EXPANSION_WITH_POSITIVE_RETURN,CROSS_SECTIONAL_DISPERSION_TERCILE,MID,33,nan
ATR_EXPANSION_WITH_POSITIVE_RETURN,AVERAGE_PAIRWISE_CORRELATION_TERCILE,INSUFFICIENT_HISTORY,104,nan
ATR_EXPANSION_WITH_POSITIVE_RETURN,MARKET_BREADTH_TERCILE,HIGH,48,nan
ATR_EXPANSION_WITH_POSITIVE_RETURN,MARKET_BREADTH_TERCILE,LOW,21,nan
ATR_EXPANSION_WITH_POSITIVE_RETURN,MARKET_BREADTH_TERCILE,MID,35,nan
ATR_EXPANSION_WITH_POSITIVE_RETURN,PIT_UNIVERSE_SIZE_TERCILE,LOW,104,nan
RETURN_PATH_EFFICIENCY_28D,BTC_TREND_STATE,INSUFFICIENT_HISTORY,24,-0.12280311457174638
