variant_id,cost_mode,symbol,compounded_return
MD01-M03,BASE_COST,SOL,1.5868647564343514
MD01-M03,BASE_COST,SUI,1.7599247381581788
MD01-M03,BASE_COST,SYN,2.12435122306226
MD01-M03,BASE_COST,TAO,2.009653783880456
MD01-M03,BASE_COST,TRX,2.1329146685086604
MD01-M03,BASE_COST,UNI,1.950998475017172
MD01-M03,BASE_COST,XLM,1.4794710680803118
MD01-M03,BASE_COST,XMR,2.550447947205053
MD01-M03,BASE_COST,XRP,2.300802753343785
MD01-M03,BASE_COST,ZEC,1.9845105969357948
MD01-M03,STRESS_0_4_PERCENT,AAVE,1.9894888764586804
MD01-M03,STRESS_0_4_PERCENT,ADA,1.3719667986534518
MD01-M03,STRESS_0_4_PERCENT,AVAX,1.1923842007902214
MD01-M03,STRESS_0_4_PERCENT,BNB,1.8148137463547198
MD01-M03,STRESS_0_4_PERCENT,BTC,1.7039730166902571
MD01-M03,STRESS_0_4_PERCENT,DEXE,1.2056228652325367
MD01-M03,STRESS_0_4_PERCENT,DOGE,1.3408385878980607
MD01-M03,STRESS_0_4_PERCENT,DOT,1.6489222388548872
MD01-M03,STRESS_0_4_PERCENT,ENA,1.6850807347668977
MD01-M03,STRESS_0_4_PERCENT,ETH,1.611147065755373
MD01-M03,STRESS_0_4_PERCENT,GRAM,1.4492695912580569
MD01-M03,STRESS_0_4_PERCENT,LINK,1.5295372782293621
MD01-M03,STRESS_0_4_PERCENT,LTC,1.9658673985880393
MD01-M03,STRESS_0_4_PERCENT,NEAR,1.882228406293335
MD01-M03,STRESS_0_4_PERCENT,ONDO,1.7307739681819823
MD01-M03,STRESS_0_4_PERCENT,PEPE,1.5053458342757131
MD01-M03,STRESS_0_4_PERCENT,SEI,1.3334452869656288
MD01-M03,STRESS_0_4_PERCENT,SHIB,1.9114935716877826
MD01-M03,STRESS_0_4_PERCENT,SNX,2.67599701102923
MD01-M03,STRESS_0_4_PERCENT,SOL,1.247216628452696
MD01-M03,STRESS_0_4_PERCENT,SUI,1.393672720747237
MD01-M03,STRESS_0_4_PERCENT,SYN,1.711473047204151
MD01-M03,STRESS_0_4_PERCENT,TAO,1.6092807288118558
MD01-M03,STRESS_0_4_PERCENT,TRX,1.7342324707628638
MD01-M03,STRESS_0_4_PERCENT,UNI,1.5667389910884721
MD01-M03,STRESS_0_4_PERCENT,XLM,1.1511175380374623
MD01-M03,STRESS_0_4_PERCENT,XMR,2.1034162963201957
MD01-M03,STRESS_0_4_PERCENT,XRP,1.8778400544047855
MD01-M03,STRESS_0_4_PERCENT,ZEC,1.5939945172889578
MD01-M04,ZERO_COST,AAVE,-0.07233878757305645
MD01-M04,ZERO_COST,ADA,-0.1073825357985938
MD01-M04,ZERO_COST,AVAX,-0.21388423576262605
MD01-M04,ZERO_COST,BTC,-0.04002148845228548
MD01-M04,ZERO_COST,DEXE,-0.10098647644619385
MD01-M04,ZERO_COST,DOGE,-0.30569804873572404
MD01-M04,ZERO_COST,ENA,-0.08679341212498726
MD01-M04,ZERO_COST,ETH,0.02345332226825514
MD01-M04,ZERO_COST,GRAM,-0.1325124221831121
MD01-M04,ZERO_COST,LINK,-0.2073183034618079
MD01-M04,ZERO_COST,LTC,-0.11131330714344012
MD01-M04,ZERO_COST,NEAR,0.2702640059319057
MD01-M04,ZERO_COST,ONDO,-0.027911167191776554
MD01-M04,ZERO_COST,PEPE,-0.1240017834448186
MD01-M04,ZERO_COST,SEI,-0.17283405965383591
MD01-M04,ZERO_COST,SHIB,-7.515789283440988e-05
MD01-M04,ZERO_COST,SNX,-0.027182494301899895
MD01-M04,ZERO_COST,SOL,-0.3053544465830951
MD01-M04,ZERO_COST,SUI,-0.29417906702222096
MD01-M04,ZERO_COST,SYN,-0.11745435978975016
MD01-M04,ZERO_COST,TAO,-0.08963129809114623
MD01-M04,ZERO_COST,TRX,-0.14278329900717746
MD01-M04,ZERO_COST,UNI,-0.006823435594224381
MD01-M04,ZERO_COST,XLM,-0.01751393260559364
MD01-M04,ZERO_COST,XMR,0.08890465472338116
MD01-M04,ZERO_COST,XRP,0.07545495256497015
MD01-M04,ZERO_COST,ZEC,0.0665435114824311
MD01-M04,BASE_COST,AAVE,-0.14776016235517808
MD01-M04,BASE_COST,ADA,-0.18233289025861044
MD01-M04,BASE_COST,AVAX,-0.2771257559942324
MD01-M04,BASE_COST,BTC,-0.11511260656503164
MD01-M04,BASE_COST,DEXE,-0.1736448941355856
MD01-M04,BASE_COST,DOGE,-0.36423122195381996
MD01-M04,BASE_COST,ENA,-0.16339471729046118
MD01-M04,BASE_COST,ETH,-0.057562952812094115
MD01-M04,BASE_COST,GRAM,-0.2040499319651513
MD01-M04,BASE_COST,LINK,-0.27449114603460156
MD01-M04,BASE_COST,LTC,-0.18501247647526775
MD01-M04,BASE_COST,NEAR,0.177449840260534
MD01-M04,BASE_COST,ONDO,-0.1072954292948437
MD01-M04,BASE_COST,PEPE,-0.19713800707535833
MD01-M04,BASE_COST,SEI,-0.2441279302804742
MD01-M04,BASE_COST,SHIB,-0.08003910455416019
MD01-M04,BASE_COST,SNX,-0.10637982619441322
MD01-M04,BASE_COST,SOL,-0.36117615095096045
MD01-M04,BASE_COST,SUI,-0.35415910913336135
MD01-M04,BASE_COST,SYN,-0.19183101378683665
MD01-M04,BASE_COST,TAO,-0.1661863565859304
MD01-M04,BASE_COST,TRX,-0.21268772527123803
MD01-M04,BASE_COST,UNI,-0.08826949828555808
MD01-M04,BASE_COST,XLM,-0.09832582368805032
MD01-M04,BASE_COST,XMR,0.006036503704503815
MD01-M04,BASE_COST,XRP,-0.006584480729635134
MD01-M04,BASE_COST,ZEC,-0.01811745136451226
MD01-M04,STRESS_0_4_PERCENT,AAVE,-0.21721478173677555
MD01-M04,STRESS_0_4_PERCENT,ADA,-0.25118742605077793
MD01-M04,STRESS_0_4_PERCENT,AVAX,-0.3353190048824428
MD01-M04,STRESS_0_4_PERCENT,BTC,-0.18435413824544877
MD01-M04,STRESS_0_4_PERCENT,DEXE,-0.24053136943438247
MD01-M04,STRESS_0_4_PERCENT,DOGE,-0.417972675855003
MD01-M04,STRESS_0_4_PERCENT,ENA,-0.23377393022488757
MD01-M04,STRESS_0_4_PERCENT,ETH,-0.13223822300250498
MD01-M04,STRESS_0_4_PERCENT,GRAM,-0.26981987512390293
MD01-M04,STRESS_0_4_PERCENT,LINK,-0.3361470340783743
MD01-M04,STRESS_0_4_PERCENT,LTC,-0.2527637307505496
MD01-M04,STRESS_0_4_PERCENT,NEAR,0.09144124097516881
MD01-M04,STRESS_0_4_PERCENT,ONDO,-0.1803320763724947
MD01-M04,STRESS_0_4_PERCENT,PEPE,-0.2643358814761765
MD01-M04,STRESS_0_4_PERCENT,SEI,-0.30948232311603896
MD01-M04,STRESS_0_4_PERCENT,SHIB,-0.15372705587505897
MD01-M04,STRESS_0_4_PERCENT,SNX,-0.17927556337239192
MD01-M04,STRESS_0_4_PERCENT,SOL,-0.41255294811428134
MD01-M04,STRESS_0_4_PERCENT,SUI,-0.409179635701691
