observation_state,fold_id,symbol,membership_exit_decision_time,last_pit_membership_week,first_removed_week,membership_tenure_weeks_before_exit,fixed_survivor,event_label,event_ids,price_at_membership_exit,measurement_status,data_available_1w,return_1w,data_available_2w,return_2w,data_available_4w,return_4w,data_available_8w,return_8w,mfe_8w,mae_8w,time_to_recovery_hours,time_to_new_high_hours,reentered_pit_later,reentry_time,fixed_or_union_position_active_at_exit,pit_position_active_at_exit,strategy_exit_time_if_any,strategy_exit_reason,fixed_post_exit_trade_count,fixed_post_exit_net_pnl,union_post_exit_trade_count,union_post_exit_net_pnl,population
REMOVED_FROM_PIT,WF01,LRC,2022-08-29T00:00:00+00:00,2022-08-22T00:00:00+00:00,2022-08-29T00:00:00+00:00,5,False,UNLABELLED,,0.3411,MEASURABLE,True,0.08091468777484612,True,0.061858692465552645,True,-0.13896218117853998,True,-0.2547639988273235,0.1040750513046027,-0.3046027557900909,4.0,,True,2023-02-06T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF01,DASH,2022-09-12T00:00:00+00:00,2022-09-05T00:00:00+00:00,2022-09-12T00:00:00+00:00,2,False,UNLABELLED,,48.27,MEASURABLE,True,-0.16573441060700222,True,-0.14895380153304338,True,-0.1106277190801741,True,-0.09509011808576762,0.033561218147917904,-0.2127615496167392,8.0,,True,2022-10-10T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF01,BAT,2022-10-10T00:00:00+00:00,2022-10-03T00:00:00+00:00,2022-10-10T00:00:00+00:00,17,False,UNLABELLED,,0.3013,MEASURABLE,True,-0.04845668768669098,True,-0.06140059741121806,True,0.04746100232326578,True,-0.22668436773979417,0.1672751410554265,-0.3040159309658148,4.0,476.0,True,2024-01-08T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF01,FTT,2022-12-26T00:00:00+00:00,2022-12-19T00:00:00+00:00,2022-12-26T00:00:00+00:00,50,False,TERMINAL_IMPAIRMENT,FTX_FTT_COLLAPSE_2022,0.895,MEASURABLE,True,-0.042458100558659284,True,0.02346368715083802,True,1.3497206703910618,True,0.7798882681564245,2.3407821229050283,-0.10614525139664799,4.0,356.0,True,2023-01-16T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF02,BAL,2023-01-16T00:00:00+00:00,2023-01-09T00:00:00+00:00,2023-01-16T00:00:00+00:00,3,False,UNLABELLED,,6.601,MEASURABLE,True,0.036812604150886274,True,0.07892743523708523,True,-0.04862899560672618,True,-0.036509619754582556,0.19678836539918199,-0.181942129980306,4.0,40.0,False,,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF02,PAXG,2023-02-06T00:00:00+00:00,2023-01-30T00:00:00+00:00,2023-02-06T00:00:00+00:00,24,False,UNLABELLED,,1854.38,MEASURABLE,True,-0.016161735998015514,True,-0.01893355191492585,True,-0.006789331205038995,True,0.0657039010343079,0.08624445906448508,-0.052292410401320155,4.0,804.0,True,2023-02-13T00:00:00+00:00,False,True,2023-02-06T04:00:00+00:00,REBALANCE_EXIT,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF02,COMP,2023-02-13T00:00:00+00:00,2023-02-06T00:00:00+00:00,2023-02-13T00:00:00+00:00,22,False,UNLABELLED,,48.58,MEASURABLE,True,0.16797035817208728,True,0.06525319061342127,True,-0.12474269246603531,True,-0.11897900370522851,0.3112391930835736,-0.2671881432688349,8.0,160.0,True,2023-02-20T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF02,PAXG,2023-02-20T00:00:00+00:00,2023-02-13T00:00:00+00:00,2023-02-20T00:00:00+00:00,1,False,UNLABELLED,,1817.53,MEASURABLE,True,-0.011185510005336852,True,0.013347785180987337,True,0.0823865355730029,True,0.11013298267428873,0.12899374425731636,-0.023399888860156315,4.0,284.0,True,2023-03-06T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF02,FTT,2023-03-06T00:00:00+00:00,2023-02-27T00:00:00+00:00,2023-03-06T00:00:00+00:00,7,False,TERMINAL_IMPAIRMENT,FTX_FTT_COLLAPSE_2022,1.27,MEASURABLE,True,-0.12519685039370076,True,0.13858267716535422,True,0.024409448818897506,True,0.18503937007874005,1.2456692913385825,-0.25039370078740164,4.0,300.0,True,2023-03-20T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
REMOVED_FROM_PIT,WF02,COMP,2023-03-20T00:00:00+00:00,2023-03-13T00:00:00+00:00,2023-03-20T00:00:00+00:00,4,False,UNLABELLED,,46.08,MEASURABLE,True,-0.07530381944444442,True,-0.08268229166666652,True,0.00477430555555558,True,-0.24392361111111105,0.04383680555555558,-0.2703993055555556,668.0,,True,2023-03-27T00:00:00+00:00,False,False,,,0,0.0,0,0.0,REMOVED_PIT_ENTRANTS
