asset,canonical_asset,canonical_symbol,normalization_rule,stablecoin_excluded,investable_identity,observation_days,first_day,last_day,maximum_market_cap_usd
xrp,xrp,XRP,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,272628803392.45746
xvg,xvg,XVG,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,33365024022.366596
yfi,yfi,YFI,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2953619258.4912953
zec,zec,ZEC,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,3537967384.3047338
zil_eth,zil,ZIL,NETWORK_FORM_TO_PARENT,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,50443466.67995639
zrx,zrx,ZRX,IDENTITY,False,True,1461,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,2313194689.85764
weth,eth,ETH,EXPLICIT_ALIAS,False,True,1460,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,35532615531.012794
dcr,dcr,DCR,IDENTITY,False,True,1459,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,3156116879.667276
nas_eth,nas,NAS,NETWORK_FORM_TO_PARENT,False,True,1442,2021-01-01T00:00:00+00:00,2024-12-12T00:00:00+00:00,68166355.3597296
qash,qash,QASH,IDENTITY,False,True,1442,2021-01-01T00:00:00+00:00,2024-12-12T00:00:00+00:00,170069717.060817
perp,perp,PERP,IDENTITY,False,True,1427,2021-02-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,3274514449.56882
ant,ant,ANT,IDENTITY,False,True,1407,2021-01-01T00:00:00+00:00,2024-11-07T00:00:00+00:00,531060962.5616026
icp,icp,ICP,IDENTITY,False,True,1331,2021-05-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,172376385670.7185
shib_eth,shib,SHIB,NETWORK_FORM_TO_PARENT,False,True,1331,2021-05-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,82298041626.01349
wtc,wtc,WTC,IDENTITY,False,True,1263,2021-01-01T00:00:00+00:00,2024-06-16T00:00:00+00:00,158549126.27064
ldo,ldo,LDO,IDENTITY,False,True,1208,2021-09-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,5786993045.27293
rev_eth,rev,REV,NETWORK_FORM_TO_PARENT,False,True,1182,2021-01-01T00:00:00+00:00,2024-03-27T00:00:00+00:00,2950593521.292167
vtc,vtc,VTC,IDENTITY,False,True,1074,2021-01-01T00:00:00+00:00,2023-12-10T00:00:00+00:00,117986294.36915101
bsv,bsv,BSV,IDENTITY,False,True,946,2021-01-01T00:00:00+00:00,2023-08-07T00:00:00+00:00,8225720831.40252
aion_eth,aion,AION,NETWORK_FORM_TO_PARENT,False,True,792,2021-01-01T00:00:00+00:00,2023-03-03T00:00:00+00:00,248328899.16891295
ppt,ppt,PPT,IDENTITY,False,True,620,2021-01-01T00:00:00+00:00,2022-09-12T00:00:00+00:00,378689200.82811177
avaxx,avaxx,AVAXX,IDENTITY,False,True,617,2023-04-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,1635148851.538829
dot,dot,DOT,IDENTITY,False,True,519,2021-01-01T00:00:00+00:00,2022-06-03T00:00:00+00:00,59857593911.98775
xtz,xtz,XTZ,IDENTITY,False,True,483,2021-01-01T00:00:00+00:00,2022-04-28T00:00:00+00:00,7386685677.168965
pol_eth,matic,MATIC,EXPLICIT_ALIAS,False,True,434,2023-10-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,12838479263.84558
hedg,hedg,HEDG,IDENTITY,False,True,392,2021-01-01T00:00:00+00:00,2022-01-27T00:00:00+00:00,2203785383.10949
flow,flow,FLOW,IDENTITY,False,True,202,2024-06-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,1879993601.895103
flow_native,flow_native,FLOW_NATIVE,IDENTITY,False,True,202,2024-06-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,1879993601.895103
sdai_eth,sdai,SDAI,NETWORK_FORM_TO_PARENT,False,True,146,2024-08-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,1573025798.7947707
