symbol,entry_signal_time,exit_signal_time,entry_price,exit_price,net_trade_return_after_round_trip_cost,holding_days,exit_reason
DOGE/USDT,2022-03-30 00:00:00+00:00,2022-04-02 00:00:00+00:00,0.14431,0.14136,-0.024352514567566264,3,ROTATION_EXIT
BNB/USDT,2022-04-02 00:00:00+00:00,2022-04-05 00:00:00+00:00,447.722,447.532,-0.004414692354227756,3,ROTATION_EXIT
NEAR/USDT,2022-04-05 00:00:00+00:00,2022-04-08 00:00:00+00:00,17.1044,17.437,0.015375647059521214,3,ROTATION_EXIT
BTC/USDT,2022-04-05 00:00:00+00:00,2022-04-08 00:00:00+00:00,46584.1,43442.1,-0.07117066889531465,3,ROTATION_EXIT
DOGE/USDT,2022-04-08 00:00:00+00:00,2022-04-11 00:00:00+00:00,0.1459,0.14824,0.011982341006814501,3,ROTATION_EXIT
AVAX/USDT,2022-04-08 00:00:00+00:00,2022-04-11 00:00:00+00:00,87.582,80.975,-0.07912874212753729,3,ROTATION_EXIT
SHIB/USDT,2022-04-11 00:00:00+00:00,2022-04-17 00:00:00+00:00,2.445e-05,2.558e-05,0.04204025486858587,6,ROTATION_EXIT
XRP/USDT,2022-04-14 00:00:00+00:00,2022-04-17 00:00:00+00:00,0.72312,0.78067,0.07527596096666045,3,ROTATION_EXIT
DOGE/USDT,2022-04-17 00:00:00+00:00,2022-04-20 00:00:00+00:00,0.14353,0.14257,-0.010653812558815923,3,ROTATION_EXIT
BNB/USDT,2022-04-17 00:00:00+00:00,2022-04-20 00:00:00+00:00,417.222,422.21,0.007915524440522681,3,ROTATION_EXIT
SOL/USDT,2022-04-20 00:00:00+00:00,2022-04-23 00:00:00+00:00,108.525,100.584,-0.07687199202148565,3,ROTATION_EXIT
TRX/USDT,2022-04-23 00:00:00+00:00,2022-04-26 00:00:00+00:00,0.066586,0.065294,-0.023318035181851493,3,ROTATION_EXIT
DOGE/USDT,2022-04-23 00:00:00+00:00,2022-04-26 00:00:00+00:00,0.13636,0.15818,0.15538679168503688,3,ROTATION_EXIT
BTC/USDT,2022-04-26 00:00:00+00:00,2022-05-02 00:00:00+00:00,40428.4,38469.3,-0.05225707818959546,6,ROTATION_EXIT
TRX/USDT,2022-04-29 00:00:00+00:00,2022-05-02 00:00:00+00:00,0.063708,0.070769,0.10639933794744905,3,ROTATION_EXIT
DOGE/USDT,2022-05-02 00:00:00+00:00,2022-05-05 00:00:00+00:00,0.13269,0.13598,0.020703637566227062,3,ROTATION_EXIT
SHIB/USDT,2022-05-02 00:00:00+00:00,2022-05-05 00:00:00+00:00,2.155e-05,2.181e-05,0.008024785695430525,3,ROTATION_EXIT
XRP/USDT,2022-05-05 00:00:00+00:00,2022-05-08 00:00:00+00:00,0.64594,0.5807,-0.10458891487236377,3,ROTATION_EXIT
AVAX/USDT,2022-05-05 00:00:00+00:00,2022-05-08 00:00:00+00:00,67.288,55.053,-0.18509648756226693,3,ROTATION_EXIT
NEAR/USDT,2022-05-11 00:00:00+00:00,2022-05-14 00:00:00+00:00,9.5701,6.5285,-0.3205464808358852,3,ROTATION_EXIT
DOT/USDT,2022-05-26 00:00:00+00:00,2022-05-29 00:00:00+00:00,9.874,9.6453,-0.02706139270982033,3,ROTATION_EXIT
XRP/USDT,2022-05-29 00:00:00+00:00,2022-06-01 00:00:00+00:00,0.38624,0.42161,0.08721760083809182,3,ROTATION_EXIT
ADA/USDT,2022-06-01 00:00:00+00:00,2022-06-04 00:00:00+00:00,0.627276,0.5599,-0.11097368581058253,3,ROTATION_EXIT
ADA/USDT,2022-06-07 00:00:00+00:00,2022-06-10 00:00:00+00:00,0.609123,0.632186,0.03371946781391233,3,ROTATION_EXIT
LINK/USDT,2022-06-10 00:00:00+00:00,2022-06-13 00:00:00+00:00,9.271,6.2716,-0.32622546945802067,3,ROTATION_EXIT
AVAX/USDT,2022-06-10 00:00:00+00:00,2022-06-13 00:00:00+00:00,24.419,17.285,-0.2949753059506115,3,ROTATION_EXIT
BNB/USDT,2022-06-13 00:00:00+00:00,2022-06-16 00:00:00+00:00,254.787,233.634,-0.08668287887012538,3,ROTATION_EXIT
DOGE/USDT,2022-06-13 00:00:00+00:00,2022-06-16 00:00:00+00:00,0.06354,0.06285,-0.014807966691734675,3,ROTATION_EXIT
