symbol,open_time,close_time,expected_close_time,close_time_standard,quote_volume,number_of_trades,taker_buy_quote_volume
ETHUSDT,2023-03-24T11:42:00+00:00,2023-03-24T11:42:59.999000+00:00,2023-03-24T11:42:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:43:00+00:00,2023-03-24T11:43:59.999000+00:00,2023-03-24T11:43:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:44:00+00:00,2023-03-24T11:44:59.999000+00:00,2023-03-24T11:44:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:45:00+00:00,2023-03-24T11:45:59.999000+00:00,2023-03-24T11:45:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:46:00+00:00,2023-03-24T11:46:59.999000+00:00,2023-03-24T11:46:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:47:00+00:00,2023-03-24T11:47:59.999000+00:00,2023-03-24T11:47:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:48:00+00:00,2023-03-24T11:48:59.999000+00:00,2023-03-24T11:48:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:49:00+00:00,2023-03-24T11:49:59.999000+00:00,2023-03-24T11:49:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:50:00+00:00,2023-03-24T11:50:59.999000+00:00,2023-03-24T11:50:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:51:00+00:00,2023-03-24T11:51:59.999000+00:00,2023-03-24T11:51:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:52:00+00:00,2023-03-24T11:52:59.999000+00:00,2023-03-24T11:52:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:53:00+00:00,2023-03-24T11:53:59.999000+00:00,2023-03-24T11:53:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:54:00+00:00,2023-03-24T11:54:59.999000+00:00,2023-03-24T11:54:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:55:00+00:00,2023-03-24T11:55:59.999000+00:00,2023-03-24T11:55:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:56:00+00:00,2023-03-24T11:56:59.999000+00:00,2023-03-24T11:56:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:57:00+00:00,2023-03-24T11:57:59.999000+00:00,2023-03-24T11:57:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:58:00+00:00,2023-03-24T11:58:59.999000+00:00,2023-03-24T11:58:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T11:59:00+00:00,2023-03-24T11:59:59.999000+00:00,2023-03-24T11:59:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:00:00+00:00,2023-03-24T12:00:59.999000+00:00,2023-03-24T12:00:59.999000+00:00,True,0.0,0,0.0
