pair,resolution,boundary_status,first_valid_open,last_valid_open,discovery_channels
ARIA-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ARKER-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ARKM-USDT,,EXACT_FULL_HISTORY,2023-10-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
ARN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ARNM-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ARPA-USDT,,EXACT_FULL_HISTORY,2019-07-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
ARPADOWN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ARPAUP-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ARRR-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ARS-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ART-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ARTFI-USDT,,EXACT_FULL_HISTORY,2024-06-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,current_currency_non_causal_seed
ARTY-USDT,,EXACT_FULL_HISTORY,2023-12-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
ARX-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ARXOLD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ARY-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ASD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ASI-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ASP-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ASRR-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ASSET-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ASTER-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ASTR-USDT,,EXACT_FULL_HISTORY,2022-01-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
ASTRA-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ASTROBOY-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ATA-USDT,,EXACT_FULL_HISTORY,2021-11-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
ATEM-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ATH-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ATOM-USDT,,EXACT_FULL_HISTORY,2019-05-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
ATOM3L-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ATOM3S-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
ATOR-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
ATWO-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
AUCTION-USDT,,EXACT_FULL_HISTORY,2023-12-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
AUD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
AUDIO-USDT,,EXACT_FULL_HISTORY,2021-11-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
AURA-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
AURORA-USDT,,EXACT_FULL_HISTORY,2022-04-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
AURY-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
AUSD-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
AUTOS-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
AVA-USDT,,EXACT_FULL_HISTORY,2019-03-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,current_currency_non_causal_seed
AVAAI-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
AVAIL-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
AVAX-USDT,,EXACT_FULL_HISTORY,2021-03-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
