direction,training_period,evaluation_period,universe_id,landmark_age_hours,model_fit_pass,rank,coefficient_name,coefficient_value
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,24,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,-0.019794392745696807
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,24,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,0.030972045024093283
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,48,True,3,INTERCEPT,-0.04687615827511803
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,48,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,0.07088814707249695
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,48,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,0.06427013317705269
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,72,True,3,INTERCEPT,0.06618407637338314
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,72,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,-0.024037494482966937
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,72,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,-0.0717657662832199
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,96,True,3,INTERCEPT,0.011641848288773177
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,96,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,-0.013339956411932552
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,96,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,0.024337464044065258
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,120,True,3,INTERCEPT,-0.007916907974251918
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,120,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,0.05774163686088565
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,120,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,-0.03304804133228502
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,144,True,3,INTERCEPT,0.004718548471383272
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,144,True,3,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_CLOSE_LOCATION_GAP,0.025514420486392422
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,144,True,3,BTC_ETH_MEAN_ABSOLUTE_CROSS_VENUE_LOG_RANGE_GAP,-0.026112357962106578
