universe_id,landmark_age_hours,direction,training_period,evaluation_period,removed_pair,training_row_count,evaluation_row_count,training_pair_count,evaluation_pair_count,structural_support_pass,model_fit_pass,continuous_lopo_pass,classification_auc_lopo_pass,subset_required_lopo_pass,spearman_predicted_vs_actual,auc_adverse_score,subset_row_count,subset_actual_mean_rcv,subset_actual_negative_fraction
C2,96,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ATOM-USDT,19,60,6,10,True,True,True,True,True,0.2273366734661318,0.5912124582869855,25,-0.008885851449323306,0.64
C2,96,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,AVAX-USDT,17,60,6,10,True,True,True,True,True,0.2737422312189838,0.6006674082313682,21,-0.006832525042268496,0.6190476190476191
C2,96,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,BTC-USDT,18,47,6,9,True,True,True,True,False,0.1419023188103185,0.5154545454545455,23,0.007553938733473059,0.5217391304347826
C2,96,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,DOGE-USDT,21,57,7,9,True,True,True,True,True,0.2469148531997956,0.6024691358024692,27,-0.006919802652986107,0.5925925925925926
C2,96,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ETH-USDT,17,50,6,9,True,True,False,False,False,-0.11312144227421922,0.43397745571658614,42,0.007026381692464148,0.5238095238095238
C2,96,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,KAS-USDT,21,59,7,9,True,True,False,True,True,0.2072434802807354,0.5902298850574713,27,-0.0029555840280362945,0.5555555555555556
C2,96,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LINK-USDT,21,58,7,9,True,True,True,True,True,0.1854702676407895,0.5686977299880526,28,-0.005139176735578773,0.5714285714285714
C2,96,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LTC-USDT,21,57,7,9,True,True,True,True,True,0.19904004499917347,0.5874384236453202,27,-0.003320284066039755,0.5555555555555556
C2,96,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,SHIB-USDT,21,55,7,9,True,True,False,True,True,0.2179015838343003,0.6031746031746031,25,-0.0029999686215837844,0.56
C2,96,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,SOL-USDT,17,49,6,9,True,True,False,False,False,-0.23968602050601406,0.3879598662207358,29,0.012986851001074426,0.4482758620689655
C2,96,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,XMR-USDT,21,56,7,9,True,True,True,True,True,0.24466979461790705,0.620051085568327,27,-0.0048887724835940775,0.5555555555555556
C2,96,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,XRP-USDT,19,52,6,9,True,True,True,True,True,0.3248879752527658,0.6242559523809523,24,-0.00044923902442718194,0.625
C2,120,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ADA-USDT,19,59,6,10,True,True,True,True,True,0.31373135857673096,0.6275641025641026,31,-0.012272177209580322,0.7096774193548387
C2,120,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ATOM-USDT,19,59,6,10,True,True,True,True,True,0.3026838662034497,0.6294871794871795,20,-0.010936283050515042,0.75
C2,120,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,AVAX-USDT,17,59,6,10,True,True,True,True,True,0.3066864399759661,0.6307692307692307,14,-0.018995698170851793,0.7857142857142857
C2,120,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,BTC-USDT,18,46,6,9,True,True,True,True,True,0.28131291423161736,0.5578093306288032,28,-0.011754207386408196,0.6785714285714286
C2,120,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,DOGE-USDT,21,56,7,9,True,True,True,True,True,0.38969263723916286,0.647226173541963,30,-0.01347636437562307,0.7333333333333333
C2,120,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ETH-USDT,17,49,6,9,True,True,True,True,True,0.431438492370035,0.6551020408163265,33,-0.012064490434645296,0.7878787878787878
C2,120,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,KAS-USDT,21,58,7,9,True,True,True,True,True,0.33203006866938334,0.6256578947368421,31,-0.01055157139344881,0.7096774193548387
C2,120,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LINK-USDT,21,57,7,9,True,True,True,True,True,0.33706424182182115,0.6412742382271468,32,-0.0121769081805915,0.71875
C2,120,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LTC-USDT,21,56,7,9,True,True,True,True,True,0.28481027658897706,0.6041666666666666,29,-0.008377749225112975,0.6896551724137931
C2,120,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,SHIB-USDT,21,54,7,9,True,True,True,True,True,0.3419513337993014,0.649624060150376,29,-0.011396625552036129,0.7241379310344828
C2,120,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,SOL-USDT,17,48,6,9,True,True,True,True,True,0.37608409717335617,0.6298828125,19,-0.02236104137439235,0.7894736842105263
C2,120,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,XMR-USDT,21,55,7,9,True,True,True,True,True,0.344758062145534,0.6235380116959064,31,-0.012512180278390564,0.7096774193548387
C2,120,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,XRP-USDT,19,52,6,9,True,True,True,True,True,0.2534243809825831,0.584873949579832,29,-0.011641362252355297,0.6896551724137931
C2,144,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ADA-USDT,19,60,6,10,True,True,True,True,False,0.15298649750830878,0.6891741071428571,43,0.0023588313801494575,0.5813953488372093
C2,144,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ATOM-USDT,19,60,6,10,True,True,True,True,True,0.1889562785152482,0.7008928571428571,33,-0.004861832887284903,0.6666666666666666
C2,144,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,AVAX-USDT,17,60,6,10,True,True,True,True,True,0.16014799398796434,0.6919642857142857,30,-0.00538512562810413,0.7
C2,144,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,BTC-USDT,18,47,6,9,True,True,True,True,False,0.1505208978570517,0.6636363636363637,35,0.005388805351773337,0.5428571428571428
C2,144,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,DOGE-USDT,21,57,7,9,True,True,True,True,False,0.21910571116597008,0.7295285359801489,42,0.0022615889686327163,0.5952380952380952
C2,144,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ETH-USDT,17,50,6,9,True,True,True,True,False,0.21852781507099062,0.7083333333333334,38,0.0012905394102774583,0.5526315789473685
C2,144,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,KAS-USDT,21,59,7,9,True,True,True,True,False,0.18084269332533304,0.7071759259259259,42,0.001821425348741508,0.5952380952380952
C2,144,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LINK-USDT,21,58,7,9,True,True,True,True,False,0.17796859701664672,0.7079326923076923,41,7.678762211325315e-05,0.6097560975609756
C2,144,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LTC-USDT,21,57,7,9,True,True,True,True,False,0.24380677729925007,0.7364197530864197,41,0.0034783065379390913,0.5853658536585366
C2,144,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,SHIB-USDT,21,55,7,9,True,True,True,True,False,0.11521595768085734,0.6779100529100529,38,0.004832016197665549,0.5526315789473685
C2,144,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,SOL-USDT,17,49,6,9,True,True,True,True,False,0.15557431952433762,0.7215719063545151,35,0.0017382289267469488,0.6
C2,144,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,XMR-USDT,21,56,7,9,True,True,True,True,False,0.17906061754307243,0.6929487179487179,41,0.002991597480709582,0.5609756097560976
C2,144,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,XRP-USDT,19,52,6,9,True,True,True,True,True,0.20847841159336494,0.7321428571428571,37,-0.0003641828300348783,0.5945945945945946
