canonical_asset_id,historical_symbol,identity_status,identity_version,pair,source
ROSE,ROSE,RESOLVED,rd18-p1r-identity-v1,ROSE-USDT,P0B_confirmed_inventory
ROUTE,ROUTE,RESOLVED,rd18-p1r-identity-v1,ROUTE-USDT,P0B_confirmed_inventory
RPL,RPL,RESOLVED,rd18-p1r-identity-v1,RPL-USDT,P0B_confirmed_inventory
RSR,RSR,RESOLVED,rd18-p1r-identity-v1,RSR-USDT,P0B_confirmed_inventory
RUNE,RUNE,RESOLVED,rd18-p1r-identity-v1,RUNE-USDT,P0B_confirmed_inventory
RVN,RVN,RESOLVED,rd18-p1r-identity-v1,RVN-USDT,P0B_confirmed_inventory
SAND,SAND,RESOLVED,rd18-p1r-identity-v1,SAND-USDT,P0B_confirmed_inventory
SAROS,SAROS,RESOLVED,rd18-p1r-identity-v1,SAROS-USDT,P0B_confirmed_inventory
SATS,SATS,RESOLVED,rd18-p1r-identity-v1,SATS-USDT,P0B_confirmed_inventory
SCRT,SCRT,RESOLVED,rd18-p1r-identity-v1,SCRT-USDT,P0B_confirmed_inventory
SD,SD,RESOLVED,rd18-p1r-identity-v1,SD-USDT,P0B_confirmed_inventory
SEI,SEI,RESOLVED,rd18-p1r-identity-v1,SEI-USDT,P0B_confirmed_inventory
SENSO,SENSO,RESOLVED,rd18-p1r-identity-v1,SENSO-USDT,P0B_confirmed_inventory
SFP,SFP,RESOLVED,rd18-p1r-identity-v1,SFP-USDT,P0B_confirmed_inventory
SFUND,SFUND,RESOLVED,rd18-p1r-identity-v1,SFUND-USDT,P0B_confirmed_inventory
SHIB,SHIB,RESOLVED,rd18-p1r-identity-v1,SHIB-USDT,P0B_confirmed_inventory
SHR,SHR,RESOLVED,rd18-p1r-identity-v1,SHR-USDT,P0B_confirmed_inventory
SIN,SIN,RESOLVED,rd18-p1r-identity-v1,SIN-USDT,P0B_confirmed_inventory
SKEY,SKEY,RESOLVED,rd18-p1r-identity-v1,SKEY-USDT,P0B_confirmed_inventory
SKL,SKL,RESOLVED,rd18-p1r-identity-v1,SKL-USDT,P0B_confirmed_inventory
SLP,SLP,RESOLVED,rd18-p1r-identity-v1,SLP-USDT,P0B_confirmed_inventory
SNX,SNX,RESOLVED,rd18-p1r-identity-v1,SNX-USDT,P0B_confirmed_inventory
SOL,SOL,RESOLVED,rd18-p1r-identity-v1,SOL-USDT,P0B_confirmed_inventory
SOUL,SOUL,RESOLVED,rd18-p1r-identity-v1,SOUL-USDT,P0B_confirmed_inventory
SPA,SPA,RESOLVED,rd18-p1r-identity-v1,SPA-USDT,P0B_confirmed_inventory
SSV,SSV,RESOLVED,rd18-p1r-identity-v1,SSV-USDT,P0B_confirmed_inventory
STG,STG,RESOLVED,rd18-p1r-identity-v1,STG-USDT,P0B_confirmed_inventory
STORJ,STORJ,RESOLVED,rd18-p1r-identity-v1,STORJ-USDT,P0B_confirmed_inventory
STRAX,STRAX,RESOLVED,rd18-p1r-identity-v1,STRAX-USDT,P0B_confirmed_inventory
STX,STX,RESOLVED,rd18-p1r-identity-v1,STX-USDT,P0B_confirmed_inventory
SUI,SUI,RESOLVED,rd18-p1r-identity-v1,SUI-USDT,P0B_confirmed_inventory
SUKU,SUKU,RESOLVED,rd18-p1r-identity-v1,SUKU-USDT,P0B_confirmed_inventory
SUN,SUN,RESOLVED,rd18-p1r-identity-v1,SUN-USDT,P0B_confirmed_inventory
SUPER,SUPER,RESOLVED,rd18-p1r-identity-v1,SUPER-USDT,P0B_confirmed_inventory
SUSHI,SUSHI,RESOLVED,rd18-p1r-identity-v1,SUSHI-USDT,P0B_confirmed_inventory
SWEAT,SWEAT,RESOLVED,rd18-p1r-identity-v1,SWEAT-USDT,P0B_confirmed_inventory
SWFTC,SWFTC,RESOLVED,rd18-p1r-identity-v1,SWFTC-USDT,P0B_confirmed_inventory
SYN,SYN,RESOLVED,rd18-p1r-identity-v1,SYN-USDT,P0B_confirmed_inventory
SYS,SYS,RESOLVED,rd18-p1r-identity-v1,SYS-USDT,P0B_confirmed_inventory
TAO,TAO,RESOLVED,rd18-p1r-identity-v1,TAO-USDT,P0B_confirmed_inventory
TEL,TEL,RESOLVED,rd18-p1r-identity-v1,TEL-USDT,P0B_confirmed_inventory
TFUEL,TFUEL,RESOLVED,rd18-p1r-identity-v1,TFUEL-USDT,P0B_confirmed_inventory
THETA,THETA,RESOLVED,rd18-p1r-identity-v1,THETA-USDT,P0B_confirmed_inventory
TIA,TIA,RESOLVED,rd18-p1r-identity-v1,TIA-USDT,P0B_confirmed_inventory
TIME,TIME,RESOLVED,rd18-p1r-identity-v1,TIME-USDT,P0B_confirmed_inventory
TLM,TLM,RESOLVED,rd18-p1r-identity-v1,TLM-USDT,P0B_confirmed_inventory
TLOS,TLOS,RESOLVED,rd18-p1r-identity-v1,TLOS-USDT,P0B_confirmed_inventory
TOKEN,TOKEN,RESOLVED,rd18-p1r-identity-v1,TOKEN-USDT,P0B_confirmed_inventory
TOWER,TOWER,RESOLVED,rd18-p1r-identity-v1,TOWER-USDT,P0B_confirmed_inventory
TRAC,TRAC,RESOLVED,rd18-p1r-identity-v1,TRAC-USDT,P0B_confirmed_inventory
TRADE,TRADE,RESOLVED,rd18-p1r-identity-v1,TRADE-USDT,P0B_confirmed_inventory
TRB,TRB,RESOLVED,rd18-p1r-identity-v1,TRB-USDT,P0B_confirmed_inventory
TRVL,TRVL,RESOLVED,rd18-p1r-identity-v1,TRVL-USDT,P0B_confirmed_inventory
TRX,TRX,RESOLVED,rd18-p1r-identity-v1,TRX-USDT,P0B_confirmed_inventory
TT,TT,RESOLVED,rd18-p1r-identity-v1,TT-USDT,P0B_confirmed_inventory
TURBOS,TURBOS,RESOLVED,rd18-p1r-identity-v1,TURBOS-USDT,P0B_confirmed_inventory
TWT,TWT,RESOLVED,rd18-p1r-identity-v1,TWT-USDT,P0B_confirmed_inventory
UMA,UMA,RESOLVED,rd18-p1r-identity-v1,UMA-USDT,P0B_confirmed_inventory
UNI,UNI,RESOLVED,rd18-p1r-identity-v1,UNI-USDT,P0B_confirmed_inventory
UOS,UOS,RESOLVED,rd18-p1r-identity-v1,UOS-USDT,P0B_confirmed_inventory
UQC,UQC,RESOLVED,rd18-p1r-identity-v1,UQC-USDT,P0B_confirmed_inventory
UTK,UTK,RESOLVED,rd18-p1r-identity-v1,UTK-USDT,P0B_confirmed_inventory
VAI,VAI,RESOLVED,rd18-p1r-identity-v1,VAI-USDT,P0B_confirmed_inventory
VANRY,VANRY,RESOLVED,rd18-p1r-identity-v1,VANRY-USDT,P0B_confirmed_inventory
VELO,VELO,RESOLVED,rd18-p1r-identity-v1,VELO-USDT,P0B_confirmed_inventory
VERSE,VERSE,RESOLVED,rd18-p1r-identity-v1,VERSE-USDT,P0B_confirmed_inventory
VET,VET,RESOLVED,rd18-p1r-identity-v1,VET-USDT,P0B_confirmed_inventory
VOLT,VOLT,RESOLVED,rd18-p1r-identity-v1,VOLT-USDT,P0B_confirmed_inventory
VR,VR,RESOLVED,rd18-p1r-identity-v1,VR-USDT,P0B_confirmed_inventory
VSYS,VSYS,RESOLVED,rd18-p1r-identity-v1,VSYS-USDT,P0B_confirmed_inventory
WAVES,WAVES,RESOLVED,rd18-p1r-identity-v1,WAVES-USDT,P0B_confirmed_inventory
WAX,WAX,RESOLVED,rd18-p1r-identity-v1,WAX-USDT,P0B_confirmed_inventory
WAXL,WAXL,RESOLVED,rd18-p1r-identity-v1,WAXL-USDT,P0B_confirmed_inventory
WELL,WELL,RESOLVED,rd18-p1r-identity-v1,WELL-USDT,P0B_confirmed_inventory
WEMIX,WEMIX,RESOLVED,rd18-p1r-identity-v1,WEMIX-USDT,P0B_confirmed_inventory
WIF,WIF,RESOLVED,rd18-p1r-identity-v1,WIF-USDT,P0B_confirmed_inventory
WILD,WILD,RESOLVED,rd18-p1r-identity-v1,WILD-USDT,P0B_confirmed_inventory
WIN,WIN,RESOLVED,rd18-p1r-identity-v1,WIN-USDT,P0B_confirmed_inventory
WLD,WLD,RESOLVED,rd18-p1r-identity-v1,WLD-USDT,P0B_confirmed_inventory
WOO,WOO,RESOLVED,rd18-p1r-identity-v1,WOO-USDT,P0B_confirmed_inventory
XAI,XAI,RESOLVED,rd18-p1r-identity-v1,XAI-USDT,P0B_confirmed_inventory
XAVA,XAVA,RESOLVED,rd18-p1r-identity-v1,XAVA-USDT,P0B_confirmed_inventory
XCH,XCH,RESOLVED,rd18-p1r-identity-v1,XCH-USDT,P0B_confirmed_inventory
XCN,XCN,RESOLVED,rd18-p1r-identity-v1,XCN-USDT,P0B_confirmed_inventory
XDB,XDB,RESOLVED,rd18-p1r-identity-v1,XDB-USDT,P0B_confirmed_inventory
XDC,XDC,RESOLVED,rd18-p1r-identity-v1,XDC-USDT,P0B_confirmed_inventory
XEC,XEC,RESOLVED,rd18-p1r-identity-v1,XEC-USDT,P0B_confirmed_inventory
XEM,XEM,RESOLVED,rd18-p1r-identity-v1,XEM-USDT,P0B_confirmed_inventory
XEN,XEN,RESOLVED,rd18-p1r-identity-v1,XEN-USDT,P0B_confirmed_inventory
XLM,XLM,RESOLVED,rd18-p1r-identity-v1,XLM-USDT,P0B_confirmed_inventory
XMR,XMR,RESOLVED,rd18-p1r-identity-v1,XMR-USDT,P0B_confirmed_inventory
XPR,XPR,RESOLVED,rd18-p1r-identity-v1,XPR-USDT,P0B_confirmed_inventory
XPRT,XPRT,RESOLVED,rd18-p1r-identity-v1,XPRT-USDT,P0B_confirmed_inventory
XRD,XRD,RESOLVED,rd18-p1r-identity-v1,XRD-USDT,P0B_confirmed_inventory
XRP,XRP,RESOLVED,rd18-p1r-identity-v1,XRP-USDT,P0B_confirmed_inventory
XTZ,XTZ,RESOLVED,rd18-p1r-identity-v1,XTZ-USDT,P0B_confirmed_inventory
XYO,XYO,RESOLVED,rd18-p1r-identity-v1,XYO-USDT,P0B_confirmed_inventory
YFI,YFI,RESOLVED,rd18-p1r-identity-v1,YFI-USDT,P0B_confirmed_inventory
YGG,YGG,RESOLVED,rd18-p1r-identity-v1,YGG-USDT,P0B_confirmed_inventory
ZBCN,ZBCN,RESOLVED,rd18-p1r-identity-v1,ZBCN-USDT,P0B_confirmed_inventory
ZEC,ZEC,RESOLVED,rd18-p1r-identity-v1,ZEC-USDT,P0B_confirmed_inventory
ZEN,ZEN,RESOLVED,rd18-p1r-identity-v1,ZEN-USDT,P0B_confirmed_inventory
ZIL,ZIL,RESOLVED,rd18-p1r-identity-v1,ZIL-USDT,P0B_confirmed_inventory
ZKJ,ZKJ,RESOLVED,rd18-p1r-identity-v1,ZKJ-USDT,P0B_confirmed_inventory
ZPAY,ZPAY,RESOLVED,rd18-p1r-identity-v1,ZPAY-USDT,P0B_confirmed_inventory
ZRX,ZRX,RESOLVED,rd18-p1r-identity-v1,ZRX-USDT,P0B_confirmed_inventory
