policy_id,portfolio_id,universe_id,cost_multiplier,timestamp,equity,cash,gross_exposure,gross_exposure_fraction,open_positions,active_escrow_slots
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-21 23:00:00+00:00,80121.67368376382,80121.67368376382,0.0,0.0,0,1.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-22 23:00:00+00:00,80121.67368376382,80121.67368376382,0.0,0.0,0,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-23 23:00:00+00:00,80121.67368376382,80121.67368376382,0.0,0.0,0,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-24 23:00:00+00:00,80121.67368376382,80121.67368376382,0.0,0.0,0,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-25 23:00:00+00:00,80103.85837520947,72901.70936393565,7202.149011273819,0.08991013862951125,1,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-26 23:00:00+00:00,78723.85265784779,64906.98399252416,13816.868665323635,0.17551057524299485,2,3.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-27 23:00:00+00:00,79167.88373777682,64906.98399252416,14260.89974525266,0.18013491168323015,2,3.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-28 23:00:00+00:00,79471.76982628553,64906.98399252416,14564.785833761365,0.18326993177071563,2,2.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-29 23:00:00+00:00,79448.28823277396,79448.28823277396,0.0,0.0,0,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-04-30 23:00:00+00:00,79448.28823277396,79448.28823277396,0.0,0.0,0,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-01 23:00:00+00:00,79448.28823277396,79448.28823277396,0.0,0.0,0,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-02 23:00:00+00:00,79448.28823277396,79448.28823277396,0.0,0.0,0,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-03 23:00:00+00:00,79448.28823277396,79448.28823277396,0.0,0.0,0,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-04 23:00:00+00:00,79100.10880042412,65130.52590545804,13969.582894966074,0.17660636763740042,2,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-05 23:00:00+00:00,79912.50421370729,36421.24049867201,43491.26371503529,0.5442360259256559,4,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-06 23:00:00+00:00,78571.31486362743,43836.440746848,34734.874116779436,0.44208085580681883,3,1.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-07 23:00:00+00:00,78677.6693756776,50646.61806605925,28031.051309618335,0.35627709275135,2,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-08 23:00:00+00:00,78184.57211303723,78184.57211303723,0.0,0.0,0,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-09 23:00:00+00:00,78184.57211303723,78184.57211303723,0.0,0.0,0,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-10 23:00:00+00:00,78184.57211303723,78184.57211303723,0.0,0.0,0,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-11 23:00:00+00:00,78184.57211303723,78184.57211303723,0.0,0.0,0,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-12 23:00:00+00:00,78184.57211303723,78184.57211303723,0.0,0.0,0,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-13 23:00:00+00:00,78184.57211303723,78184.57211303723,0.0,0.0,0,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-14 23:00:00+00:00,78184.57211303723,78184.57211303723,0.0,0.0,0,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-15 23:00:00+00:00,78071.535166394,64104.460778565,13967.074387828987,0.17890098302871768,2,1.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-16 23:00:00+00:00,77937.30331465226,57080.039950054736,20857.263364597526,0.2676159230245826,3,1.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-17 23:00:00+00:00,78091.23956644972,71059.32685640096,7031.912710048757,0.09004739518912531,1,4.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-18 23:00:00+00:00,77836.49131121616,77836.49131121616,0.0,0.0,0,2.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-19 23:00:00+00:00,77836.49131121616,77836.49131121616,0.0,0.0,0,1.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-20 23:00:00+00:00,77839.39398619554,70822.4504879342,7016.943498261343,0.09014643021894242,1,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-21 23:00:00+00:00,77585.11358546038,77585.11358546038,0.0,0.0,0,1.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-22 23:00:00+00:00,77585.11358546038,77585.11358546038,0.0,0.0,0,1.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-23 23:00:00+00:00,77563.19178305061,70614.51681791263,6948.674965137975,0.08958727465179463,1,1.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-24 23:00:00+00:00,77450.3420527051,77450.3420527051,0.0,0.0,0,2.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-25 23:00:00+00:00,77450.3420527051,77450.3420527051,0.0,0.0,0,2.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-26 23:00:00+00:00,77450.3420527051,77450.3420527051,0.0,0.0,0,0.0
