run_id,universe_id,cost_multiplier,removed_asset,removed_net_pnl,remaining_net_pnl
E2_2x,E2,2.0,LUNC-USDT,-45.41563125253548,-99808.43347015714
E2_2x,E2,2.0,MANA-USDT,-70.28221717132124,-99783.56688423835
E2_2x,E2,2.0,NEAR-USDT,7.902632525197673,-99861.75173393486
E2_2x,E2,2.0,NEO-USDT,-716.2643201202236,-99137.58478128944
E2_2x,E2,2.0,OP-USDT,-16.456843294519636,-99837.39225811514
E2_2x,E2,2.0,SAND-USDT,-108.74499053005103,-99745.10411087962
E2_2x,E2,2.0,SHIB-USDT,173.99730722912102,-100027.84640863878
E2_2x,E2,2.0,SOL-USDT,-158.29759308816898,-99695.5515083215
E2_2x,E2,2.0,TRX-USDT,-1811.29520183391,-98042.55389957575
E2_2x,E2,2.0,VET-USDT,-290.6544469709952,-99563.19465443867
E2_2x,E2,2.0,XMR-USDT,-43.93351285553703,-99809.91558855413
E2_2x,E2,2.0,XRP-USDT,-10908.538541208707,-88945.31056020096
E2_2x,E2,2.0,XTZ-USDT,-1773.1492204040308,-98080.69988100564
