decision_id,control_position_id,universe_id,period_id,pair,signal_time,entry_time,decision_time,landmark_age_hours,completed_information_time,source_hour_open,feature_valid,feature_status,btc_kucoin_log_return,btc_binance_log_return,btc_cross_venue_log_return_gap,eth_kucoin_log_return,eth_binance_log_return,eth_cross_venue_log_return_gap,BTC_ETH_MEAN_SIGNED_CROSS_VENUE_LOG_RETURN_GAP,BTC_ETH_CROSS_VENUE_LOG_RETURN_GAP_DISPERSION,target_evaluable,rcv_return,right_censored
C2:000035|024h,C2:000035,C2,ROBUSTNESS_2022,XRP-USDT,2022-08-14 10:00:00+00:00,2022-08-14 11:00:00+00:00,2022-08-15 11:00:00+00:00,24,2022-08-15 10:00:00+00:00,2022-08-15 10:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,0.0051685489675033,0.0040022093827293,-0.0011663395847739,0.0024224386180888,-0.0016191026165186,-0.0040415412346075,-0.0026039404096907,0.0014376008249167,True,0.0212220212220215,False
C2:000035|048h,C2:000035,C2,ROBUSTNESS_2022,XRP-USDT,2022-08-14 10:00:00+00:00,2022-08-14 11:00:00+00:00,2022-08-16 11:00:00+00:00,48,2022-08-16 10:00:00+00:00,2022-08-16 10:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,0.0036231848335364,-0.0030003434538141,-0.0066235282873505,0.0087309003803837,-0.0024058873858739,-0.0111367877662577,-0.0088801580268041,0.0022566297394535,True,0.0036086714251597,False
C2:000036|024h,C2:000036,C2,ROBUSTNESS_2022,SOL-USDT,2022-10-29 04:00:00+00:00,2022-10-29 05:00:00+00:00,2022-10-30 05:00:00+00:00,24,2022-10-30 04:00:00+00:00,2022-10-30 04:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,0.0010739613587484,-0.0014368576382676,-0.002510818997016,0.0035447671574801,-0.0022772937829385,-0.0058220609404186,-0.0041664399687173,0.0016556209717012,True,-0.0119660708876098,False
C2:000037|024h,C2:000037,C2,ROBUSTNESS_2022,ETH-USDT,2022-10-29 09:00:00+00:00,2022-10-29 10:00:00+00:00,2022-10-30 10:00:00+00:00,24,2022-10-30 09:00:00+00:00,2022-10-30 09:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0031848002075066,-0.004272175486658,-0.0010873752791514,-0.0076239094479279,-0.0113186096704295,-0.0036947002225015,-0.0023910377508264,0.001303662471675,True,-0.0174678703801102,False
C2:000038|024h,C2:000038,C2,ROBUSTNESS_2022,ADA-USDT,2022-10-29 17:00:00+00:00,2022-10-29 18:00:00+00:00,2022-10-30 18:00:00+00:00,24,2022-10-30 17:00:00+00:00,2022-10-30 17:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0036967365020616,0.0028844015671838,0.0065811380692455,-0.0030351526519939,0.0029783147855597,0.0060134674375536,0.0062973027533996,0.0002838353158459,True,-0.0039687759838171,False
C2:000036|048h,C2:000036,C2,ROBUSTNESS_2022,SOL-USDT,2022-10-29 04:00:00+00:00,2022-10-29 05:00:00+00:00,2022-10-31 05:00:00+00:00,48,2022-10-31 04:00:00+00:00,2022-10-31 04:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,0.0022200816642419,0.0022868080865968,6.672642235488416e-05,0.0054434232081543,0.0042179124947498,-0.0012255107134044,-0.0005793921455248,0.0006461185678796,True,-0.006094773731525,False
C2:000037|048h,C2:000037,C2,ROBUSTNESS_2022,ETH-USDT,2022-10-29 09:00:00+00:00,2022-10-29 10:00:00+00:00,2022-10-31 10:00:00+00:00,48,2022-10-31 09:00:00+00:00,2022-10-31 09:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0029144593305906,0.0110309709793296,0.0139454303099202,-0.0055958303433376,0.0238134734917883,0.029409303835126,0.0216773670725231,0.0077319367626028,True,0.0034250470785994,False
C2:000039|024h,C2:000039,C2,ROBUSTNESS_2022,LUNC-USDT,2022-10-30 09:00:00+00:00,2022-10-30 10:00:00+00:00,2022-10-31 10:00:00+00:00,24,2022-10-31 09:00:00+00:00,2022-10-31 09:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0029144593305906,0.0110309709793296,0.0139454303099202,-0.0055958303433376,0.0238134734917883,0.029409303835126,0.0216773670725231,0.0077319367626028,True,-0.1017867248767079,False
C2:000038|048h,C2:000038,C2,ROBUSTNESS_2022,ADA-USDT,2022-10-29 17:00:00+00:00,2022-10-29 18:00:00+00:00,2022-10-31 18:00:00+00:00,48,2022-10-31 17:00:00+00:00,2022-10-31 17:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0014322925502106,0.0001335147565241,0.0015658073067348,-0.0034533749375528,-0.000690855152599,0.0027625197849537,0.0021641635458443,0.0005983562391094,True,-0.0084969177362966,False
C2:000039|048h,C2:000039,C2,ROBUSTNESS_2022,LUNC-USDT,2022-10-30 09:00:00+00:00,2022-10-30 10:00:00+00:00,2022-11-01 10:00:00+00:00,48,2022-11-01 09:00:00+00:00,2022-11-01 09:00:00+00:00,True,VALID_ALL_FOUR_BENCHMARK_SOURCE_COMPONENTS,-0.0007235978180433,0.0006687545461199,0.0013923523641633,-0.0019441121250522,0.0061280549408131,0.0080721670658653,0.0047322597150143,0.003339907350851,True,-0.0806024495200264,False
