pair,canonical_asset_id,identity_status,duplicate_period,temporal_identity_status
CAN-USDT,CAN,HIGH,False,RESOLVED_OR_EXCLUDED
CANDY-USDT,CANDY,HIGH,False,RESOLVED_OR_EXCLUDED
CAP-USDT,CAP,HIGH,False,RESOLVED_OR_EXCLUDED
CAPP-USDT,CAPP,HIGH,False,RESOLVED_OR_EXCLUDED
CARD-USDT,CARD,HIGH,False,RESOLVED_OR_EXCLUDED
CARDS-USDT,CARDS,HIGH,False,RESOLVED_OR_EXCLUDED
CARE-USDT,CARE,HIGH,False,RESOLVED_OR_EXCLUDED
CARR-USDT,CARR,HIGH,False,RESOLVED_OR_EXCLUDED
CARV-USDT,CARV,HIGH,False,RESOLVED_OR_EXCLUDED
CAS-USDT,CAS,HIGH,False,RESOLVED_OR_EXCLUDED
CASHCAT-USDT,CASHCAT,HIGH,False,RESOLVED_OR_EXCLUDED
CAT-USDT,CAT,HIGH,False,RESOLVED_OR_EXCLUDED
CATI-USDT,CATI,HIGH,False,RESOLVED_OR_EXCLUDED
CATS-USDT,CATS,HIGH,False,RESOLVED_OR_EXCLUDED
CBC-USDT,CBC,HIGH,False,RESOLVED_OR_EXCLUDED
CC-USDT,CC,HIGH,False,RESOLVED_OR_EXCLUDED
CCD-USDT,CCD,HIGH,False,RESOLVED_OR_EXCLUDED
CEEK-USDT,CEEK,HIGH,False,RESOLVED_OR_EXCLUDED
CELB-USDT,CELB,HIGH,False,RESOLVED_OR_EXCLUDED
CELO-USDT,CELO,HIGH,False,RESOLVED_OR_EXCLUDED
CELR-USDT,CELR,HIGH,False,RESOLVED_OR_EXCLUDED
CELT-USDT,CELT,HIGH,False,RESOLVED_OR_EXCLUDED
CERE-USDT,CERE,HIGH,False,RESOLVED_OR_EXCLUDED
CESS-USDT,CESS,HIGH,False,RESOLVED_OR_EXCLUDED
CETUS-USDT,CETUS,HIGH,False,RESOLVED_OR_EXCLUDED
CEUR-USDT,CEUR,HIGH,False,RESOLVED_OR_EXCLUDED
CFD-USDT,CFD,HIGH,False,RESOLVED_OR_EXCLUDED
CFG-USDT,CFG,HIGH,False,RESOLVED_OR_EXCLUDED
CFX-USDT,CFX,HIGH,False,RESOLVED_OR_EXCLUDED
CFX2L-USDT,CFX2L,HIGH,False,RESOLVED_OR_EXCLUDED
CFX2S-USDT,CFX2S,HIGH,False,RESOLVED_OR_EXCLUDED
CGG-USDT,CGG,HIGH,False,RESOLVED_OR_EXCLUDED
CGPT-USDT,CGPT,HIGH,False,RESOLVED_OR_EXCLUDED
CHEEMS-USDT,CHEEMS,HIGH,False,RESOLVED_OR_EXCLUDED
CHEQ-USDT,CHEQ,HIGH,False,RESOLVED_OR_EXCLUDED
CHF-USDT,CHF,HIGH,False,RESOLVED_OR_EXCLUDED
CHILLGUY-USDT,CHILLGUY,HIGH,False,RESOLVED_OR_EXCLUDED
CHIP-USDT,CHIP,HIGH,False,RESOLVED_OR_EXCLUDED
CHIRP-USDT,CHIRP,HIGH,False,RESOLVED_OR_EXCLUDED
CHMB-USDT,CHMB,HIGH,False,RESOLVED_OR_EXCLUDED
CHO-USDT,CHO,HIGH,False,RESOLVED_OR_EXCLUDED
CHP-USDT,CHP,HIGH,False,RESOLVED_OR_EXCLUDED
CHR-USDT,CHR,HIGH,False,RESOLVED_OR_EXCLUDED
CHSB-USDT,CHSB,HIGH,False,RESOLVED_OR_EXCLUDED
CHZ-USDT,CHZ,HIGH,False,RESOLVED_OR_EXCLUDED
CIRUS-USDT,CIRUS,HIGH,False,RESOLVED_OR_EXCLUDED
CIX100-USDT,CIX100,HIGH,False,RESOLVED_OR_EXCLUDED
CKB-USDT,CKB,HIGH,False,RESOLVED_OR_EXCLUDED
CLANKER-USDT,CLANKER,HIGH,False,RESOLVED_OR_EXCLUDED
CLAY-USDT,CLAY,HIGH,False,RESOLVED_OR_EXCLUDED
CLH-USDT,CLH,HIGH,False,RESOLVED_OR_EXCLUDED
CLO-USDT,CLO,HIGH,False,RESOLVED_OR_EXCLUDED
CLOUD-USDT,CLOUD,HIGH,False,RESOLVED_OR_EXCLUDED
CLP-USDT,CLP,HIGH,False,RESOLVED_OR_EXCLUDED
CLUB-USDT,CLUB,HIGH,False,RESOLVED_OR_EXCLUDED
CLV-USDT,CLV,HIGH,False,RESOLVED_OR_EXCLUDED
CMP-USDT,CMP,HIGH,False,RESOLVED_OR_EXCLUDED
COCOS-USDT,COCOS,HIGH,False,RESOLVED_OR_EXCLUDED
COFI-USDT,COFI,HIGH,False,RESOLVED_OR_EXCLUDED
COLS-USDT,COLS,HIGH,False,RESOLVED_OR_EXCLUDED
COMB-USDT,COMB,HIGH,False,RESOLVED_OR_EXCLUDED
COMBO-USDT,COMBO,HIGH,False,RESOLVED_OR_EXCLUDED
COMING-USDT,COMING,HIGH,False,RESOLVED_OR_EXCLUDED
COMMON-USDT,COMMON,HIGH,False,RESOLVED_OR_EXCLUDED
COMP-USDT,COMP,HIGH,False,RESOLVED_OR_EXCLUDED
COMPDOWN-USDT,COMPDOWN,HIGH,False,RESOLVED_OR_EXCLUDED
COMPUP-USDT,COMPUP,HIGH,False,RESOLVED_OR_EXCLUDED
CONTRACT-USDT,CONTRACT,HIGH,False,RESOLVED_OR_EXCLUDED
COOHA-USDT,COOHA,HIGH,False,RESOLVED_OR_EXCLUDED
COOKIE-USDT,COOKIE,HIGH,False,RESOLVED_OR_EXCLUDED
COP-USDT,COP,HIGH,False,RESOLVED_OR_EXCLUDED
COQ-USDT,COQ,HIGH,False,RESOLVED_OR_EXCLUDED
COS-USDT,COS,HIGH,False,RESOLVED_OR_EXCLUDED
COSM-USDT,COSM,HIGH,False,RESOLVED_OR_EXCLUDED
COTI-USDT,COTI,HIGH,False,RESOLVED_OR_EXCLUDED
COV-USDT,COV,HIGH,False,RESOLVED_OR_EXCLUDED
COW-USDT,COW,HIGH,False,RESOLVED_OR_EXCLUDED
CPC-USDT,CPC,HIGH,False,RESOLVED_OR_EXCLUDED
CPOOL-USDT,CPOOL,HIGH,False,RESOLVED_OR_EXCLUDED
CQT-USDT,CQT,HIGH,False,RESOLVED_OR_EXCLUDED
CRC-USDT,CRC,HIGH,False,RESOLVED_OR_EXCLUDED
CRCLX-USDT,CRCLX,HIGH,False,RESOLVED_OR_EXCLUDED
CREAM-USDT,CREAM,HIGH,False,RESOLVED_OR_EXCLUDED
CREDI-USDT,CREDI,HIGH,False,RESOLVED_OR_EXCLUDED
CRO-USDT,CRO,HIGH,False,RESOLVED_OR_EXCLUDED
CROS-USDT,CROS,HIGH,False,RESOLVED_OR_EXCLUDED
CROSS-USDT,CROSS,HIGH,False,RESOLVED_OR_EXCLUDED
CRPT-USDT,CRPT,HIGH,False,RESOLVED_OR_EXCLUDED
CRTR-USDT,CRTR,HIGH,False,RESOLVED_OR_EXCLUDED
CRV-USDT,CRV,HIGH,False,RESOLVED_OR_EXCLUDED
CS-USDT,CS,HIGH,False,RESOLVED_OR_EXCLUDED
CSIX-USDT,CSIX,HIGH,False,RESOLVED_OR_EXCLUDED
CSKY-USDT,CSKY,HIGH,False,RESOLVED_OR_EXCLUDED
CSP-USDT,CSP,HIGH,False,RESOLVED_OR_EXCLUDED
CSPR-USDT,CSPR,HIGH,False,RESOLVED_OR_EXCLUDED
CTA-USDT,CTA,HIGH,False,RESOLVED_OR_EXCLUDED
CTC-USDT,CTC,HIGH,False,RESOLVED_OR_EXCLUDED
CTI-USDT,CTI,HIGH,False,RESOLVED_OR_EXCLUDED
CTR-USDT,CTR,HIGH,False,RESOLVED_OR_EXCLUDED
CTRL-USDT,CTRL,HIGH,False,RESOLVED_OR_EXCLUDED
CTROLD-USDT,CTROLD,HIGH,False,RESOLVED_OR_EXCLUDED
CTSI-USDT,CTSI,HIGH,False,RESOLVED_OR_EXCLUDED
CTSIDOWN-USDT,CTSIDOWN,HIGH,False,RESOLVED_OR_EXCLUDED
CTSIUP-USDT,CTSIUP,HIGH,False,RESOLVED_OR_EXCLUDED
CUDOS-USDT,CUDOS,HIGH,False,RESOLVED_OR_EXCLUDED
CULT-USDT,CULT,HIGH,False,RESOLVED_OR_EXCLUDED
CUSD-USDT,CUSD,HIGH,False,RESOLVED_OR_EXCLUDED
CV-USDT,CV,HIGH,False,RESOLVED_OR_EXCLUDED
CVC-USDT,CVC,HIGH,False,RESOLVED_OR_EXCLUDED
CVE-USDT,CVE,HIGH,False,RESOLVED_OR_EXCLUDED
CVX-USDT,CVX,HIGH,False,RESOLVED_OR_EXCLUDED
CWAR-USDT,CWAR,HIGH,False,RESOLVED_OR_EXCLUDED
CWEB-USDT,CWEB,HIGH,False,RESOLVED_OR_EXCLUDED
CWS-USDT,CWS,HIGH,False,RESOLVED_OR_EXCLUDED
CXO-USDT,CXO,HIGH,False,RESOLVED_OR_EXCLUDED
CXT-USDT,CXT,HIGH,False,RESOLVED_OR_EXCLUDED
CYBER-USDT,CYBER,HIGH,False,RESOLVED_OR_EXCLUDED
CYC-USDT,CYC,HIGH,False,RESOLVED_OR_EXCLUDED
CYPR-USDT,CYPR,HIGH,False,RESOLVED_OR_EXCLUDED
CYS-USDT,CYS,HIGH,False,RESOLVED_OR_EXCLUDED
CZK-USDT,CZK,HIGH,False,RESOLVED_OR_EXCLUDED
D-USDT,,EXCLUDED_UNMAPPED_OR_INVALID_ASSET,False,RESOLVED_OR_EXCLUDED
DACC-USDT,DACC,HIGH,False,RESOLVED_OR_EXCLUDED
DADI-USDT,DADI,HIGH,False,RESOLVED_OR_EXCLUDED
DAG-USDT,DAG,HIGH,False,RESOLVED_OR_EXCLUDED
DAI-USDT,,EXCLUDED_STABLECOIN_OR_CASH,False,RESOLVED_OR_EXCLUDED
DAO-USDT,DAO,HIGH,False,RESOLVED_OR_EXCLUDED
DAPP-USDT,DAPP,HIGH,False,RESOLVED_OR_EXCLUDED
DAPPT-USDT,DAPPT,HIGH,False,RESOLVED_OR_EXCLUDED
DAPPX-USDT,DAPPX,HIGH,False,RESOLVED_OR_EXCLUDED
DAR-USDT,DAR,HIGH,False,RESOLVED_OR_EXCLUDED
DARK-USDT,DARK,HIGH,False,RESOLVED_OR_EXCLUDED
DASH-USDT,DASH,HIGH,False,RESOLVED_OR_EXCLUDED
DAT-USDT,DAT,HIGH,False,RESOLVED_OR_EXCLUDED
DATA-USDT,DATA,HIGH,False,RESOLVED_OR_EXCLUDED
DATAOLD-USDT,DATAOLD,HIGH,False,RESOLVED_OR_EXCLUDED
DATX-USDT,DATX,HIGH,False,RESOLVED_OR_EXCLUDED
DBC-USDT,DBC,HIGH,False,RESOLVED_OR_EXCLUDED
DBR-USDT,DBR,HIGH,False,RESOLVED_OR_EXCLUDED
DC-USDT,DC,HIGH,False,RESOLVED_OR_EXCLUDED
DCC-USDT,DCC,HIGH,False,RESOLVED_OR_EXCLUDED
DCK-USDT,DCK,HIGH,False,RESOLVED_OR_EXCLUDED
DCR-USDT,DCR,HIGH,False,RESOLVED_OR_EXCLUDED
DEB-USDT,DEB,HIGH,False,RESOLVED_OR_EXCLUDED
DECHAT-USDT,DECHAT,HIGH,False,RESOLVED_OR_EXCLUDED
DEEP-USDT,DEEP,HIGH,False,RESOLVED_OR_EXCLUDED
DEFAI-USDT,DEFAI,HIGH,False,RESOLVED_OR_EXCLUDED
DEFI-USDT,DEFI,HIGH,False,RESOLVED_OR_EXCLUDED
DEGEN-USDT,DEGEN,HIGH,False,RESOLVED_OR_EXCLUDED
DEGO-USDT,DEGO,HIGH,False,RESOLVED_OR_EXCLUDED
DENT-USDT,DENT,HIGH,False,RESOLVED_OR_EXCLUDED
DEPOSIT-USDT,DEPOSIT,HIGH,False,RESOLVED_OR_EXCLUDED
DERC-USDT,DERC,HIGH,False,RESOLVED_OR_EXCLUDED
DERO-USDT,DERO,HIGH,False,RESOLVED_OR_EXCLUDED
DEUS-USDT,DEUS,HIGH,False,RESOLVED_OR_EXCLUDED
DEXE-USDT,DEXE,HIGH,False,RESOLVED_OR_EXCLUDED
DFA-USDT,DFA,HIGH,False,RESOLVED_OR_EXCLUDED
DFI-USDT,DFI,HIGH,False,RESOLVED_OR_EXCLUDED
DFUN-USDT,DFUN,HIGH,False,RESOLVED_OR_EXCLUDED
DFYN-USDT,DFYN,HIGH,False,RESOLVED_OR_EXCLUDED
DG-USDT,DG,HIGH,False,RESOLVED_OR_EXCLUDED
DGB-USDT,DGB,HIGH,False,RESOLVED_OR_EXCLUDED
DGC-USDT,DGC,HIGH,False,RESOLVED_OR_EXCLUDED
DGTX-USDT,DGTX,HIGH,False,RESOLVED_OR_EXCLUDED
DIA-USDT,DIA,HIGH,False,RESOLVED_OR_EXCLUDED
DIGI-USDT,DIGI,HIGH,False,RESOLVED_OR_EXCLUDED
DIGIMON-USDT,DIGIMON,HIGH,False,RESOLVED_OR_EXCLUDED
DIN-USDT,DIN,HIGH,False,RESOLVED_OR_EXCLUDED
DINO-USDT,DINO,HIGH,False,RESOLVED_OR_EXCLUDED
DIVI-USDT,DIVI,HIGH,False,RESOLVED_OR_EXCLUDED
DJF-USDT,DJF,HIGH,False,RESOLVED_OR_EXCLUDED
DKK-USDT,DKK,HIGH,False,RESOLVED_OR_EXCLUDED
DLTA-USDT,DLTA,HIGH,False,RESOLVED_OR_EXCLUDED
DMAIL-USDT,DMAIL,HIGH,False,RESOLVED_OR_EXCLUDED
DMC-USDT,DMC,HIGH,False,RESOLVED_OR_EXCLUDED
DMG-USDT,DMG,HIGH,False,RESOLVED_OR_EXCLUDED
DMTR-USDT,DMTR,HIGH,False,RESOLVED_OR_EXCLUDED
DN-USDT,DN,HIGH,False,RESOLVED_OR_EXCLUDED
DNA-USDT,DNA,HIGH,False,RESOLVED_OR_EXCLUDED
DOAI-USDT,DOAI,HIGH,False,RESOLVED_OR_EXCLUDED
DOCK-USDT,DOCK,HIGH,False,RESOLVED_OR_EXCLUDED
DODO-USDT,DODO,HIGH,False,RESOLVED_OR_EXCLUDED
DOGE-USDT,DOGE,HIGH,False,RESOLVED_OR_EXCLUDED
DOGE3L-USDT,DOGE3L,HIGH,False,RESOLVED_OR_EXCLUDED
DOGE3S-USDT,DOGE3S,HIGH,False,RESOLVED_OR_EXCLUDED
DOGEGOV-USDT,DOGEGOV,HIGH,False,RESOLVED_OR_EXCLUDED
DOGS-USDT,DOGS,HIGH,False,RESOLVED_OR_EXCLUDED
DOLO-USDT,DOLO,HIGH,False,RESOLVED_OR_EXCLUDED
DOMIN-USDT,DOMIN,HIGH,False,RESOLVED_OR_EXCLUDED
DON-USDT,DON,HIGH,False,RESOLVED_OR_EXCLUDED
DOOD-USDT,DOOD,HIGH,False,RESOLVED_OR_EXCLUDED
DOP-USDT,DOP,HIGH,False,RESOLVED_OR_EXCLUDED
DORA-USDT,DORA,HIGH,False,RESOLVED_OR_EXCLUDED
DOSE-USDT,DOSE,HIGH,False,RESOLVED_OR_EXCLUDED
DOT-USDT,DOT,HIGH,False,RESOLVED_OR_EXCLUDED
DOT3L-USDT,DOT3L,HIGH,False,RESOLVED_OR_EXCLUDED
DOT3S-USDT,DOT3S,HIGH,False,RESOLVED_OR_EXCLUDED
DOVI-USDT,DOVI,HIGH,False,RESOLVED_OR_EXCLUDED
DPET-USDT,DPET,HIGH,False,RESOLVED_OR_EXCLUDED
DPI-USDT,DPI,HIGH,False,RESOLVED_OR_EXCLUDED
DPR-USDT,DPR,HIGH,False,RESOLVED_OR_EXCLUDED
DPX-USDT,DPX,HIGH,False,RESOLVED_OR_EXCLUDED
DREAMS-USDT,DREAMS,HIGH,False,RESOLVED_OR_EXCLUDED
DRGN-USDT,DRGN,HIGH,False,RESOLVED_OR_EXCLUDED
DRIFT-USDT,DRIFT,HIGH,False,RESOLVED_OR_EXCLUDED
DSLA-USDT,DSLA,HIGH,False,RESOLVED_OR_EXCLUDED
DSYNC-USDT,DSYNC,HIGH,False,RESOLVED_OR_EXCLUDED
DTA-USDT,DTA,HIGH,False,RESOLVED_OR_EXCLUDED
DUCK-USDT,DUCK,HIGH,False,RESOLVED_OR_EXCLUDED
DUSK-USDT,DUSK,HIGH,False,RESOLVED_OR_EXCLUDED
DVPN-USDT,DVPN,HIGH,False,RESOLVED_OR_EXCLUDED
DX-USDT,DX,HIGH,False,RESOLVED_OR_EXCLUDED
DYDX-USDT,DYDX,HIGH,False,RESOLVED_OR_EXCLUDED
DYDXDOWN-USDT,DYDXDOWN,HIGH,False,RESOLVED_OR_EXCLUDED
DYDXUP-USDT,DYDXUP,HIGH,False,RESOLVED_OR_EXCLUDED
DYM-USDT,DYM,HIGH,False,RESOLVED_OR_EXCLUDED
DYP-USDT,DYP,HIGH,False,RESOLVED_OR_EXCLUDED
DZD-USDT,DZD,HIGH,False,RESOLVED_OR_EXCLUDED
E4C-USDT,E4C,HIGH,False,RESOLVED_OR_EXCLUDED
EAT-USDT,EAT,HIGH,False,RESOLVED_OR_EXCLUDED
EBTC-USDT,EBTC,HIGH,False,RESOLVED_OR_EXCLUDED
ECHO-USDT,ECHO,HIGH,False,RESOLVED_OR_EXCLUDED
ECOSYSTEM-USDT,ECOSYSTEM,HIGH,False,RESOLVED_OR_EXCLUDED
ECOX-USDT,ECOX,HIGH,False,RESOLVED_OR_EXCLUDED
EDEN-USDT,EDEN,HIGH,False,RESOLVED_OR_EXCLUDED
EDG-USDT,EDG,HIGH,False,RESOLVED_OR_EXCLUDED
EDGE-USDT,EDGE,HIGH,False,RESOLVED_OR_EXCLUDED
EDGEN-USDT,EDGEN,HIGH,False,RESOLVED_OR_EXCLUDED
EDGEOLD-USDT,EDGEOLD,HIGH,False,RESOLVED_OR_EXCLUDED
EDN-USDT,EDN,HIGH,False,RESOLVED_OR_EXCLUDED
EDR-USDT,EDR,HIGH,False,RESOLVED_OR_EXCLUDED
EDU-USDT,EDU,HIGH,False,RESOLVED_OR_EXCLUDED
EFI-USDT,EFI,HIGH,False,RESOLVED_OR_EXCLUDED
EFX-USDT,EFX,HIGH,False,RESOLVED_OR_EXCLUDED
EGAME-USDT,EGAME,HIGH,False,RESOLVED_OR_EXCLUDED
EGL1-USDT,EGL1,HIGH,False,RESOLVED_OR_EXCLUDED
EGLD-USDT,EGLD,HIGH,False,RESOLVED_OR_EXCLUDED
EGO-USDT,EGO,HIGH,False,RESOLVED_OR_EXCLUDED
EGP-USDT,EGP,HIGH,False,RESOLVED_OR_EXCLUDED
EGT-USDT,EGT,HIGH,False,RESOLVED_OR_EXCLUDED
EIGEN-USDT,EIGEN,HIGH,False,RESOLVED_OR_EXCLUDED
ELA-USDT,ELA,HIGH,False,RESOLVED_OR_EXCLUDED
ELDE-USDT,ELDE,HIGH,False,RESOLVED_OR_EXCLUDED
ELEC-USDT,ELEC,HIGH,False,RESOLVED_OR_EXCLUDED
ELF-USDT,ELF,HIGH,False,RESOLVED_OR_EXCLUDED
ELITEHERO-USDT,ELITEHERO,HIGH,False,RESOLVED_OR_EXCLUDED
ELIX-USDT,ELIX,HIGH,False,RESOLVED_OR_EXCLUDED
ELIZAOS-USDT,ELIZAOS,HIGH,False,RESOLVED_OR_EXCLUDED
ELON-USDT,ELON,HIGH,False,RESOLVED_OR_EXCLUDED
ELP-USDT,ELP,HIGH,False,RESOLVED_OR_EXCLUDED
ELSA-USDT,ELSA,HIGH,False,RESOLVED_OR_EXCLUDED
EMYC-USDT,EMYC,HIGH,False,RESOLVED_OR_EXCLUDED
ENA-USDT,ENA,HIGH,False,RESOLVED_OR_EXCLUDED
ENADOWN-USDT,ENADOWN,HIGH,False,RESOLVED_OR_EXCLUDED
ENAUP-USDT,ENAUP,HIGH,False,RESOLVED_OR_EXCLUDED
ENJ-USDT,ENJ,HIGH,False,RESOLVED_OR_EXCLUDED
ENQ-USDT,ENQ,HIGH,False,RESOLVED_OR_EXCLUDED
ENS-USDT,ENS,HIGH,False,RESOLVED_OR_EXCLUDED
ENSO-USDT,ENSO,HIGH,False,RESOLVED_OR_EXCLUDED
EOS-USDT,EOS,HIGH,False,RESOLVED_OR_EXCLUDED
EOS3L-USDT,EOS3L,HIGH,False,RESOLVED_OR_EXCLUDED
EOS3S-USDT,EOS3S,HIGH,False,RESOLVED_OR_EXCLUDED
EOSC-USDT,EOSC,HIGH,False,RESOLVED_OR_EXCLUDED
EPIC-USDT,EPIC,HIGH,False,RESOLVED_OR_EXCLUDED
EPIK-USDT,EPIK,HIGH,False,RESOLVED_OR_EXCLUDED
EPK-USDT,EPK,HIGH,False,RESOLVED_OR_EXCLUDED
EPRX-USDT,EPRX,HIGH,False,RESOLVED_OR_EXCLUDED
EPS-USDT,EPS,HIGH,False,RESOLVED_OR_EXCLUDED
EPT-USDT,EPT,HIGH,False,RESOLVED_OR_EXCLUDED
EPX-USDT,EPX,HIGH,False,RESOLVED_OR_EXCLUDED
EQTY-USDT,EQTY,HIGH,False,RESOLVED_OR_EXCLUDED
EQX-USDT,EQX,HIGH,False,RESOLVED_OR_EXCLUDED
EQZ-USDT,EQZ,HIGH,False,RESOLVED_OR_EXCLUDED
ERA-USDT,ERA,HIGH,False,RESOLVED_OR_EXCLUDED
ERG-USDT,ERG,HIGH,False,RESOLVED_OR_EXCLUDED
ERN-USDT,ERN,HIGH,False,RESOLVED_OR_EXCLUDED
ERSDL-USDT,ERSDL,HIGH,False,RESOLVED_OR_EXCLUDED
ERTHA-USDT,ERTHA,HIGH,False,RESOLVED_OR_EXCLUDED
ES-USDT,ES,HIGH,False,RESOLVED_OR_EXCLUDED
ESE-USDT,ESE,HIGH,False,RESOLVED_OR_EXCLUDED
ESIM-USDT,ESIM,HIGH,False,RESOLVED_OR_EXCLUDED
ESP-USDT,ESP,HIGH,False,RESOLVED_OR_EXCLUDED
ESPORTS-USDT,ESPORTS,HIGH,False,RESOLVED_OR_EXCLUDED
ETC-USDT,ETC,HIGH,False,RESOLVED_OR_EXCLUDED
ETCDOWN-USDT,ETCDOWN,HIGH,False,RESOLVED_OR_EXCLUDED
ETCUP-USDT,ETCUP,HIGH,False,RESOLVED_OR_EXCLUDED
ETF-USDT,ETF,HIGH,False,RESOLVED_OR_EXCLUDED
ETGM-USDT,ETGM,HIGH,False,RESOLVED_OR_EXCLUDED
ETH-USDT,ETH,HIGH,False,RESOLVED_OR_EXCLUDED
ETH2-USDT,ETH2,HIGH,False,RESOLVED_OR_EXCLUDED
ETH3L-USDT,ETH3L,HIGH,False,RESOLVED_OR_EXCLUDED
ETH3S-USDT,ETH3S,HIGH,False,RESOLVED_OR_EXCLUDED
ETHDOWN-USDT,ETHDOWN,HIGH,False,RESOLVED_OR_EXCLUDED
ETHFI-USDT,ETHFI,HIGH,False,RESOLVED_OR_EXCLUDED
ETHO-USDT,ETHO,HIGH,False,RESOLVED_OR_EXCLUDED
ETHUP-USDT,ETHUP,HIGH,False,RESOLVED_OR_EXCLUDED
ETHW-USDT,ETHW,HIGH,False,RESOLVED_OR_EXCLUDED
ETN-USDT,ETN,HIGH,False,RESOLVED_OR_EXCLUDED
EUL-USDT,EUL,HIGH,False,RESOLVED_OR_EXCLUDED
EUR-USDT,,EXCLUDED_STABLECOIN_OR_CASH,False,RESOLVED_OR_EXCLUDED
EVER-USDT,EVER,HIGH,False,RESOLVED_OR_EXCLUDED
EVX-USDT,EVX,HIGH,False,RESOLVED_OR_EXCLUDED
EWT-USDT,EWT,HIGH,False,RESOLVED_OR_EXCLUDED
EXRD-USDT,EXRD,HIGH,False,RESOLVED_OR_EXCLUDED
EXY-USDT,EXY,HIGH,False,RESOLVED_OR_EXCLUDED
EYWA-USDT,EYWA,HIGH,False,RESOLVED_OR_EXCLUDED
F-USDT,,EXCLUDED_UNMAPPED_OR_INVALID_ASSET,False,RESOLVED_OR_EXCLUDED
FALCONS-USDT,FALCONS,HIGH,False,RESOLVED_OR_EXCLUDED
FARTCOIN-USDT,FARTCOIN,HIGH,False,RESOLVED_OR_EXCLUDED
FASTER-USDT,FASTER,HIGH,False,RESOLVED_OR_EXCLUDED
FB-USDT,FB,HIGH,False,RESOLVED_OR_EXCLUDED
FCD-USDT,FCD,HIGH,False,RESOLVED_OR_EXCLUDED
FCL-USDT,FCL,HIGH,False,RESOLVED_OR_EXCLUDED
FCON-USDT,FCON,HIGH,False,RESOLVED_OR_EXCLUDED
FEAR-USDT,FEAR,HIGH,False,RESOLVED_OR_EXCLUDED
FET-USDT,FET,HIGH,False,RESOLVED_OR_EXCLUDED
FETDOWN-USDT,FETDOWN,HIGH,False,RESOLVED_OR_EXCLUDED
FETUP-USDT,FETUP,HIGH,False,RESOLVED_OR_EXCLUDED
FF-USDT,FF,HIGH,False,RESOLVED_OR_EXCLUDED
FI-USDT,FI,HIGH,False,RESOLVED_OR_EXCLUDED
FIDA-USDT,FIDA,HIGH,False,RESOLVED_OR_EXCLUDED
FIGHT-USDT,FIGHT,HIGH,False,RESOLVED_OR_EXCLUDED
FIL-USDT,FIL,HIGH,False,RESOLVED_OR_EXCLUDED
FILDOWN-USDT,FILDOWN,HIGH,False,RESOLVED_OR_EXCLUDED
FILUP-USDT,FILUP,HIGH,False,RESOLVED_OR_EXCLUDED
FINC-USDT,FINC,HIGH,False,RESOLVED_OR_EXCLUDED
FIRE-USDT,FIRE,HIGH,False,RESOLVED_OR_EXCLUDED
FITFI-USDT,FITFI,HIGH,False,RESOLVED_OR_EXCLUDED
FJD-USDT,FJD,HIGH,False,RESOLVED_OR_EXCLUDED
FKX-USDT,FKX,HIGH,False,RESOLVED_OR_EXCLUDED
FLAME-USDT,FLAME,HIGH,False,RESOLVED_OR_EXCLUDED
FLIP-USDT,FLIP,HIGH,False,RESOLVED_OR_EXCLUDED
FLIXX-USDT,FLIXX,HIGH,False,RESOLVED_OR_EXCLUDED
FLK-USDT,FLK,HIGH,False,RESOLVED_OR_EXCLUDED
FLOCK-USDT,FLOCK,HIGH,False,RESOLVED_OR_EXCLUDED
FLOKI-USDT,FLOKI,HIGH,False,RESOLVED_OR_EXCLUDED
FLOKIDOWN-USDT,FLOKIDOWN,HIGH,False,RESOLVED_OR_EXCLUDED
FLOKIUP-USDT,FLOKIUP,HIGH,False,RESOLVED_OR_EXCLUDED
FLOW-USDT,FLOW,HIGH,False,RESOLVED_OR_EXCLUDED
FLR-USDT,FLR,HIGH,False,RESOLVED_OR_EXCLUDED
FLUX-USDT,FLUX,HIGH,False,RESOLVED_OR_EXCLUDED
FLY-USDT,FLY,HIGH,False,RESOLVED_OR_EXCLUDED
FOGO-USDT,FOGO,HIGH,False,RESOLVED_OR_EXCLUDED
FOLKS-USDT,FOLKS,HIGH,False,RESOLVED_OR_EXCLUDED
FOMO-USDT,FOMO,HIGH,False,RESOLVED_OR_EXCLUDED
FORESTPLUS-USDT,FORESTPLUS,HIGH,False,RESOLVED_OR_EXCLUDED
FORM-USDT,FORM,HIGH,False,RESOLVED_OR_EXCLUDED
FORMOLD-USDT,FORMOLD,HIGH,False,RESOLVED_OR_EXCLUDED
FORT-USDT,FORT,HIGH,False,RESOLVED_OR_EXCLUDED
FORTH-USDT,FORTH,HIGH,False,RESOLVED_OR_EXCLUDED
FORWARD-USDT,FORWARD,HIGH,False,RESOLVED_OR_EXCLUDED
FOTA-USDT,FOTA,HIGH,False,RESOLVED_OR_EXCLUDED
FOXY-USDT,FOXY,HIGH,False,RESOLVED_OR_EXCLUDED
FRA-USDT,FRA,HIGH,False,RESOLVED_OR_EXCLUDED
FRAG-USDT,FRAG,HIGH,False,RESOLVED_OR_EXCLUDED
FRAX-USDT,,EXCLUDED_STABLECOIN_OR_CASH,False,RESOLVED_OR_EXCLUDED
FRED-USDT,FRED,HIGH,False,RESOLVED_OR_EXCLUDED
FREEDOG-USDT,FREEDOG,HIGH,False,RESOLVED_OR_EXCLUDED
FRM-USDT,FRM,HIGH,False,RESOLVED_OR_EXCLUDED
