universe_id,period_id,timestamp,candidate_rank,pair,membership_rank,decision_close,return_72h,family_id,signal_strength,aux_value
C2,DISCOVERY_2019_2020,2020-07-01 16:00:00+00:00,1,ADA-USDT,4,0.08997,0.11990739011912299,MOMENTUM_BREAKOUT,0.5221479603595299,0.089498
C2,DISCOVERY_2019_2020,2020-07-01 16:00:00+00:00,2,BTC-USDT,1,9263.6,0.01138733309314044,MOMENTUM_BREAKOUT,0.3986321446018647,9250.0
C2,DISCOVERY_2019_2020,2020-07-01 17:00:00+00:00,1,LTC-USDT,8,41.907,0.004699000263719277,MOMENTUM_ACCELERATION,0.010537824079124958,0.0008457579199188103
C2,DISCOVERY_2019_2020,2020-07-01 17:00:00+00:00,2,ETH-USDT,2,231.57,0.024238135255871596,MOMENTUM_ACCELERATION,0.006994172826469525,0.007622086324559074
C2,DISCOVERY_2019_2020,2020-07-01 17:00:00+00:00,1,ETH-USDT,2,231.57,0.024238135255871596,MOMENTUM_BREAKOUT,1.354231974921631,229.95
C2,DISCOVERY_2019_2020,2020-07-01 17:00:00+00:00,1,ADA-USDT,4,0.093737,0.17001597683359115,VOLATILITY_EXPANSION,5.716870675891433,0.7996648668776776
C2,DISCOVERY_2019_2020,2020-07-01 17:00:00+00:00,2,ETH-USDT,2,231.57,0.024238135255871596,VOLATILITY_EXPANSION,2.700104493207927,0.8761609907120721
C2,DISCOVERY_2019_2020,2020-07-01 18:00:00+00:00,1,BTC-USDT,1,9276.4,0.013194110708200313,MOMENTUM_ACCELERATION,0.01055500123336428,0.0015528969182649899
C2,DISCOVERY_2019_2020,2020-07-01 18:00:00+00:00,1,KCS-USDT,3,0.88428,0.03498402368941589,VOLATILITY_EXPANSION,3.25932635154261,0.9704043351396374
C2,DISCOVERY_2019_2020,2020-07-01 19:00:00+00:00,1,KCS-USDT,3,0.89011,0.04141755683214199,BASE_RANGE_BREAKOUT,0.25023925855033374,4.20087644184759
C2,DISCOVERY_2019_2020,2020-07-01 19:00:00+00:00,1,KCS-USDT,3,0.89011,0.04141755683214199,MOMENTUM_ACCELERATION,0.015096576148959873,0.00267480972115397
C2,DISCOVERY_2019_2020,2020-07-01 19:00:00+00:00,2,XRP-USDT,6,0.17731,-0.00342850719424459,MOMENTUM_ACCELERATION,0.008285534213560486,0.0010833618428554015
C2,DISCOVERY_2019_2020,2020-07-01 19:00:00+00:00,1,KCS-USDT,3,0.89011,0.04141755683214199,MOMENTUM_BREAKOUT,0.25023925855033374,0.88804
C2,DISCOVERY_2019_2020,2020-07-01 21:00:00+00:00,1,KCS-USDT,3,0.904,0.053649894518456476,MOMENTUM_ACCELERATION,0.008888728736448859,0.012357184770978025
C2,DISCOVERY_2019_2020,2020-07-01 21:00:00+00:00,2,ETH-USDT,2,231.18,0.02746666666666675,MOMENTUM_ACCELERATION,0.0035711623772775036,0.00496637806003597
C2,DISCOVERY_2019_2020,2020-07-02 00:00:00+00:00,1,KCS-USDT,3,0.9,0.05533471699440673,MOMENTUM_ACCELERATION,0.010070527383126637,0.0051377648449577595
C2,DISCOVERY_2019_2020,2020-07-02 00:00:00+00:00,1,ADA-USDT,4,0.096781,0.2066704070818528,MOMENTUM_BREAKOUT,1.4513274336283282,0.094813
C2,DISCOVERY_2019_2020,2020-07-02 00:00:00+00:00,1,ADA-USDT,4,0.096781,0.2066704070818528,VOLATILITY_EXPANSION,2.309734513274335,0.940613026819926
C2,DISCOVERY_2019_2020,2020-07-02 17:00:00+00:00,1,XRP-USDT,6,0.17407,-0.01771909034478869,STRUCTURAL_REVERSAL,1.2763419483101595,0.173
C2,DISCOVERY_2019_2020,2020-07-02 17:00:00+00:00,2,LTC-USDT,8,40.811,-0.01653131551678433,STRUCTURAL_REVERSAL,0.6765784900559988,40.665
C2,DISCOVERY_2019_2020,2020-07-02 17:00:00+00:00,1,XRP-USDT,6,0.17407,-0.01771909034478869,VOLATILITY_EXPANSION,2.743538767395626,0.882608695652177
C2,DISCOVERY_2019_2020,2020-07-02 17:00:00+00:00,2,LTC-USDT,8,40.811,-0.01653131551678433,VOLATILITY_EXPANSION,2.6646070670013637,0.8591304347826041
C2,DISCOVERY_2019_2020,2020-07-02 17:00:00+00:00,3,ETH-USDT,2,225.94,0.007895793371102355,VOLATILITY_EXPANSION,2.1560920830993986,0.9343749999999978
