policy_id,portfolio_id,universe_id,cost_multiplier,entry_market_context,entry_governor_state,family_bucket,trade_count,net_pnl
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,D2,2.0,SUPPORTIVE,NONE,RS,38,32218.952204597073
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,E2,1.0,MIXED,NONE,MB,202,-3496.2157338023644
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,E2,1.0,MIXED,NONE,OVERLAP,20,-5957.528491431474
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,E2,1.0,SUPPORTIVE,NONE,MB,96,18508.168254262913
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,E2,1.0,SUPPORTIVE,NONE,OVERLAP,5,-1863.245611272511
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,E2,1.0,SUPPORTIVE,NONE,RS,34,17713.657559564086
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,E2,2.0,MIXED,NONE,MB,202,-7877.315276180154
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,E2,2.0,MIXED,NONE,OVERLAP,20,-6247.178238970279
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,E2,2.0,SUPPORTIVE,NONE,MB,96,12854.538380708667
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,E2,2.0,SUPPORTIVE,NONE,OVERLAP,5,-1882.3984857883074
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,E2,2.0,SUPPORTIVE,NONE,RS,34,15077.767844186674
SUPPORTIVE_ONLY_ALL_FAMILIES,MOMENTUM_BREAKOUT,C2,1.0,SUPPORTIVE,NONE,MB,145,22864.361007750074
SUPPORTIVE_ONLY_ALL_FAMILIES,MOMENTUM_BREAKOUT,C2,2.0,SUPPORTIVE,NONE,MB,145,15142.172430878973
SUPPORTIVE_ONLY_ALL_FAMILIES,MOMENTUM_BREAKOUT,D2,1.0,SUPPORTIVE,NONE,MB,146,27186.581739325782
SUPPORTIVE_ONLY_ALL_FAMILIES,MOMENTUM_BREAKOUT,D2,2.0,SUPPORTIVE,NONE,MB,146,19409.85609316675
SUPPORTIVE_ONLY_ALL_FAMILIES,MOMENTUM_BREAKOUT,E2,1.0,SUPPORTIVE,NONE,MB,145,31456.77490244561
SUPPORTIVE_ONLY_ALL_FAMILIES,MOMENTUM_BREAKOUT,E2,2.0,SUPPORTIVE,NONE,MB,145,23388.93576585807
SUPPORTIVE_ONLY_ALL_FAMILIES,RELATIVE_STRENGTH_ROTATION,C2,1.0,SUPPORTIVE,NONE,RS,100,20052.12479647677
SUPPORTIVE_ONLY_ALL_FAMILIES,RELATIVE_STRENGTH_ROTATION,C2,2.0,SUPPORTIVE,NONE,RS,100,14790.511831197175
SUPPORTIVE_ONLY_ALL_FAMILIES,RELATIVE_STRENGTH_ROTATION,D2,1.0,SUPPORTIVE,NONE,RS,101,32328.719254319774
SUPPORTIVE_ONLY_ALL_FAMILIES,RELATIVE_STRENGTH_ROTATION,D2,2.0,SUPPORTIVE,NONE,RS,101,26565.025081912303
SUPPORTIVE_ONLY_ALL_FAMILIES,RELATIVE_STRENGTH_ROTATION,E2,1.0,SUPPORTIVE,NONE,RS,103,25541.772711422036
SUPPORTIVE_ONLY_ALL_FAMILIES,RELATIVE_STRENGTH_ROTATION,E2,2.0,SUPPORTIVE,NONE,RS,103,19880.98365940483
SUPPORTIVE_ONLY_ALL_FAMILIES,UNION_FOCUS,C2,1.0,SUPPORTIVE,NONE,MB,119,9779.588165812873
SUPPORTIVE_ONLY_ALL_FAMILIES,UNION_FOCUS,C2,1.0,SUPPORTIVE,NONE,OVERLAP,3,-466.5468968390402
SUPPORTIVE_ONLY_ALL_FAMILIES,UNION_FOCUS,C2,1.0,SUPPORTIVE,NONE,RS,41,9998.514805797144
SUPPORTIVE_ONLY_ALL_FAMILIES,UNION_FOCUS,C2,2.0,SUPPORTIVE,NONE,MB,119,3909.3538787716375
SUPPORTIVE_ONLY_ALL_FAMILIES,UNION_FOCUS,C2,2.0,SUPPORTIVE,NONE,OVERLAP,3,-572.5157377814893
SUPPORTIVE_ONLY_ALL_FAMILIES,UNION_FOCUS,C2,2.0,SUPPORTIVE,NONE,RS,41,7569.998737641872
SUPPORTIVE_ONLY_ALL_FAMILIES,UNION_FOCUS,D2,1.0,SUPPORTIVE,NONE,MB,115,10843.458091208699
SUPPORTIVE_ONLY_ALL_FAMILIES,UNION_FOCUS,D2,1.0,SUPPORTIVE,NONE,OVERLAP,4,-1048.269143396861
SUPPORTIVE_ONLY_ALL_FAMILIES,UNION_FOCUS,D2,1.0,SUPPORTIVE,NONE,RS,43,31425.230686020208
SUPPORTIVE_ONLY_ALL_FAMILIES,UNION_FOCUS,D2,2.0,SUPPORTIVE,NONE,MB,115,5119.700099072639
SUPPORTIVE_ONLY_ALL_FAMILIES,UNION_FOCUS,D2,2.0,SUPPORTIVE,NONE,OVERLAP,4,-1170.029856325783
SUPPORTIVE_ONLY_ALL_FAMILIES,UNION_FOCUS,D2,2.0,SUPPORTIVE,NONE,RS,43,27767.28370237833
SUPPORTIVE_ONLY_ALL_FAMILIES,UNION_FOCUS,E2,1.0,SUPPORTIVE,NONE,MB,118,13673.840004985963
SUPPORTIVE_ONLY_ALL_FAMILIES,UNION_FOCUS,E2,1.0,SUPPORTIVE,NONE,OVERLAP,4,-1003.6005596442023
SUPPORTIVE_ONLY_ALL_FAMILIES,UNION_FOCUS,E2,1.0,SUPPORTIVE,NONE,RS,43,15682.4648811113
SUPPORTIVE_ONLY_ALL_FAMILIES,UNION_FOCUS,E2,2.0,SUPPORTIVE,NONE,MB,118,7699.705750526215
SUPPORTIVE_ONLY_ALL_FAMILIES,UNION_FOCUS,E2,2.0,SUPPORTIVE,NONE,OVERLAP,4,-1122.6858811549341
SUPPORTIVE_ONLY_ALL_FAMILIES,UNION_FOCUS,E2,2.0,SUPPORTIVE,NONE,RS,43,12823.404376455272
