direction,training_period,evaluation_period,universe_id,landmark_age_hours,model_fit_pass,rank,coefficient_name,coefficient_value
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,72,True,3,INTERCEPT,-0.0072529176957647915
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,72,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,0.012584691202686876
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,72,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,0.013999573226693872
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,96,True,3,INTERCEPT,-0.022066883871235513
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,96,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,0.03126941680718804
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,96,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,0.028533057465419266
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,120,True,3,INTERCEPT,0.0008492402571112477
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,120,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,0.00483853616403415
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,120,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,-0.005520811874623213
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,144,True,3,INTERCEPT,-0.012786995122395686
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,144,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,0.004090290754182294
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,144,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,0.024901138003736337
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,24,True,3,INTERCEPT,0.025750932734043577
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,24,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,-0.012378337216962678
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,24,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,0.016882131574856026
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,48,True,3,INTERCEPT,0.04190446810316637
