pair,first_observed_probe_open,last_observed_probe_open,boundary_status,full_history_downloaded
JST-USDT,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
JTO-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
KACE-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
KAVA-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
KCS-USDT,2018-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
KLV-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
KRL-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
KSM-USDT,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
LADYS-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
LDO-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
LIKE-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
LINK-USDT,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
LMWR-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
LPT-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
LQTY-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
LRC-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
LTC-USDT,2019-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
LUNA-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
LUNC-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
MAGIC-USDT,2023-01-17T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
MANTA-USDT,2024-01-18T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
MARS4-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
MASK-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
MAV-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
MBL-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
MEME-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
METIS-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
MINA-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
MLK-USDT,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
MNT-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
MOVR-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
MTL-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
MTRG-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
MYRIA-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
MYRO-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
NAKA-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
NEAR-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
