currency,display_name,full_name,is_margin_enabled,is_debit_enabled,chain_count,canonical_asset_id,identity_confidence,current_metadata_isolation,historical_base_usdt_kline_found
AOG,AOG,AgeOfGods,False,False,1,AOG,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AOS,AOS,AOS,False,False,1,AOS,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
APE,APE,ApeCoin,True,True,2,APE,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
APE3L,APE3L,APE 3x Long,False,False,1,APE3L,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
APE3S,APE3S,APE 3x Short,False,False,1,APE3S,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
APH,APH,Aphelion,False,False,1,APH,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
API3,API3,API3,False,True,1,API3,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
APL,APL,Apollo Currency,False,False,1,APL,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
APP,APP,Moon App,False,False,1,APP,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
APR,APR,aPriori,False,False,1,APR,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
APT,APT,Aptos,True,True,1,APT,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
APT2L,APT2L,APT 2x Long,False,False,1,APT2L,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
APT2S,APT2S,APT 2x Short,False,False,1,APT2S,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AR,AR,Arweave,True,True,1,AR,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
ARB,ARB,Arbitrum,True,True,2,ARB,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
ARB3L,ARB3L,ARB 3x Long,False,False,1,ARB3L,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ARB3S,ARB3S,ARB 3x Short,False,False,1,ARB3S,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ARCA,ARCA,Legend of Arcadia,False,False,1,ARCA,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ARCOLD,ARCOLD,Arcade,False,False,1,ARCOLD,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ARCSOL,ARCSOL,AI Rig Complex,False,False,1,ARCSOL,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ARIA,ARIA,ARIA.AI,False,False,1,ARIA,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ARKER,ARKER,ARKER,False,False,1,ARKER,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ARKM,ARKM,Arkham,False,False,1,ARKM,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
ARN,ARN,Aeron,False,False,1,ARN,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ARNM,ARNM,Arenum,False,False,1,ARNM,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ARPA,ARPA,ARPA Token,False,True,1,ARPA,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
ARPADOWN,ARPADOWN,ARPA 2-4 Short,False,False,1,ARPADOWN,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ARPAUP,ARPAUP,ARPA 2-4 Long,False,False,1,ARPAUP,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ARRR,ARRR,Pirate Chain,False,False,1,ARRR,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ARS,ARS,Argentine Peso,False,False,0,ARS,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ART,ART,LiveArt,False,False,1,ART,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ARTFI,ARTFI,Artfi,False,False,1,ARTFI,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ARTY,ARTY,Artyfact,False,False,1,ARTY,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
ARX,ARX,Arcium,False,False,1,ARX,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ARXOLD,ARXOLD,ARCS,False,True,1,ARXOLD,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ARY,ARY,Block Array,False,False,1,ARY,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
