metric,period,first_disagreement_week,final_disagreement_week,duration_weeks,c2_only,d2_only,recurrence_count,resolved_within_one_week,resolved_within_four_weeks,persistent_4_weeks,persistent_8_weeks,persistent_13_weeks,persistent_26_weeks
TOP_6,POST_WARMUP,2021-11-29T00:00:00+00:00,2021-12-06T00:00:00+00:00,2,MANA-USDT,AVAX-USDT,1,False,True,False,False,False,False
TOP_6,POST_WARMUP,2023-04-17T00:00:00+00:00,2023-04-17T00:00:00+00:00,1,GRAM-USDT,LTC-USDT,1,True,True,False,False,False,False
TOP_6,POST_WARMUP,2023-04-24T00:00:00+00:00,2023-04-24T00:00:00+00:00,1,GRAM-USDT,SHIB-USDT,3,True,True,False,False,False,False
TOP_6,POST_WARMUP,2023-05-01T00:00:00+00:00,2023-05-01T00:00:00+00:00,1,GRAM-USDT,ADA-USDT,1,True,True,False,False,False,False
TOP_6,POST_WARMUP,2023-05-08T00:00:00+00:00,2023-05-08T00:00:00+00:00,1,GRAM-USDT,INJ-USDT,1,True,True,False,False,False,False
TOP_6,POST_WARMUP,2023-05-15T00:00:00+00:00,2023-05-15T00:00:00+00:00,1,GRAM-USDT,SHIB-USDT,3,True,True,False,False,False,False
TOP_6,POST_WARMUP,2023-08-21T00:00:00+00:00,2023-08-21T00:00:00+00:00,1,PEPE-USDT,DOGE-USDT,4,True,True,False,False,False,False
TOP_6,POST_WARMUP,2023-08-28T00:00:00+00:00,2023-08-28T00:00:00+00:00,1,PEPE-USDT,LTC-USDT,1,True,True,False,False,False,False
TOP_6,POST_WARMUP,2023-09-11T00:00:00+00:00,2023-09-11T00:00:00+00:00,1,PEPE-USDT,SHIB-USDT,4,True,True,False,False,False,False
TOP_6,POST_WARMUP,2023-09-18T00:00:00+00:00,2023-10-02T00:00:00+00:00,3,GRAM-USDT,SHIB-USDT,3,False,True,False,False,False,False
TOP_6,POST_WARMUP,2023-11-13T00:00:00+00:00,2023-11-20T00:00:00+00:00,2,PEPE-USDT,SHIB-USDT,4,False,True,False,False,False,False
TOP_6,POST_WARMUP,2023-11-27T00:00:00+00:00,2023-11-27T00:00:00+00:00,1,KAS-USDT,AVAX-USDT,1,True,True,False,False,False,False
TOP_6,POST_WARMUP,2023-12-04T00:00:00+00:00,2023-12-04T00:00:00+00:00,1,KAS-USDT,RUNE-USDT,1,True,True,False,False,False,False
TOP_6,POST_WARMUP,2024-02-05T00:00:00+00:00,2024-02-05T00:00:00+00:00,1,SUI-USDT,AVAX-USDT,2,True,True,False,False,False,False
TOP_6,POST_WARMUP,2024-02-12T00:00:00+00:00,2024-02-12T00:00:00+00:00,1,SUI-USDT,LINK-USDT,1,True,True,False,False,False,False
TOP_6,POST_WARMUP,2024-02-19T00:00:00+00:00,2024-02-19T00:00:00+00:00,1,SUI-USDT,AVAX-USDT,2,True,True,False,False,False,False
