scope,variant_id,window_id,start,end,days,portfolio_return,equal_weight_return,capture_ratio,high_opportunity_window,strategic_bull_adequacy
OVERLAY,DEFENSIVE_SWEEP_REVERSAL,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,-0.017061262797287924,0.37052437252117865,-0.046046263249019406,False,
OVERLAY,DEFENSIVE_SWEEP_REVERSAL,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.10563951888105527,-0.15141585105211164,,False,
OVERLAY,DEFENSIVE_SWEEP_REVERSAL,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,0.20660018131532687,2.667291938689029,0.07745690612961949,True,False
OVERLAY,DEFENSIVE_SWEEP_REVERSAL,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,-0.18722055780092617,0.37373514866458524,-0.5009444749039388,False,
ALL_NEW_OVERLAY,ALL_SIX_NEW_ENGINES_OVERLAY,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,-0.06699791631587315,0.6437975137033425,-0.10406675218498178,False,
ALL_NEW_OVERLAY,ALL_SIX_NEW_ENGINES_OVERLAY,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,-1.1453848300003493,8.977084241529303,-0.1275898497979591,True,False
ALL_NEW_OVERLAY,ALL_SIX_NEW_ENGINES_OVERLAY,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,0.5677133666484309,0.33154791649728477,1.7123116701988992,False,
ALL_NEW_OVERLAY,ALL_SIX_NEW_ENGINES_OVERLAY,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,0.25194772703159396,0.37052437252117865,0.6799761249637984,False,
ALL_NEW_OVERLAY,ALL_SIX_NEW_ENGINES_OVERLAY,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,0.41299150740966883,-0.15141585105211164,,False,
ALL_NEW_OVERLAY,ALL_SIX_NEW_ENGINES_OVERLAY,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,0.2441620796549766,2.667291938689029,0.09153931600564955,True,False
ALL_NEW_OVERLAY,ALL_SIX_NEW_ENGINES_OVERLAY,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,0.17722384730753804,0.37373514866458524,0.4741963605531534,False,
