source_v2_candidate_id,admission_change,originally_admitted,dynamically_admitted,dynamic_router_decision,candidate_net_pnl
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000256,RETAINED_ADMISSION,True,True,ADMITTED,-802.8753427737338
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000259,RETAINED_ADMISSION,True,True,ADMITTED,687.398748687238
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000260,RETAINED_ADMISSION,True,True,ADMITTED,-804.2720886360191
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000263,RETAINED_ADMISSION,True,True,ADMITTED,-811.680464970766
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000272,RETAINED_ADMISSION,True,True,ADMITTED,10308.793612622763
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000276,RETAINED_ADMISSION,True,True,ADMITTED,673.5444759212423
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000279,RETAINED_ADMISSION,True,True,ADMITTED,657.3745669982534
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000280,RETAINED_ADMISSION,True,True,ADMITTED,-829.2655136905514
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000287,RETAINED_ADMISSION,True,True,ADMITTED,649.9158097091181
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000290,RETAINED_ADMISSION,True,True,ADMITTED,699.5189913133602
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000291,RETAINED_ADMISSION,True,True,ADMITTED,672.0579874968244
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000293,RETAINED_ADMISSION,True,True,ADMITTED,4192.638367385454
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000296,RETAINED_ADMISSION,True,True,ADMITTED,684.1166409313779
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000306,RETAINED_ADMISSION,True,True,ADMITTED,-749.1358925747012
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000315,RETAINED_ADMISSION,True,True,ADMITTED,642.5064737073246
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000318,RETAINED_ADMISSION,True,True,ADMITTED,-678.1322305263099
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000320,RETAINED_ADMISSION,True,True,ADMITTED,527.3530512535738
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000327,RETAINED_ADMISSION,True,True,ADMITTED,103.3468775594144
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000330,RETAINED_ADMISSION,True,True,ADMITTED,-808.5983239610532
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000335,RETAINED_ADMISSION,True,True,ADMITTED,94.01060968766757
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000338,RETAINED_ADMISSION,True,True,ADMITTED,57.84811695298227
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000347,RETAINED_ADMISSION,True,True,ADMITTED,-797.1031369725154
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000348,RETAINED_ADMISSION,True,True,ADMITTED,136.8432982210168
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000349,RETAINED_ADMISSION,True,True,ADMITTED,-801.1452938381442
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000350,RETAINED_ADMISSION,True,True,ADMITTED,134.22998429084902
