event_id,family_id,universe_id,period_id,pair,decision_time,horizon_hours,exit_time,entry_open,exit_open,forward_return
21798,RELATIVE_STRENGTH_RECLAIM_CONTROL,C2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 05:00:00+00:00,6,2023-02-28 11:00:00+00:00,1.2532e-05,1.2307e-05,-0.01795403766358128
21798,RELATIVE_STRENGTH_RECLAIM_CONTROL,C2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 05:00:00+00:00,24,2023-03-01 05:00:00+00:00,1.2532e-05,1.2244e-05,-0.022981168209383895
21798,RELATIVE_STRENGTH_RECLAIM_CONTROL,C2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 05:00:00+00:00,72,2023-03-03 05:00:00+00:00,1.2532e-05,1.1231e-05,-0.10381423555697411
21799,RELATIVE_STRENGTH_RECLAIM_CONTROL,D2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 05:00:00+00:00,6,2023-02-28 11:00:00+00:00,1.2532e-05,1.2307e-05,-0.01795403766358128
21799,RELATIVE_STRENGTH_RECLAIM_CONTROL,D2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 05:00:00+00:00,24,2023-03-01 05:00:00+00:00,1.2532e-05,1.2244e-05,-0.022981168209383895
21799,RELATIVE_STRENGTH_RECLAIM_CONTROL,D2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 05:00:00+00:00,72,2023-03-03 05:00:00+00:00,1.2532e-05,1.1231e-05,-0.10381423555697411
21800,RELATIVE_STRENGTH_RECLAIM_CONTROL,E2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 05:00:00+00:00,6,2023-02-28 11:00:00+00:00,1.2532e-05,1.2307e-05,-0.01795403766358128
21800,RELATIVE_STRENGTH_RECLAIM_CONTROL,E2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 05:00:00+00:00,24,2023-03-01 05:00:00+00:00,1.2532e-05,1.2244e-05,-0.022981168209383895
21800,RELATIVE_STRENGTH_RECLAIM_CONTROL,E2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 05:00:00+00:00,72,2023-03-03 05:00:00+00:00,1.2532e-05,1.1231e-05,-0.10381423555697411
21801,PERSISTENT_RELATIVE_WEAKNESS,C2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 06:00:00+00:00,6,2023-02-28 12:00:00+00:00,1.2492e-05,1.2379e-05,-0.009045789305155316
