cost_multiplier,end_equity,period,return,start_equity,trade_count,universe_id
1.0,209284.49128735546,2024-12,0.04036020777876215,201165.41340445122,36,C2
2.0,100000.0,2019-04,0.0,100000.0,0,C2
2.0,100000.0,2019-05,0.0,100000.0,0,C2
2.0,100000.0,2019-06,0.0,100000.0,0,C2
2.0,100000.0,2019-07,0.0,100000.0,0,C2
2.0,95356.64668710428,2019-08,-0.04643353312895726,100000.0,7,C2
2.0,95118.83923294727,2019-09,-0.002493873918798073,95356.64668710428,3,C2
2.0,92770.00365037996,2019-10,-0.02469369476655381,95118.83923294727,6,C2
2.0,86702.9792340425,2019-11,-0.0653985574820295,92770.00365037996,18,C2
2.0,86348.41269356455,2019-12,-0.0040894389513520535,86702.9792340425,1,C2
2.0,82770.17641129802,2020-01,-0.041439514296169766,86348.41269356455,15,C2
2.0,92660.8870019644,2020-02,0.11949606753908415,82770.17641129802,19,C2
2.0,92892.96042146953,2020-03,0.002504545628839283,92660.8870019644,5,C2
2.0,104418.82440540573,2020-04,0.12407682919826857,92892.96042146953,15,C2
2.0,109861.6591620142,2020-05,0.05212503384903755,104418.82440540573,23,C2
2.0,106975.59417975947,2020-06,-0.02626999268232988,109861.6591620142,18,C2
2.0,127692.00485533643,2020-07,0.19365548594911797,106975.59417975947,30,C2
2.0,127985.42612979127,2020-08,0.002297882900243131,127692.00485533643,37,C2
2.0,114852.04867246287,2020-09,-0.10261619509716458,127985.42612979127,30,C2
2.0,107221.39920000867,2020-10,-0.06643894959344976,114852.04867246287,38,C2
2.0,117572.46524089758,2020-11,0.09653918078032375,107221.39920000867,32,C2
2.0,127758.15566138101,2020-12,0.08663329802274422,117572.46524089758,31,C2
2.0,128974.40142411295,2021-01,0.009519907018347595,127758.15566138101,37,C2
2.0,165935.68500034435,2021-02,0.2865784463281964,128974.40142411295,31,C2
2.0,160098.13375814882,2021-03,-0.03517960131471065,165935.68500034435,42,C2
2.0,167992.67502167265,2021-04,0.04931063890756948,160098.13375814882,36,C2
2.0,160388.8942283041,2021-05,-0.04526257345677476,167992.67502167265,21,C2
2.0,154447.38687692856,2021-06,-0.037044381283146355,160388.8942283041,9,C2
2.0,151553.12573108228,2021-07,-0.018739463349759178,154447.38687692856,11,C2
2.0,161893.5469838999,2021-08,0.06822967987585948,151553.12573108228,41,C2
2.0,154866.7237745062,2021-09,-0.04340397341527469,161893.5469838999,25,C2
2.0,154229.87198797878,2021-10,-0.004112257113766393,154866.7237745062,38,C2
2.0,150796.48025432305,2021-11,-0.02226152229396483,154229.87198797878,19,C2
2.0,155448.73183054355,2021-12,0.030851194725330044,150796.48025432305,20,C2
2.0,149156.4944567756,2022-01,-0.040477894542280235,155448.73183054355,7,C2
