comparison,scope,year,top_n,decision_count,exact_match_rate,mean_jaccard,mean_symmetric_difference,mean_substitution_count,mean_rank_displacement,mean_spearman_common,mean_eligible_count_difference,mean_turnover_difference
B2_vs_C2,POST_WARMUP,2021,4,52,0.9615384615384616,0.9846153846153847,0.07692307692307693,0.038461538461538464,11.496631843747398,0.9980793045788695,-23.48076923076923,-23.25
B2_vs_C2,POST_WARMUP,2021,6,52,0.4423076923076923,0.8406593406593407,1.1153846153846154,0.5576923076923077,11.496631843747398,0.9980793045788695,-23.48076923076923,-23.25
B2_vs_C2,POST_WARMUP,2021,8,52,0.21153846153846154,0.7837606837606838,2.0384615384615383,1.0192307692307692,11.496631843747398,0.9980793045788695,-23.48076923076923,-23.25
B2_vs_C2,POST_WARMUP,2021,10,52,0.07692307692307693,0.7299623453469608,3.230769230769231,1.6153846153846154,11.496631843747398,0.9980793045788695,-23.48076923076923,-23.173076923076923
B2_vs_C2,POST_WARMUP,2021,30,52,0.0,0.6772869567284905,11.692307692307692,5.846153846153846,11.496631843747398,0.9980793045788695,-23.48076923076923,-22.826923076923077
B2_vs_C2,POST_WARMUP,2021,HYSTERESIS,52,0.34615384615384615,0.8008241758241759,1.4230769230769231,0.7115384615384616,11.496631843747398,0.9980793045788695,-23.48076923076923,-0.07692307692307693
B2_vs_C2,POST_WARMUP,2022,4,52,1.0,1.0,0.0,0.0,15.739519152206343,0.9997050613597025,-32.98076923076923,-32.92307692307692
B2_vs_C2,POST_WARMUP,2022,6,52,1.0,1.0,0.0,0.0,15.739519152206343,0.9997050613597025,-32.98076923076923,-32.92307692307692
B2_vs_C2,POST_WARMUP,2022,8,52,1.0,1.0,0.0,0.0,15.739519152206343,0.9997050613597025,-32.98076923076923,-32.92307692307692
B2_vs_C2,POST_WARMUP,2022,10,52,0.7884615384615384,0.9615384615384616,0.4230769230769231,0.21153846153846154,15.739519152206343,0.9997050613597025,-32.98076923076923,-32.92307692307692
B2_vs_C2,POST_WARMUP,2022,30,52,0.0,0.869360478231446,4.230769230769231,2.1153846153846154,15.739519152206343,0.9997050613597025,-32.98076923076923,-32.84615384615385
