variant,membership_type,scope,asset,membership_weeks,entry_count,reentry_count,first_entry,final_exit,mean_duration_weeks,median_duration_weeks,maximum_duration_weeks
C2,TOP_8,FULL,XTZ-USDT,22,2,1,2020-03-09T00:00:00+00:00,2020-09-14T00:00:00+00:00,11.0,11.0,14
C2,TOP_8,POST_WARMUP,ADA-USDT,112,10,9,2020-02-24T00:00:00+00:00,2024-03-04T00:00:00+00:00,11.2,3.5,60
C2,TOP_8,POST_WARMUP,ALGO-USDT,2,1,0,2021-10-04T00:00:00+00:00,2021-10-11T00:00:00+00:00,2.0,2,2
C2,TOP_8,POST_WARMUP,APE-USDT,10,1,0,2022-06-20T00:00:00+00:00,2022-08-22T00:00:00+00:00,10.0,10,10
C2,TOP_8,POST_WARMUP,APT-USDT,4,1,0,2023-02-13T00:00:00+00:00,2023-03-06T00:00:00+00:00,4.0,4,4
C2,TOP_8,POST_WARMUP,ARB-USDT,1,1,0,2024-01-22T00:00:00+00:00,2024-01-22T00:00:00+00:00,1.0,1,1
C2,TOP_8,POST_WARMUP,ATOM-USDT,36,5,4,2020-07-20T00:00:00+00:00,2022-10-17T00:00:00+00:00,7.2,5,13
C2,TOP_8,POST_WARMUP,AVAX-USDT,63,5,4,2021-09-20T00:00:00+00:00,2024-02-19T00:00:00+00:00,12.6,5,43
C2,TOP_8,POST_WARMUP,BCH-USDT,5,2,1,2021-05-24T00:00:00+00:00,2023-07-24T00:00:00+00:00,2.5,2.5,3
C2,TOP_8,POST_WARMUP,BCHSV-USDT,85,3,2,2019-06-17T00:00:00+00:00,2021-03-08T00:00:00+00:00,28.333333333333332,18,64
C2,TOP_8,POST_WARMUP,BNB-USDT,50,12,11,2021-03-15T00:00:00+00:00,2023-07-24T00:00:00+00:00,4.166666666666667,5.0,7
C2,TOP_8,POST_WARMUP,BTC-USDT,301,1,0,2019-04-01T00:00:00+00:00,2024-12-30T00:00:00+00:00,301.0,301,301
C2,TOP_8,POST_WARMUP,CFX-USDT,1,1,0,2023-04-10T00:00:00+00:00,2023-04-10T00:00:00+00:00,1.0,1,1
C2,TOP_8,POST_WARMUP,CHR-USDT,7,2,1,2019-09-02T00:00:00+00:00,2019-11-04T00:00:00+00:00,3.5,3.5,5
C2,TOP_8,POST_WARMUP,CHZ-USDT,2,1,0,2022-11-28T00:00:00+00:00,2022-12-05T00:00:00+00:00,2.0,2,2
C2,TOP_8,POST_WARMUP,COTI-USDT,12,1,0,2019-11-11T00:00:00+00:00,2020-01-27T00:00:00+00:00,12.0,12,12
C2,TOP_8,POST_WARMUP,CRO-USDT,2,1,0,2021-12-06T00:00:00+00:00,2021-12-13T00:00:00+00:00,2.0,2,2
C2,TOP_8,POST_WARMUP,DOGE-USDT,80,10,9,2021-05-17T00:00:00+00:00,2024-12-30T00:00:00+00:00,8.0,4.5,19
C2,TOP_8,POST_WARMUP,DOT-USDT,47,7,6,2021-01-11T00:00:00+00:00,2022-06-13T00:00:00+00:00,6.714285714285714,6,16
C2,TOP_8,POST_WARMUP,ETC-USDT,7,4,3,2019-04-01T00:00:00+00:00,2020-02-17T00:00:00+00:00,1.75,1.5,3
C2,TOP_8,POST_WARMUP,ETH-USDT,301,1,0,2019-04-01T00:00:00+00:00,2024-12-30T00:00:00+00:00,301.0,301,301
C2,TOP_8,POST_WARMUP,FET-USDT,7,2,1,2024-03-11T00:00:00+00:00,2024-10-14T00:00:00+00:00,3.5,3.5,6
C2,TOP_8,POST_WARMUP,FIL-USDT,1,1,0,2024-03-11T00:00:00+00:00,2024-03-11T00:00:00+00:00,1.0,1,1
C2,TOP_8,POST_WARMUP,FLOKI-USDT,2,1,0,2024-03-18T00:00:00+00:00,2024-03-25T00:00:00+00:00,2.0,2,2
C2,TOP_8,POST_WARMUP,GMT-USDT,1,1,0,2022-07-25T00:00:00+00:00,2022-07-25T00:00:00+00:00,1.0,1,1
C2,TOP_8,POST_WARMUP,GRAM-USDT,22,7,6,2023-01-30T00:00:00+00:00,2024-09-23T00:00:00+00:00,3.142857142857143,4,6
C2,TOP_8,POST_WARMUP,ICP-USDT,16,2,1,2024-01-08T00:00:00+00:00,2024-05-20T00:00:00+00:00,8.0,8.0,10
C2,TOP_8,POST_WARMUP,INJ-USDT,20,4,3,2023-05-01T00:00:00+00:00,2024-02-05T00:00:00+00:00,5.0,5.0,7
C2,TOP_8,POST_WARMUP,JASMY-USDT,11,2,1,2022-03-28T00:00:00+00:00,2024-07-01T00:00:00+00:00,5.5,5.5,8
C2,TOP_8,POST_WARMUP,KAS-USDT,12,5,4,2023-10-16T00:00:00+00:00,2024-08-26T00:00:00+00:00,2.4,2,4
C2,TOP_8,POST_WARMUP,KCS-USDT,115,2,1,2019-04-01T00:00:00+00:00,2021-08-09T00:00:00+00:00,57.5,57.5,111
C2,TOP_8,POST_WARMUP,LDO-USDT,2,1,0,2023-03-06T00:00:00+00:00,2023-03-13T00:00:00+00:00,2.0,2,2
C2,TOP_8,POST_WARMUP,LINK-USDT,21,5,4,2020-11-30T00:00:00+00:00,2024-02-26T00:00:00+00:00,4.2,3,11
C2,TOP_8,POST_WARMUP,LTC-USDT,138,9,8,2019-04-01T00:00:00+00:00,2023-10-09T00:00:00+00:00,15.333333333333334,8,68
C2,TOP_8,POST_WARMUP,LUNA-USDT,5,1,0,2022-09-26T00:00:00+00:00,2022-10-24T00:00:00+00:00,5.0,5,5
C2,TOP_8,POST_WARMUP,LUNC-USDT,19,4,3,2022-09-12T00:00:00+00:00,2023-12-25T00:00:00+00:00,4.75,3.0,12
C2,TOP_8,POST_WARMUP,MANA-USDT,5,1,0,2021-11-22T00:00:00+00:00,2021-12-20T00:00:00+00:00,5.0,5,5
C2,TOP_8,POST_WARMUP,NEAR-USDT,25,4,3,2022-01-17T00:00:00+00:00,2024-07-08T00:00:00+00:00,6.25,7.0,10
C2,TOP_8,POST_WARMUP,NEO-USDT,25,2,1,2019-04-01T00:00:00+00:00,2019-09-30T00:00:00+00:00,12.5,12.5,22
C2,TOP_8,POST_WARMUP,ONDO-USDT,8,1,0,2024-06-17T00:00:00+00:00,2024-08-05T00:00:00+00:00,8.0,8,8
C2,TOP_8,POST_WARMUP,ONE-USDT,2,1,0,2022-01-24T00:00:00+00:00,2022-01-31T00:00:00+00:00,2.0,2,2
C2,TOP_8,POST_WARMUP,ONT-USDT,2,1,0,2019-05-13T00:00:00+00:00,2019-05-20T00:00:00+00:00,2.0,2,2
C2,TOP_8,POST_WARMUP,OP-USDT,4,1,0,2023-03-13T00:00:00+00:00,2023-04-03T00:00:00+00:00,4.0,4,4
C2,TOP_8,POST_WARMUP,PEPE-USDT,47,4,3,2023-08-21T00:00:00+00:00,2024-12-30T00:00:00+00:00,11.75,5.0,34
C2,TOP_8,POST_WARMUP,QNT-USDT,3,1,0,2022-10-24T00:00:00+00:00,2022-11-07T00:00:00+00:00,3.0,3,3
C2,TOP_8,POST_WARMUP,RSR-USDT,1,1,0,2022-10-31T00:00:00+00:00,2022-10-31T00:00:00+00:00,1.0,1,1
C2,TOP_8,POST_WARMUP,RUNE-USDT,6,3,2,2022-03-28T00:00:00+00:00,2023-12-11T00:00:00+00:00,2.0,2,3
C2,TOP_8,POST_WARMUP,SAND-USDT,7,1,0,2021-11-29T00:00:00+00:00,2022-01-10T00:00:00+00:00,7.0,7,7
C2,TOP_8,POST_WARMUP,SENSO-USDT,5,1,0,2020-06-22T00:00:00+00:00,2020-07-20T00:00:00+00:00,5.0,5,5
C2,TOP_8,POST_WARMUP,SHIB-USDT,78,15,14,2021-10-25T00:00:00+00:00,2024-12-30T00:00:00+00:00,5.2,5,15
C2,TOP_8,POST_WARMUP,SOL-USDT,161,3,2,2021-11-08T00:00:00+00:00,2024-12-30T00:00:00+00:00,53.666666666666664,5,153
C2,TOP_8,POST_WARMUP,STX-USDT,1,1,0,2023-03-20T00:00:00+00:00,2023-03-20T00:00:00+00:00,1.0,1,1
C2,TOP_8,POST_WARMUP,SUI-USDT,18,2,1,2024-01-29T00:00:00+00:00,2024-12-30T00:00:00+00:00,9.0,9.0,14
C2,TOP_8,POST_WARMUP,TAO-USDT,1,1,0,2024-10-14T00:00:00+00:00,2024-10-14T00:00:00+00:00,1.0,1,1
C2,TOP_8,POST_WARMUP,TEL-USDT,13,1,0,2021-05-24T00:00:00+00:00,2021-08-16T00:00:00+00:00,13.0,13,13
C2,TOP_8,POST_WARMUP,TRX-USDT,72,5,4,2019-04-01T00:00:00+00:00,2022-05-30T00:00:00+00:00,14.4,6,56
C2,TOP_8,POST_WARMUP,VET-USDT,23,3,2,2021-03-22T00:00:00+00:00,2021-09-13T00:00:00+00:00,7.666666666666667,5,17
C2,TOP_8,POST_WARMUP,WIF-USDT,11,3,2,2024-04-22T00:00:00+00:00,2024-10-21T00:00:00+00:00,3.6666666666666665,2,8
C2,TOP_8,POST_WARMUP,XLM-USDT,13,5,4,2019-04-08T00:00:00+00:00,2023-08-07T00:00:00+00:00,2.6,3,4
C2,TOP_8,POST_WARMUP,XMR-USDT,38,8,7,2022-12-26T00:00:00+00:00,2024-11-18T00:00:00+00:00,4.75,2.0,13
C2,TOP_8,POST_WARMUP,XRP-USDT,297,5,4,2019-04-01T00:00:00+00:00,2024-12-30T00:00:00+00:00,59.4,28,148
C2,TOP_8,POST_WARMUP,XTZ-USDT,22,2,1,2020-03-09T00:00:00+00:00,2020-09-14T00:00:00+00:00,11.0,11.0,14
C2,TOP_10,FULL,ADA-USDT,160,12,11,2020-02-03T00:00:00+00:00,2024-12-23T00:00:00+00:00,13.333333333333334,5.0,81
C2,TOP_10,FULL,ALGO-USDT,8,3,2,2019-10-21T00:00:00+00:00,2022-11-28T00:00:00+00:00,2.6666666666666665,3,4
C2,TOP_10,FULL,APE-USDT,12,2,1,2022-06-20T00:00:00+00:00,2022-12-19T00:00:00+00:00,6.0,6.0,10
C2,TOP_10,FULL,APT-USDT,4,1,0,2023-02-13T00:00:00+00:00,2023-03-06T00:00:00+00:00,4.0,4,4
C2,TOP_10,FULL,ARB-USDT,4,1,0,2024-01-15T00:00:00+00:00,2024-02-05T00:00:00+00:00,4.0,4,4
C2,TOP_10,FULL,ATOM-USDT,63,7,6,2019-12-16T00:00:00+00:00,2022-11-07T00:00:00+00:00,9.0,9,20
C2,TOP_10,FULL,AVAX-USDT,73,7,6,2021-09-06T00:00:00+00:00,2024-04-15T00:00:00+00:00,10.428571428571429,3,44
C2,TOP_10,FULL,BCH-USDT,10,2,1,2021-05-10T00:00:00+00:00,2023-07-24T00:00:00+00:00,5.0,5.0,7
C2,TOP_10,FULL,BCHSV-USDT,99,5,4,2019-03-18T00:00:00+00:00,2021-03-08T00:00:00+00:00,19.8,6,68
C2,TOP_10,FULL,BNB-USDT,93,13,12,2021-03-15T00:00:00+00:00,2024-01-01T00:00:00+00:00,7.153846153846154,2,41
C2,TOP_10,FULL,BTC-USDT,310,1,0,2019-01-28T00:00:00+00:00,2024-12-30T00:00:00+00:00,310.0,310,310
C2,TOP_10,FULL,BTT-USDT,3,1,0,2021-04-19T00:00:00+00:00,2021-05-03T00:00:00+00:00,3.0,3,3
C2,TOP_10,FULL,CFX-USDT,4,2,1,2023-04-03T00:00:00+00:00,2023-06-12T00:00:00+00:00,2.0,2.0,3
C2,TOP_10,FULL,CHR-USDT,11,1,0,2019-09-02T00:00:00+00:00,2019-11-11T00:00:00+00:00,11.0,11,11
C2,TOP_10,FULL,CHZ-USDT,2,1,0,2022-11-28T00:00:00+00:00,2022-12-05T00:00:00+00:00,2.0,2,2
C2,TOP_10,FULL,COMP-USDT,2,1,0,2020-09-28T00:00:00+00:00,2020-10-05T00:00:00+00:00,2.0,2,2
C2,TOP_10,FULL,COTI-USDT,20,3,2,2019-10-07T00:00:00+00:00,2020-03-09T00:00:00+00:00,6.666666666666667,3,16
C2,TOP_10,FULL,CRO-USDT,2,1,0,2021-12-06T00:00:00+00:00,2021-12-13T00:00:00+00:00,2.0,2,2
C2,TOP_10,FULL,DASH-USDT,3,1,0,2020-04-20T00:00:00+00:00,2020-05-04T00:00:00+00:00,3.0,3,3
C2,TOP_10,FULL,DOGE-USDT,104,12,11,2021-05-17T00:00:00+00:00,2024-12-30T00:00:00+00:00,8.666666666666666,6.0,28
C2,TOP_10,FULL,DOT-USDT,64,6,5,2020-11-23T00:00:00+00:00,2022-06-20T00:00:00+00:00,10.666666666666666,9.0,26
C2,TOP_10,FULL,ETC-USDT,43,9,8,2019-03-18T00:00:00+00:00,2022-10-03T00:00:00+00:00,4.777777777777778,5,9
C2,TOP_10,FULL,ETH-USDT,310,1,0,2019-01-28T00:00:00+00:00,2024-12-30T00:00:00+00:00,310.0,310,310
C2,TOP_10,FULL,FET-USDT,10,2,1,2024-03-11T00:00:00+00:00,2024-10-21T00:00:00+00:00,5.0,5.0,8
C2,TOP_10,FULL,FIL-USDT,2,1,0,2024-03-04T00:00:00+00:00,2024-03-11T00:00:00+00:00,2.0,2,2
C2,TOP_10,FULL,FLOKI-USDT,3,1,0,2024-03-18T00:00:00+00:00,2024-04-01T00:00:00+00:00,3.0,3,3
C2,TOP_10,FULL,GALAX-USDT,3,1,0,2023-01-23T00:00:00+00:00,2023-02-06T00:00:00+00:00,3.0,3,3
C2,TOP_10,FULL,GMT-USDT,3,1,0,2022-07-18T00:00:00+00:00,2022-08-01T00:00:00+00:00,3.0,3,3
C2,TOP_10,FULL,GRAM-USDT,37,7,6,2023-01-30T00:00:00+00:00,2024-09-30T00:00:00+00:00,5.285714285714286,5,11
C2,TOP_10,FULL,GRT-USDT,1,1,0,2023-03-06T00:00:00+00:00,2023-03-06T00:00:00+00:00,1.0,1,1
C2,TOP_10,FULL,HBAR-USDT,3,2,1,2024-12-09T00:00:00+00:00,2024-12-30T00:00:00+00:00,1.5,1.5,2
C2,TOP_10,FULL,ICP-USDT,22,3,2,2021-08-30T00:00:00+00:00,2024-05-20T00:00:00+00:00,7.333333333333333,8,11
C2,TOP_10,FULL,INJ-USDT,29,5,4,2023-05-01T00:00:00+00:00,2024-03-04T00:00:00+00:00,5.8,3,14
C2,TOP_10,FULL,JASMY-USDT,13,3,2,2022-03-28T00:00:00+00:00,2024-07-01T00:00:00+00:00,4.333333333333333,3,9
C2,TOP_10,FULL,KAS-USDT,24,6,5,2023-09-11T00:00:00+00:00,2024-09-23T00:00:00+00:00,4.0,3.0,9
C2,TOP_10,FULL,KCS-USDT,126,2,1,2019-03-11T00:00:00+00:00,2021-08-23T00:00:00+00:00,63.0,63.0,117
C2,TOP_10,FULL,KPOL-USDT,2,1,0,2020-07-13T00:00:00+00:00,2020-07-20T00:00:00+00:00,2.0,2,2
C2,TOP_10,FULL,LDO-USDT,3,1,0,2023-02-27T00:00:00+00:00,2023-03-13T00:00:00+00:00,3.0,3,3
C2,TOP_10,FULL,LINK-USDT,38,7,6,2020-11-23T00:00:00+00:00,2024-02-26T00:00:00+00:00,5.428571428571429,4,17
C2,TOP_10,FULL,LTC-USDT,156,6,5,2019-03-18T00:00:00+00:00,2023-11-06T00:00:00+00:00,26.0,21.5,70
C2,TOP_10,FULL,LUNA-USDT,5,1,0,2022-09-26T00:00:00+00:00,2022-10-24T00:00:00+00:00,5.0,5,5
C2,TOP_10,FULL,LUNC-USDT,22,2,1,2022-09-12T00:00:00+00:00,2023-12-25T00:00:00+00:00,11.0,11.0,20
C2,TOP_10,FULL,MANA-USDT,10,2,1,2021-11-22T00:00:00+00:00,2022-03-14T00:00:00+00:00,5.0,5.0,7
C2,TOP_10,FULL,MTV-USDT,14,3,2,2019-07-15T00:00:00+00:00,2019-11-18T00:00:00+00:00,4.666666666666667,1,12
C2,TOP_10,FULL,NEAR-USDT,35,4,3,2022-01-10T00:00:00+00:00,2024-07-29T00:00:00+00:00,8.75,9.0,12
C2,TOP_10,FULL,NEO-USDT,36,3,2,2019-03-18T00:00:00+00:00,2020-01-27T00:00:00+00:00,12.0,4,30
C2,TOP_10,FULL,ONDO-USDT,12,2,1,2024-04-22T00:00:00+00:00,2024-08-19T00:00:00+00:00,6.0,6.0,10
C2,TOP_10,FULL,ONE-USDT,5,2,1,2021-11-01T00:00:00+00:00,2022-02-07T00:00:00+00:00,2.5,2.5,4
C2,TOP_10,FULL,ONT-USDT,5,2,1,2019-03-25T00:00:00+00:00,2019-06-03T00:00:00+00:00,2.5,2.5,4
C2,TOP_10,FULL,OP-USDT,4,1,0,2023-03-13T00:00:00+00:00,2023-04-03T00:00:00+00:00,4.0,4,4
C2,TOP_10,FULL,PEPE-USDT,54,5,4,2023-08-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,10.8,6,35
C2,TOP_10,FULL,PYR-USDT,1,1,0,2022-04-25T00:00:00+00:00,2022-04-25T00:00:00+00:00,1.0,1,1
C2,TOP_10,FULL,QNT-USDT,4,1,0,2022-10-17T00:00:00+00:00,2022-11-07T00:00:00+00:00,4.0,4,4
C2,TOP_10,FULL,RSR-USDT,3,1,0,2022-10-17T00:00:00+00:00,2022-10-31T00:00:00+00:00,3.0,3,3
C2,TOP_10,FULL,RUNE-USDT,7,3,2,2022-03-28T00:00:00+00:00,2023-12-11T00:00:00+00:00,2.3333333333333335,3,3
C2,TOP_10,FULL,SAND-USDT,7,1,0,2021-11-29T00:00:00+00:00,2022-01-10T00:00:00+00:00,7.0,7,7
C2,TOP_10,FULL,SEI-USDT,1,1,0,2024-01-29T00:00:00+00:00,2024-01-29T00:00:00+00:00,1.0,1,1
C2,TOP_10,FULL,SENSO-USDT,11,2,1,2020-06-22T00:00:00+00:00,2020-11-02T00:00:00+00:00,5.5,5.5,9
C2,TOP_10,FULL,SHIB-USDT,117,13,12,2021-10-25T00:00:00+00:00,2024-12-30T00:00:00+00:00,9.0,9,20
C2,TOP_10,FULL,SOL-USDT,165,1,0,2021-11-08T00:00:00+00:00,2024-12-30T00:00:00+00:00,165.0,165,165
C2,TOP_10,FULL,STX-USDT,2,1,0,2023-03-20T00:00:00+00:00,2023-03-27T00:00:00+00:00,2.0,2,2
C2,TOP_10,FULL,SUI-USDT,18,2,1,2024-01-29T00:00:00+00:00,2024-12-30T00:00:00+00:00,9.0,9.0,14
C2,TOP_10,FULL,TAO-USDT,7,1,0,2024-10-07T00:00:00+00:00,2024-11-18T00:00:00+00:00,7.0,7,7
C2,TOP_10,FULL,TEL-USDT,20,3,2,2019-08-05T00:00:00+00:00,2021-08-30T00:00:00+00:00,6.666666666666667,4,15
C2,TOP_10,FULL,TRX-USDT,90,5,4,2019-03-18T00:00:00+00:00,2022-07-04T00:00:00+00:00,18.0,6,69
C2,TOP_10,FULL,VET-USDT,50,7,6,2019-11-25T00:00:00+00:00,2021-11-15T00:00:00+00:00,7.142857142857143,3,32
C2,TOP_10,FULL,WIF-USDT,21,5,4,2024-04-22T00:00:00+00:00,2024-12-02T00:00:00+00:00,4.2,3,12
C2,TOP_10,FULL,XCN-USDT,2,1,0,2022-08-29T00:00:00+00:00,2022-09-05T00:00:00+00:00,2.0,2,2
C2,TOP_10,FULL,XLM-USDT,44,5,4,2019-03-18T00:00:00+00:00,2023-09-18T00:00:00+00:00,8.8,5,18
C2,TOP_10,FULL,XMR-USDT,55,8,7,2022-12-26T00:00:00+00:00,2024-12-30T00:00:00+00:00,6.875,4.0,27
C2,TOP_10,FULL,XRP-USDT,303,1,0,2019-03-18T00:00:00+00:00,2024-12-30T00:00:00+00:00,303.0,303,303
C2,TOP_10,FULL,XTZ-USDT,34,3,2,2020-03-09T00:00:00+00:00,2020-11-16T00:00:00+00:00,11.333333333333334,2,30
C2,TOP_10,FULL,ZEC-USDT,1,1,0,2020-08-24T00:00:00+00:00,2020-08-24T00:00:00+00:00,1.0,1,1
C2,TOP_10,FULL,ZIL-USDT,1,1,0,2022-04-25T00:00:00+00:00,2022-04-25T00:00:00+00:00,1.0,1,1
C2,TOP_10,POST_WARMUP,ADA-USDT,160,12,11,2020-02-03T00:00:00+00:00,2024-12-23T00:00:00+00:00,13.333333333333334,5.0,81
C2,TOP_10,POST_WARMUP,ALGO-USDT,8,3,2,2019-10-21T00:00:00+00:00,2022-11-28T00:00:00+00:00,2.6666666666666665,3,4
C2,TOP_10,POST_WARMUP,APE-USDT,12,2,1,2022-06-20T00:00:00+00:00,2022-12-19T00:00:00+00:00,6.0,6.0,10
C2,TOP_10,POST_WARMUP,APT-USDT,4,1,0,2023-02-13T00:00:00+00:00,2023-03-06T00:00:00+00:00,4.0,4,4
C2,TOP_10,POST_WARMUP,ARB-USDT,4,1,0,2024-01-15T00:00:00+00:00,2024-02-05T00:00:00+00:00,4.0,4,4
C2,TOP_10,POST_WARMUP,ATOM-USDT,63,7,6,2019-12-16T00:00:00+00:00,2022-11-07T00:00:00+00:00,9.0,9,20
C2,TOP_10,POST_WARMUP,AVAX-USDT,73,7,6,2021-09-06T00:00:00+00:00,2024-04-15T00:00:00+00:00,10.428571428571429,3,44
C2,TOP_10,POST_WARMUP,BCH-USDT,10,2,1,2021-05-10T00:00:00+00:00,2023-07-24T00:00:00+00:00,5.0,5.0,7
C2,TOP_10,POST_WARMUP,BCHSV-USDT,98,4,3,2019-04-01T00:00:00+00:00,2021-03-08T00:00:00+00:00,24.5,14.5,68
C2,TOP_10,POST_WARMUP,BNB-USDT,93,13,12,2021-03-15T00:00:00+00:00,2024-01-01T00:00:00+00:00,7.153846153846154,2,41
C2,TOP_10,POST_WARMUP,BTC-USDT,301,1,0,2019-04-01T00:00:00+00:00,2024-12-30T00:00:00+00:00,301.0,301,301
C2,TOP_10,POST_WARMUP,BTT-USDT,3,1,0,2021-04-19T00:00:00+00:00,2021-05-03T00:00:00+00:00,3.0,3,3
C2,TOP_10,POST_WARMUP,CFX-USDT,4,2,1,2023-04-03T00:00:00+00:00,2023-06-12T00:00:00+00:00,2.0,2.0,3
C2,TOP_10,POST_WARMUP,CHR-USDT,11,1,0,2019-09-02T00:00:00+00:00,2019-11-11T00:00:00+00:00,11.0,11,11
C2,TOP_10,POST_WARMUP,CHZ-USDT,2,1,0,2022-11-28T00:00:00+00:00,2022-12-05T00:00:00+00:00,2.0,2,2
C2,TOP_10,POST_WARMUP,COMP-USDT,2,1,0,2020-09-28T00:00:00+00:00,2020-10-05T00:00:00+00:00,2.0,2,2
C2,TOP_10,POST_WARMUP,COTI-USDT,20,3,2,2019-10-07T00:00:00+00:00,2020-03-09T00:00:00+00:00,6.666666666666667,3,16
C2,TOP_10,POST_WARMUP,CRO-USDT,2,1,0,2021-12-06T00:00:00+00:00,2021-12-13T00:00:00+00:00,2.0,2,2
C2,TOP_10,POST_WARMUP,DASH-USDT,3,1,0,2020-04-20T00:00:00+00:00,2020-05-04T00:00:00+00:00,3.0,3,3
C2,TOP_10,POST_WARMUP,DOGE-USDT,104,12,11,2021-05-17T00:00:00+00:00,2024-12-30T00:00:00+00:00,8.666666666666666,6.0,28
C2,TOP_10,POST_WARMUP,DOT-USDT,64,6,5,2020-11-23T00:00:00+00:00,2022-06-20T00:00:00+00:00,10.666666666666666,9.0,26
C2,TOP_10,POST_WARMUP,ETC-USDT,41,9,8,2019-04-01T00:00:00+00:00,2022-10-03T00:00:00+00:00,4.555555555555555,5,9
C2,TOP_10,POST_WARMUP,ETH-USDT,301,1,0,2019-04-01T00:00:00+00:00,2024-12-30T00:00:00+00:00,301.0,301,301
C2,TOP_10,POST_WARMUP,FET-USDT,10,2,1,2024-03-11T00:00:00+00:00,2024-10-21T00:00:00+00:00,5.0,5.0,8
C2,TOP_10,POST_WARMUP,FIL-USDT,2,1,0,2024-03-04T00:00:00+00:00,2024-03-11T00:00:00+00:00,2.0,2,2
C2,TOP_10,POST_WARMUP,FLOKI-USDT,3,1,0,2024-03-18T00:00:00+00:00,2024-04-01T00:00:00+00:00,3.0,3,3
C2,TOP_10,POST_WARMUP,GALAX-USDT,3,1,0,2023-01-23T00:00:00+00:00,2023-02-06T00:00:00+00:00,3.0,3,3
C2,TOP_10,POST_WARMUP,GMT-USDT,3,1,0,2022-07-18T00:00:00+00:00,2022-08-01T00:00:00+00:00,3.0,3,3
C2,TOP_10,POST_WARMUP,GRAM-USDT,37,7,6,2023-01-30T00:00:00+00:00,2024-09-30T00:00:00+00:00,5.285714285714286,5,11
C2,TOP_10,POST_WARMUP,GRT-USDT,1,1,0,2023-03-06T00:00:00+00:00,2023-03-06T00:00:00+00:00,1.0,1,1
C2,TOP_10,POST_WARMUP,HBAR-USDT,3,2,1,2024-12-09T00:00:00+00:00,2024-12-30T00:00:00+00:00,1.5,1.5,2
C2,TOP_10,POST_WARMUP,ICP-USDT,22,3,2,2021-08-30T00:00:00+00:00,2024-05-20T00:00:00+00:00,7.333333333333333,8,11
C2,TOP_10,POST_WARMUP,INJ-USDT,29,5,4,2023-05-01T00:00:00+00:00,2024-03-04T00:00:00+00:00,5.8,3,14
C2,TOP_10,POST_WARMUP,JASMY-USDT,13,3,2,2022-03-28T00:00:00+00:00,2024-07-01T00:00:00+00:00,4.333333333333333,3,9
C2,TOP_10,POST_WARMUP,KAS-USDT,24,6,5,2023-09-11T00:00:00+00:00,2024-09-23T00:00:00+00:00,4.0,3.0,9
C2,TOP_10,POST_WARMUP,KCS-USDT,123,2,1,2019-04-01T00:00:00+00:00,2021-08-23T00:00:00+00:00,61.5,61.5,114
C2,TOP_10,POST_WARMUP,KPOL-USDT,2,1,0,2020-07-13T00:00:00+00:00,2020-07-20T00:00:00+00:00,2.0,2,2
C2,TOP_10,POST_WARMUP,LDO-USDT,3,1,0,2023-02-27T00:00:00+00:00,2023-03-13T00:00:00+00:00,3.0,3,3
C2,TOP_10,POST_WARMUP,LINK-USDT,38,7,6,2020-11-23T00:00:00+00:00,2024-02-26T00:00:00+00:00,5.428571428571429,4,17
C2,TOP_10,POST_WARMUP,LTC-USDT,154,6,5,2019-04-01T00:00:00+00:00,2023-11-06T00:00:00+00:00,25.666666666666668,21.5,68
C2,TOP_10,POST_WARMUP,LUNA-USDT,5,1,0,2022-09-26T00:00:00+00:00,2022-10-24T00:00:00+00:00,5.0,5,5
C2,TOP_10,POST_WARMUP,LUNC-USDT,22,2,1,2022-09-12T00:00:00+00:00,2023-12-25T00:00:00+00:00,11.0,11.0,20
C2,TOP_10,POST_WARMUP,MANA-USDT,10,2,1,2021-11-22T00:00:00+00:00,2022-03-14T00:00:00+00:00,5.0,5.0,7
C2,TOP_10,POST_WARMUP,MTV-USDT,14,3,2,2019-07-15T00:00:00+00:00,2019-11-18T00:00:00+00:00,4.666666666666667,1,12
C2,TOP_10,POST_WARMUP,NEAR-USDT,35,4,3,2022-01-10T00:00:00+00:00,2024-07-29T00:00:00+00:00,8.75,9.0,12
C2,TOP_10,POST_WARMUP,NEO-USDT,34,3,2,2019-04-01T00:00:00+00:00,2020-01-27T00:00:00+00:00,11.333333333333334,4,28
C2,TOP_10,POST_WARMUP,ONDO-USDT,12,2,1,2024-04-22T00:00:00+00:00,2024-08-19T00:00:00+00:00,6.0,6.0,10
C2,TOP_10,POST_WARMUP,ONE-USDT,5,2,1,2021-11-01T00:00:00+00:00,2022-02-07T00:00:00+00:00,2.5,2.5,4
C2,TOP_10,POST_WARMUP,ONT-USDT,4,1,0,2019-05-13T00:00:00+00:00,2019-06-03T00:00:00+00:00,4.0,4,4
C2,TOP_10,POST_WARMUP,OP-USDT,4,1,0,2023-03-13T00:00:00+00:00,2023-04-03T00:00:00+00:00,4.0,4,4
C2,TOP_10,POST_WARMUP,PEPE-USDT,54,5,4,2023-08-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,10.8,6,35
C2,TOP_10,POST_WARMUP,PYR-USDT,1,1,0,2022-04-25T00:00:00+00:00,2022-04-25T00:00:00+00:00,1.0,1,1
