scope,domain_id,symbol,canonical_id,core_asset,liquidity_rank,liquidity_tier,trade_count,net_pnl,return_on_initial_equity,win_rate,profit_factor
STANDALONE,VOLUME_BREADTH_THRUST,XRP/USDT,XRP,False,4,A,40,27013.83964300256,0.27013839643002563,0.65,3.361948510408721
OVERLAY_NEW,VOLUME_BREADTH_THRUST,ADA/USDT,ADA,False,7,B,38,-13236.062074461795,-0.13236062074461796,0.39473684210526316,0.2879197139119787
OVERLAY_NEW,VOLUME_BREADTH_THRUST,ATOM/USDT,ATOM,False,10,B,39,-20093.604360826375,-0.20093604360826375,0.2564102564102564,0.12279239435309586
OVERLAY_NEW,VOLUME_BREADTH_THRUST,AVAX/USDT,AVAX,True,6,A,33,12064.770234162625,0.12064770234162625,0.48484848484848486,1.9046331973739823
OVERLAY_NEW,VOLUME_BREADTH_THRUST,BTC/USDT,BTC,True,1,A,37,-15069.126555554958,-0.15069126555554957,0.32432432432432434,0.28486381831589297
OVERLAY_NEW,VOLUME_BREADTH_THRUST,ETH/USDT,ETH,True,2,A,23,-14628.02975174559,-0.1462802975174559,0.13043478260869565,0.07971782725666175
OVERLAY_NEW,VOLUME_BREADTH_THRUST,LINK/USDT,LINK,True,9,B,32,-7114.745578828977,-0.07114745578828977,0.46875,0.41698885420486925
OVERLAY_NEW,VOLUME_BREADTH_THRUST,LTC/USDT,LTC,False,8,B,55,-7769.791281055903,-0.07769791281055903,0.32727272727272727,0.7349361780774891
OVERLAY_NEW,VOLUME_BREADTH_THRUST,NEAR/USDT,NEAR,True,5,A,21,-5138.142584129772,-0.05138142584129772,0.47619047619047616,0.3841375133656798
OVERLAY_NEW,VOLUME_BREADTH_THRUST,SOL/USDT,SOL,True,3,A,23,-1560.5374294075737,-0.015605374294075736,0.391304347826087,0.8675962606006227
OVERLAY_NEW,VOLUME_BREADTH_THRUST,XRP/USDT,XRP,False,4,A,33,44019.23083253776,0.4401923083253776,0.6060606060606061,5.198492912028514
STANDALONE,CORRELATION_RELEASE_ROTATION,ETH/USDT,ETH,True,2,A,1,-826.963087300351,-0.00826963087300351,0.0,0.0
OVERLAY_NEW,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,ADA/USDT,ADA,False,7,B,80,-9846.028921855443,-0.09846028921855443,0.425,0.7346913963487071
OVERLAY_NEW,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,ATOM/USDT,ATOM,False,10,B,91,-21780.879712981103,-0.21780879712981102,0.42857142857142855,0.4763736291623823
OVERLAY_NEW,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,AVAX/USDT,AVAX,True,6,A,51,16517.86011022719,0.1651786011022719,0.5294117647058824,1.8709535463653468
OVERLAY_NEW,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,BTC/USDT,BTC,True,1,A,74,-31667.171543163742,-0.3166717154316374,0.2972972972972973,0.2746783088095424
OVERLAY_NEW,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,ETH/USDT,ETH,True,2,A,55,-26386.00248464244,-0.2638600248464244,0.2545454545454545,0.1820978248579633
OVERLAY_NEW,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,LINK/USDT,LINK,True,9,B,42,-13279.264495495963,-0.13279264495495963,0.38095238095238093,0.31222999284467906
OVERLAY_NEW,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,LTC/USDT,LTC,False,8,B,91,-8187.849163509658,-0.08187849163509658,0.3956043956043956,0.8120556303657973
OVERLAY_NEW,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,NEAR/USDT,NEAR,True,5,A,34,-3525.751477986767,-0.03525751477986767,0.4411764705882353,0.7584237832978339
OVERLAY_NEW,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,SOL/USDT,SOL,True,3,A,32,-4692.578160644637,-0.04692578160644637,0.40625,0.7049445237239976
OVERLAY_NEW,ALL_RD16S_EXPANDED_UNIVERSE_DOMAINS_OVERLAY,XRP/USDT,XRP,False,4,A,58,57679.706787864874,0.5767970678786487,0.4482758620689655,3.2682872161877485
