slice_type,slice_value,variant_id,universe_id,cost_multiplier,period_id,trade_count,triggered_trade_count,total_control_net_pnl,total_shadow_net_pnl,total_delta_net_pnl
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_DOWNSIDE_STRESS_SHADOW,D2,2.0,ROBUSTNESS_2022,33,33,-17926.94282145821,1575.8773649947284,19502.82018645294
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_QUALIFIED_STRESS_UNION_SHADOW,D2,2.0,ROBUSTNESS_2022,9,9,-5591.93377945841,-293.3917817569474,5298.541997701462
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_FAILED_RECOVERY_SHADOW,D2,2.0,ROBUSTNESS_2022,6,6,-3141.85495523571,426.2714061550858,3568.1263613907945
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_SELL_FLOW_IMPULSE_SHADOW,D2,2.0,ROBUSTNESS_2022,5,5,-4501.827249383607,170.2627468054383,4672.089996189045
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,CONTROL_NO_RD37_EXIT,D2,2.0,ROBUSTNESS_2023,127,0,49219.50291574712,49219.50291574712,0.0
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_DOWNSIDE_STRESS_SHADOW,D2,2.0,ROBUSTNESS_2023,53,48,33948.801546895666,3564.08715901104,-30384.714387884633
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_SELL_FLOW_IMPULSE_SHADOW,D2,2.0,ROBUSTNESS_2023,115,115,53035.621917063734,-9350.026649400952,-62385.64856646468
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_FAILED_RECOVERY_SHADOW,D2,2.0,ROBUSTNESS_2023,90,90,28840.880289994544,7919.711840358867,-20921.168449635672
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_QUALIFIED_STRESS_UNION_SHADOW,D2,2.0,ROBUSTNESS_2023,102,102,48995.94194136728,-6122.0455294580615,-55117.98747082532
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_DOWNSIDE_STRESS_SHADOW,D2,2.0,ROBUSTNESS_2023,74,74,15270.701368851449,1378.267618016632,-13892.43375083482
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_FAILED_RECOVERY_SHADOW,D2,2.0,ROBUSTNESS_2023,37,37,20378.622625752578,-1433.9719633439645,-21812.594589096545
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_QUALIFIED_STRESS_UNION_SHADOW,D2,2.0,ROBUSTNESS_2023,25,25,223.56097437985272,-1353.6148493619332,-1577.1758237417844
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_SELL_FLOW_IMPULSE_SHADOW,D2,2.0,ROBUSTNESS_2023,12,12,-3816.1190013166174,-1132.7481353755616,2683.3708659410554
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,CONTROL_NO_RD37_EXIT,E2,1.0,ROBUSTNESS_2022,45,0,-13994.924720618568,-13994.924720618568,0.0
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_DOWNSIDE_STRESS_SHADOW,E2,1.0,ROBUSTNESS_2022,12,10,2739.8202618445703,2227.169577223157,-512.6506846214129
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_SELL_FLOW_IMPULSE_SHADOW,E2,1.0,ROBUSTNESS_2022,40,40,-9658.742818757126,-2371.419177976162,7287.323640780966
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_FAILED_RECOVERY_SHADOW,E2,1.0,ROBUSTNESS_2022,39,39,-11089.755286894579,3894.2947660304353,14984.050052925013
